                    ************************************************************************************************
                    *  Z= 28 A= 64: Positive-Parity Spin-dependent Level Density [MeV-1] for Ni 64 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  13.00  1.181  2.39E+05 1.47E+05 7.09E+05 2.79E+03 3.36E+03 8.39E+03 7.66E+03 9.89E+03 7.91E+03 7.96E+03 5.57E+03 4.63E+03 2.96E+03 2.04E+03 1.20E+03 6.54E+02 3.15E+02 1.51E+02 5.60E+01 1.95E+01 2.75E+00 8.89E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  14.00  1.225  5.17E+05 2.91E+05 1.52E+06 5.24E+03 6.44E+03 1.64E+04 1.50E+04 1.97E+04 1.61E+04 1.64E+04 1.19E+04 1.02E+04 6.71E+03 4.79E+03 2.95E+03 1.72E+03 8.57E+02 4.33E+02 1.94E+02 7.81E+01 2.21E+01 6.85E+00 7.08E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  15.00  1.268  1.07E+06 5.51E+05 3.12E+06 1.00E+04 1.21E+04 3.11E+04 2.86E+04 3.84E+04 3.16E+04 3.27E+04 2.43E+04 2.13E+04 1.42E+04 1.05E+04 6.70E+03 4.06E+03 2.20E+03 1.17E+03 5.47E+02 2.51E+02 1.02E+02 3.19E+01 8.07E+00 1.41E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  16.00  1.310  2.12E+06 1.01E+06 6.10E+06 1.82E+04 2.16E+04 5.60E+04 5.23E+04 7.08E+04 5.87E+04 6.24E+04 4.72E+04 4.20E+04 2.89E+04 2.18E+04 1.43E+04 8.91E+03 4.98E+03 2.76E+03 1.39E+03 6.41E+02 2.74E+02 1.07E+02 3.57E+01 8.58E+00 1.41E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  17.00  1.350  4.03E+06 1.78E+06 1.15E+07 3.21E+04 3.82E+04 9.94E+04 9.23E+04 1.27E+05 1.06E+05 1.14E+05 8.74E+04 7.99E+04 5.58E+04 4.31E+04 2.87E+04 1.84E+04 1.06E+04 6.09E+03 3.13E+03 1.52E+03 6.81E+02 2.79E+02 9.89E+01 3.09E+01 6.52E+00 7.08E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  18.00  1.389  7.41E+06 3.04E+06 2.08E+07 5.51E+04 6.49E+04 1.71E+05 1.59E+05 2.18E+05 1.84E+05 2.01E+05 1.56E+05 1.44E+05 1.03E+05 8.12E+04 5.49E+04 3.59E+04 2.11E+04 1.24E+04 6.48E+03 3.27E+03 1.48E+03 6.18E+02 2.39E+02 7.67E+01 2.07E+01 6.29E+00 7.08E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  19.00  1.428  1.32E+07 5.02E+06 3.63E+07 9.08E+04 1.06E+05 2.81E+05 2.62E+05 3.66E+05 3.12E+05 3.42E+05 2.68E+05 2.52E+05 1.81E+05 1.46E+05 1.01E+05 6.77E+04 4.02E+04 2.44E+04 1.30E+04 6.69E+03 3.20E+03 1.38E+03 5.51E+02 2.01E+02 5.94E+01 1.39E+01 1.87E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  20.00  1.465  2.27E+07 8.08E+06 6.14E+07 1.44E+05 1.68E+05 4.46E+05 4.18E+05 5.89E+05 5.06E+05 5.64E+05 4.46E+05 4.26E+05 3.10E+05 2.55E+05 1.78E+05 1.23E+05 7.50E+04 4.65E+04 2.53E+04 1.35E+04 6.64E+03 2.98E+03 1.27E+03 4.77E+02 1.60E+02 4.05E+01 7.30E+00 7.08E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  22.50  1.553  9.66E+07 2.41E+07 2.01E+08 4.17E+05 4.79E+05 1.28E+06 1.21E+06 1.73E+06 1.50E+06 1.72E+06 1.39E+06 1.37E+06 1.03E+06 8.83E+05 6.32E+05 4.62E+05 2.93E+05 1.94E+05 1.10E+05 6.22E+04 3.22E+04 1.54E+04 6.97E+03 2.84E+03 1.11E+03 3.78E+02 1.08E+02 2.44E+01 6.11E+00 4.43E-01 1.00E-30 1.00E-30 1.00E-30
  25.00  1.638  3.00E+08 6.31E+07 5.80E+08 1.08E+06 1.23E+06 3.31E+06 3.13E+06 4.54E+06 3.99E+06 4.63E+06 3.80E+06 3.85E+06 2.96E+06 2.64E+06 1.94E+06 1.49E+06 9.78E+05 6.84E+05 4.04E+05 2.43E+05 1.31E+05 6.67E+04 3.18E+04 1.40E+04 5.88E+03 2.15E+03 7.40E+02 2.25E+02 4.54E+01 1.77E+01 1.88E+00 1.00E-30 1.00E-30
  30.00  1.794  2.66E+09 3.47E+08 3.56E+09 5.63E+06 6.31E+06 1.72E+07 1.63E+07 2.40E+07 2.13E+07 2.53E+07 2.12E+07 2.22E+07 1.75E+07 1.64E+07 1.24E+07 1.03E+07 7.14E+06 5.47E+06 3.48E+06 2.34E+06 1.38E+06 7.99E+05 4.18E+05 2.09E+05 9.74E+04 4.10E+04 1.61E+04 5.96E+03 1.89E+03 5.33E+02 1.16E+02 5.66E+01 1.06E+01
  40.00  2.071  1.18E+11 8.22E+09 9.16E+10 1.28E+08 1.39E+08 3.89E+08 3.68E+08 5.47E+08 4.86E+08 5.85E+08 4.94E+08 5.25E+08 4.21E+08 4.04E+08 3.17E+08 2.73E+08 1.99E+08 1.62E+08 1.11E+08 8.29E+07 5.45E+07 3.72E+07 2.26E+07 1.42E+07 7.96E+06 4.45E+06 2.20E+06 1.10E+06 4.61E+05 1.87E+05 6.89E+04 2.31E+04 6.93E+03
  50.00  2.316  2.67E+12 1.81E+11 2.10E+12 2.74E+09 2.92E+09 8.26E+09 7.83E+09 1.17E+10 1.05E+10 1.27E+10 1.08E+10 1.16E+10 9.42E+09 9.13E+09 7.28E+09 6.31E+09 4.70E+09 3.87E+09 2.74E+09 2.08E+09 1.42E+09 9.98E+08 6.40E+08 4.23E+08 2.58E+08 1.59E+08 8.95E+07 5.27E+07 2.68E+07 1.40E+07 6.53E+06 2.95E+06 1.18E+06
  60.00  2.537  4.89E+13 3.19E+12 3.93E+13 4.36E+10 4.63E+10 1.31E+11 1.30E+11 2.08E+11 1.81E+11 2.22E+11 1.93E+11 2.14E+11 1.69E+11 1.68E+11 1.35E+11 1.20E+11 9.22E+10 7.63E+10 5.60E+10 4.42E+10 2.98E+10 2.13E+10 1.41E+10 9.57E+09 6.08E+09 3.88E+09 2.29E+09 1.38E+09 7.58E+08 4.21E+08 2.14E+08 1.11E+08 5.29E+07
  70.00  2.740  9.20E+14 6.08E+13 7.66E+14 7.69E+11 8.13E+11 2.33E+12 2.31E+12 3.74E+12 3.25E+12 4.04E+12 3.54E+12 4.00E+12 3.19E+12 3.20E+12 2.63E+12 2.37E+12 1.85E+12 1.56E+12 1.18E+12 9.52E+11 6.55E+11 4.80E+11 3.29E+11 2.29E+11 1.52E+11 1.00E+11 6.15E+10 3.82E+10 2.20E+10 1.27E+10 6.80E+09 3.71E+09 1.91E+09
  80.00  2.929  1.51E+16 9.74E+14 1.29E+16 1.19E+13 1.26E+13 3.60E+13 3.58E+13 5.79E+13 5.08E+13 6.36E+13 5.62E+13 6.40E+13 5.17E+13 5.25E+13 4.36E+13 4.00E+13 3.18E+13 2.74E+13 2.10E+13 1.73E+13 1.22E+13 9.24E+12 6.49E+12 4.66E+12 3.16E+12 2.16E+12 1.38E+12 8.84E+11 5.33E+11 3.20E+11 1.80E+11 1.03E+11 5.59E+10
