                    ************************************************************************************************
                    *  Z= 22 A= 46: Positive-Parity Spin-dependent Level Density [MeV-1] for Ti 46 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  13.00  1.355  2.17E+03 3.89E+04 2.41E+03 2.64E+00 7.48E+00 1.19E+01 1.52E+01 1.76E+01 1.84E+01 1.82E+01 1.67E+01 1.48E+01 1.24E+01 9.99E+00 8.06E+00 5.97E+00 4.14E+00 3.17E+00 2.00E+00 1.24E+00 6.25E-01 2.23E-01 7.03E-02 2.12E-02 1.77E-04 2.67E-04 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  14.00  1.406  3.06E+03 2.61E+04 6.07E+03 6.63E+00 1.91E+01 3.01E+01 3.85E+01 4.40E+01 4.63E+01 4.58E+01 4.29E+01 3.86E+01 3.32E+01 2.76E+01 2.05E+01 1.53E+01 1.08E+01 5.99E+00 3.67E+00 2.11E+00 1.11E+00 5.37E-01 1.80E-01 5.85E-02 1.23E-02 4.01E-04 1.14E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  15.00  1.455  3.79E+03 8.42E+04 4.80E+03 4.23E+00 1.22E+01 1.96E+01 2.55E+01 2.96E+01 3.17E+01 3.18E+01 3.00E+01 2.70E+01 2.32E+01 1.91E+01 1.84E+01 1.49E+01 1.12E+01 8.38E+00 5.25E+00 3.10E+00 1.71E+00 8.89E-01 1.38E-01 4.28E-02 9.38E-03 5.29E-04 5.30E-04 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  16.00  1.503  4.54E+03 6.94E+04 4.72E+03 4.86E+00 1.41E+01 2.22E+01 2.84E+01 3.23E+01 3.38E+01 3.32E+01 3.09E+01 2.76E+01 2.37E+01 1.97E+01 1.53E+01 1.14E+01 8.26E+00 7.98E+00 5.28E+00 3.28E+00 1.91E+00 1.04E+00 1.01E-01 2.87E-02 6.67E-03 6.98E-04 3.00E-05 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  17.00  1.549  5.33E+03 8.53E+04 6.12E+03 7.48E+00 2.17E+01 3.42E+01 4.35E+01 4.95E+01 5.18E+01 5.11E+01 4.76E+01 4.22E+01 3.55E+01 2.88E+01 1.46E+01 1.03E+01 7.23E+00 5.87E+00 3.45E+00 1.82E+00 9.08E-01 4.30E-01 1.60E-01 9.12E-02 3.80E-02 1.24E-02 2.99E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  18.00  1.594  6.11E+03 1.43E+05 6.29E+03 7.68E+00 2.22E+01 3.50E+01 4.48E+01 5.09E+01 5.31E+01 5.18E+01 4.73E+01 4.12E+01 3.40E+01 2.68E+01 1.92E+01 1.34E+01 8.88E+00 5.55E+00 3.18E+00 1.71E+00 8.50E-01 3.98E-01 1.72E-01 6.59E-02 2.11E-02 6.29E-03 2.38E-04 9.17E-05 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  19.00  1.638  7.49E+03 1.68E+05 9.32E+03 1.21E+01 3.49E+01 5.48E+01 7.00E+01 7.96E+01 8.36E+01 8.23E+01 7.73E+01 6.93E+01 5.96E+01 4.93E+01 1.76E+01 1.21E+01 7.88E+00 4.76E+00 2.65E+00 1.39E+00 6.75E-01 3.07E-01 1.30E-01 4.67E-02 1.41E-02 1.25E-02 2.97E-03 2.30E-04 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  20.00  1.681  8.98E+03 3.08E+05 1.01E+04 1.24E+01 3.60E+01 5.66E+01 7.24E+01 8.26E+01 8.68E+01 8.57E+01 8.03E+01 7.18E+01 6.15E+01 5.05E+01 2.38E+01 1.67E+01 1.11E+01 6.89E+00 3.95E+00 2.13E+00 1.06E+00 5.00E-01 2.18E-01 8.35E-02 2.66E-02 1.53E-02 2.83E-03 1.57E-04 9.99E-06 4.14E-06 2.05E-06 1.00E-30 1.00E-30
  22.50  1.783  1.39E+04 5.03E+05 1.37E+04 1.48E+01 4.30E+01 6.77E+01 8.69E+01 9.94E+01 1.05E+02 1.03E+02 9.66E+01 8.62E+01 7.32E+01 5.94E+01 4.60E+01 3.38E+01 2.36E+01 1.54E+01 9.52E+00 5.54E+00 2.73E+00 1.40E+00 6.84E-01 3.04E-01 1.16E-01 3.53E-02 6.21E-03 1.93E-03 1.03E-04 3.15E-05 9.10E-05 1.00E-30 1.00E-30
  25.00  1.879  2.13E+04 1.08E+06 1.99E+04 2.13E+01 6.20E+01 9.75E+01 1.25E+02 1.43E+02 1.51E+02 1.48E+02 1.39E+02 1.24E+02 1.06E+02 8.59E+01 6.67E+01 4.94E+01 3.48E+01 2.33E+01 1.48E+01 8.97E+00 4.20E+00 2.25E+00 1.19E+00 5.72E-01 2.50E-01 9.64E-02 3.17E-02 5.50E-03 2.43E-03 6.94E-04 2.20E-04 2.62E-05 1.00E-30
