                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  50.00  2.038  8.89E+13 4.37E+12 7.56E+13 4.56E+10 1.34E+11 2.14E+11 2.82E+11 3.33E+11 3.67E+11 3.82E+11 3.81E+11 3.65E+11 3.38E+11 3.03E+11 2.63E+11 2.23E+11 1.83E+11 1.47E+11 1.15E+11 8.72E+10 6.48E+10 4.70E+10 3.32E+10 2.30E+10 1.55E+10 1.02E+10 6.61E+09 4.17E+09 2.57E+09 1.55E+09 9.13E+08 5.26E+08 2.97E+08
  60.00  2.233  3.57E+15 1.74E+14 3.15E+15 1.65E+12 4.87E+12 7.81E+12 1.03E+13 1.23E+13 1.37E+13 1.44E+13 1.45E+13 1.41E+13 1.33E+13 1.22E+13 1.08E+13 9.34E+12 7.88E+12 6.48E+12 5.20E+12 4.08E+12 3.13E+12 2.35E+12 1.72E+12 1.24E+12 8.70E+11 5.98E+11 4.03E+11 2.66E+11 1.72E+11 1.09E+11 6.75E+10 4.10E+10 2.44E+10
  70.00  2.411  1.08E+17 5.20E+15 9.82E+16 4.57E+13 1.35E+14 2.17E+14 2.88E+14 3.45E+14 3.86E+14 4.11E+14 4.19E+14 4.12E+14 3.93E+14 3.64E+14 3.29E+14 2.89E+14 2.49E+14 2.09E+14 1.71E+14 1.38E+14 1.08E+14 8.33E+13 6.28E+13 4.64E+13 3.36E+13 2.39E+13 1.67E+13 1.14E+13 7.62E+12 5.01E+12 3.23E+12 2.05E+12 1.27E+12
  80.00  2.578  2.59E+18 1.24E+17 2.42E+18 1.02E+15 3.01E+15 4.85E+15 6.46E+15 7.78E+15 8.76E+15 9.38E+15 9.65E+15 9.59E+15 9.24E+15 8.66E+15 7.92E+15 7.07E+15 6.16E+15 5.26E+15 4.39E+15 3.59E+15 2.88E+15 2.27E+15 1.75E+15 1.32E+15 9.82E+14 7.16E+14 5.12E+14 3.60E+14 2.48E+14 1.68E+14 1.12E+14 7.32E+13 4.70E+13
  90.00  2.734  5.19E+19 2.46E+18 4.95E+19 1.90E+16 5.62E+16 9.08E+16 1.21E+17 1.47E+17 1.66E+17 1.79E+17 1.85E+17 1.85E+17 1.80E+17 1.71E+17 1.58E+17 1.42E+17 1.26E+17 1.09E+17 9.20E+16 7.65E+16 6.23E+16 4.99E+16 3.92E+16 3.02E+16 2.29E+16 1.70E+16 1.25E+16 8.96E+15 6.33E+15 4.40E+15 3.01E+15 2.02E+15 1.33E+15
 100.00  2.882  8.88E+20 4.18E+19 8.61E+20 3.06E+17 9.05E+17 1.46E+18 1.96E+18 2.38E+18 2.70E+18 2.92E+18 3.04E+18 3.07E+18 3.00E+18 2.87E+18 2.67E+18 2.44E+18 2.17E+18 1.90E+18 1.63E+18 1.37E+18 1.13E+18 9.21E+17 7.34E+17 5.76E+17 4.44E+17 3.36E+17 2.51E+17 1.84E+17 1.32E+17 9.40E+16 6.56E+16 4.51E+16 3.05E+16
 110.00  3.023  1.33E+22 6.20E+20 1.31E+22 4.33E+18 1.28E+19 2.08E+19 2.79E+19 3.39E+19 3.86E+19 4.20E+19 4.39E+19 4.45E+19 4.39E+19 4.21E+19 3.96E+19 3.64E+19 3.28E+19 2.89E+19 2.51E+19 2.13E+19 1.78E+19 1.47E+19 1.19E+19 9.42E+18 7.37E+18 5.67E+18 4.29E+18 3.20E+18 2.35E+18 1.70E+18 1.21E+18 8.46E+17 5.84E+17
 120.00  3.157  1.77E+23 8.21E+21 1.77E+23 5.48E+19 1.62E+20 2.63E+20 3.54E+20 4.31E+20 4.93E+20 5.38E+20 5.65E+20 5.75E+20 5.70E+20 5.51E+20 5.21E+20 4.82E+20 4.38E+20 3.90E+20 3.41E+20 2.93E+20 2.48E+20 2.06E+20 1.68E+20 1.35E+20 1.07E+20 8.36E+19 6.42E+19 4.86E+19 3.62E+19 2.65E+19 1.92E+19 1.37E+19 9.61E+18
 130.00  3.286  2.14E+24 9.80E+22 2.15E+24 6.28E+20 1.86E+21 3.02E+21 4.07E+21 4.97E+21 5.70E+21 6.24E+21 6.58E+21 6.73E+21 6.70E+21 6.51E+21 6.19E+21 5.77E+21 5.27E+21 4.73E+21 4.17E+21 3.61E+21 3.08E+21 2.59E+21 2.14E+21 1.74E+21 1.39E+21 1.10E+21 8.53E+20 6.53E+20 4.93E+20 3.67E+20 2.69E+20 1.95E+20 1.39E+20
 140.00  3.410  2.35E+25 1.07E+24 2.38E+25 6.60E+21 1.96E+22 3.18E+22 4.29E+22 5.25E+22 6.03E+22 6.62E+22 7.00E+22 7.19E+22 7.19E+22 7.02E+22 6.71E+22 6.29E+22 5.78E+22 5.22E+22 4.64E+22 4.05E+22 3.48E+22 2.95E+22 2.45E+22 2.02E+22 1.63E+22 1.30E+22 1.02E+22 7.91E+21 6.04E+21 4.55E+21 3.38E+21 2.48E+21 1.79E+21
