                    ************************************************************************************************
                    *  Z= 22 A= 46: Positive-Parity Spin-dependent Level Density [MeV-1] for Ti 46 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  20.00  1.681  1.35E+04 3.08E+05 1.60E+04 1.96E+01 5.69E+01 8.94E+01 1.14E+02 1.31E+02 1.37E+02 1.35E+02 1.27E+02 1.14E+02 9.72E+01 7.98E+01 3.76E+01 2.64E+01 1.76E+01 1.09E+01 6.23E+00 3.37E+00 1.68E+00 7.89E-01 3.45E-01 1.32E-01 4.20E-02 2.42E-02 4.47E-03 2.48E-04 1.58E-05 6.53E-06 3.24E-06 1.00E-30 1.00E-30
  22.50  1.783  2.14E+04 5.03E+05 2.22E+04 2.40E+01 6.98E+01 1.10E+02 1.41E+02 1.61E+02 1.70E+02 1.68E+02 1.57E+02 1.40E+02 1.19E+02 9.64E+01 7.46E+01 5.48E+01 3.82E+01 2.50E+01 1.54E+01 8.98E+00 4.43E+00 2.27E+00 1.11E+00 4.92E-01 1.88E-01 5.73E-02 1.00E-02 3.12E-03 1.66E-04 5.11E-05 1.47E-04 1.00E-30 1.00E-30
  25.00  1.879  3.37E+04 1.08E+06 3.31E+04 3.55E+01 1.03E+02 1.62E+02 2.08E+02 2.38E+02 2.51E+02 2.47E+02 2.31E+02 2.06E+02 1.76E+02 1.43E+02 1.11E+02 8.22E+01 5.79E+01 3.87E+01 2.47E+01 1.49E+01 6.98E+00 3.74E+00 1.98E+00 9.52E-01 4.16E-01 1.60E-01 5.27E-02 9.15E-03 4.03E-03 1.15E-03 3.65E-04 4.36E-05 1.00E-30
  30.00  2.058  8.31E+04 3.72E+06 6.33E+04 6.89E+01 2.01E+02 3.16E+02 4.04E+02 4.63E+02 4.88E+02 4.82E+02 4.49E+02 3.99E+02 3.37E+02 2.72E+02 2.09E+02 1.52E+02 1.06E+02 7.00E+01 4.39E+01 2.61E+01 1.47E+01 7.78E+00 3.87E+00 1.81E+00 7.91E-01 3.26E-01 1.27E-01 4.58E-02 1.51E-02 4.39E-03 3.01E-03 6.53E-04 1.00E-30
  40.00  2.377  5.03E+05 4.57E+07 2.82E+05 3.00E+02 8.74E+02 1.37E+03 1.76E+03 2.01E+03 2.13E+03 2.10E+03 1.97E+03 1.75E+03 1.49E+03 1.21E+03 9.32E+02 6.88E+02 4.83E+02 3.28E+02 2.12E+02 1.31E+02 7.71E+01 4.31E+01 2.27E+01 1.13E+01 5.28E+00 2.32E+00 9.57E-01 3.70E-01 1.34E-01 4.48E-02 1.24E-02 2.49E-03 1.82E-04
  50.00  2.657  2.71E+06 7.06E+08 1.72E+06 1.75E+03 5.09E+03 8.00E+03 1.03E+04 1.18E+04 1.25E+04 1.24E+04 1.17E+04 1.05E+04 8.96E+03 7.35E+03 5.78E+03 4.35E+03 3.15E+03 2.17E+03 1.44E+03 9.07E+02 5.46E+02 3.13E+02 1.69E+02 8.66E+01 4.17E+01 1.87E+01 7.73E+00 2.92E+00 9.92E-01 2.92E-01 7.11E-02 1.29E-02 1.27E-03
  60.00  2.911  1.64E+07 8.40E+09 9.36E+06 8.82E+03 2.57E+04 4.06E+04 5.23E+04 6.03E+04 6.43E+04 6.45E+04 6.13E+04 5.57E+04 4.84E+04 4.03E+04 3.22E+04 2.47E+04 1.82E+04 1.29E+04 8.75E+03 5.71E+03 3.56E+03 2.12E+03 1.20E+03 6.47E+02 3.31E+02 1.60E+02 7.29E+01 3.12E+01 1.24E+01 4.59E+00 1.54E+00 4.42E-01 1.06E-01
  70.00  3.144  1.07E+08 1.35E+11 7.04E+07 5.96E+04 1.74E+05 2.76E+05 3.59E+05 4.17E+05 4.47E+05 4.54E+05 4.37E+05 4.04E+05 3.57E+05 3.02E+05 2.47E+05 1.95E+05 1.48E+05 1.08E+05 7.63E+04 5.18E+04 3.37E+04 2.11E+04 1.26E+04 7.24E+03 3.96E+03 2.06E+03 1.02E+03 4.75E+02 2.07E+02 8.47E+01 3.19E+01 1.10E+01 3.42E+00
  80.00  3.361  6.48E+08 1.65E+12 4.20E+08 3.37E+05 9.89E+05 1.57E+06 2.04E+06 2.38E+06 2.58E+06 2.61E+06 2.53E+06 2.35E+06 2.09E+06 1.80E+06 1.49E+06 1.19E+06 9.13E+05 6.78E+05 4.86E+05 3.35E+05 2.23E+05 1.43E+05 8.81E+04 5.22E+04 2.96E+04 1.60E+04 8.25E+03 4.03E+03 1.88E+03 8.16E+02 3.32E+02 1.26E+02 4.40E+01
  90.00  3.565  3.51E+09 1.74E+13 2.28E+09 1.73E+06 5.05E+06 8.03E+06 1.04E+07 1.22E+07 1.33E+07 1.37E+07 1.33E+07 1.25E+07 1.12E+07 9.70E+06 8.09E+06 6.54E+06 5.11E+06 3.86E+06 2.81E+06 1.99E+06 1.36E+06 8.92E+05 5.65E+05 3.46E+05 2.03E+05 1.15E+05 6.22E+04 3.21E+04 1.59E+04 7.47E+03 3.33E+03 1.39E+03 5.51E+02
