                    ************************************************************************************************
                    *  Z= 21 A= 45: Positive-Parity Spin-dependent Level Density [MeV-1] for Sc 45 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
  17.00  1.489  5.19E+05 5.76E+04 8.56E+05 1.89E+03 3.70E+03 5.30E+03 6.54E+03 7.28E+03 7.46E+03 7.12E+03 6.38E+03 5.41E+03 4.39E+03 3.41E+03 2.51E+03 1.77E+03 1.18E+03 7.51E+02 4.57E+02 2.62E+02 1.39E+02 6.82E+01 2.97E+01 1.19E+01 3.44E+00 4.56E-01 3.95E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  18.00  1.532  7.32E+05 6.08E+04 1.32E+06 2.88E+03 5.62E+03 8.00E+03 9.82E+03 1.09E+04 1.12E+04 1.07E+04 9.65E+03 8.27E+03 6.76E+03 5.29E+03 3.97E+03 2.85E+03 1.95E+03 1.27E+03 7.76E+02 4.51E+02 2.44E+02 1.24E+02 5.82E+01 2.36E+01 7.82E+00 1.77E+00 1.82E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  19.00  1.574  1.07E+06 8.87E+04 2.23E+06 5.13E+03 9.90E+03 1.39E+04 1.68E+04 1.85E+04 1.88E+04 1.79E+04 1.62E+04 1.40E+04 1.16E+04 9.08E+03 6.83E+03 4.87E+03 3.29E+03 2.09E+03 1.24E+03 6.84E+02 3.49E+02 1.67E+02 7.49E+01 3.01E+01 1.03E+01 2.60E+00 3.61E-01 2.50E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  20.00  1.615  1.54E+06 1.59E+05 3.17E+06 6.99E+03 1.35E+04 1.90E+04 2.30E+04 2.53E+04 2.58E+04 2.48E+04 2.27E+04 1.97E+04 1.65E+04 1.31E+04 1.00E+04 7.24E+03 4.97E+03 3.21E+03 1.94E+03 1.10E+03 5.75E+02 2.80E+02 1.27E+02 5.12E+01 1.76E+01 4.53E+00 1.14E+00 1.39E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  22.50  1.713  4.09E+06 3.69E+05 7.67E+06 1.61E+04 3.09E+04 4.34E+04 5.25E+04 5.80E+04 5.95E+04 5.77E+04 5.32E+04 4.69E+04 3.96E+04 3.21E+04 2.49E+04 1.83E+04 1.28E+04 8.52E+03 5.37E+03 3.21E+03 1.80E+03 9.49E+02 4.64E+02 2.07E+02 8.12E+01 2.59E+01 5.45E+00 1.37E+00 2.13E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  25.00  1.805  9.06E+06 8.89E+05 1.64E+07 3.47E+04 6.67E+04 9.33E+04 1.13E+05 1.24E+05 1.27E+05 1.23E+05 1.14E+05 1.00E+05 8.47E+04 6.84E+04 5.27E+04 3.85E+04 2.69E+04 1.80E+04 1.15E+04 7.10E+03 4.17E+03 2.35E+03 1.20E+03 5.79E+02 2.56E+02 9.89E+01 1.99E+01 3.75E+00 5.99E-01 1.00E-30 1.00E-30 1.25E-02 1.00E-30
  30.00  1.978  4.62E+07 3.17E+06 5.57E+07 1.21E+05 2.33E+05 3.24E+05 3.91E+05 4.29E+05 4.40E+05 4.26E+05 3.92E+05 3.45E+05 2.90E+05 2.32E+05 1.76E+05 1.26E+05 8.76E+04 5.80E+04 3.71E+04 2.29E+04 1.36E+04 7.72E+03 3.67E+03 1.64E+03 6.95E+02 2.65E+02 6.70E+01 1.75E+01 3.22E+00 5.58E-01 3.27E-03 4.49E-02 1.00E-30
  40.00  2.283  8.14E+08 2.90E+07 5.04E+08 1.21E+06 2.31E+06 3.21E+06 3.85E+06 4.20E+06 4.25E+06 4.06E+06 3.67E+06 3.16E+06 2.59E+06 2.02E+06 1.51E+06 1.07E+06 7.24E+05 4.64E+05 2.82E+05 1.62E+05 8.78E+04 4.48E+04 2.14E+04 9.60E+03 4.09E+03 1.68E+03 6.42E+02 2.17E+02 5.90E+01 8.86E+00 4.20E+01 1.39E+01 4.41E+00
  50.00  2.553  1.05E+10 3.20E+08 6.16E+09 1.29E+07 2.47E+07 3.46E+07 4.19E+07 4.62E+07 4.74E+07 4.60E+07 4.24E+07 3.73E+07 3.14E+07 2.53E+07 1.96E+07 1.46E+07 1.03E+07 7.06E+06 4.61E+06 2.87E+06 1.72E+06 9.84E+05 5.35E+05 2.76E+05 1.35E+05 6.21E+04 2.68E+04 1.08E+04 4.09E+03 1.44E+03 4.76E+02 1.55E+02 4.83E+01
  60.00  2.797  1.54E+11 5.47E+09 1.01E+11 2.07E+08 3.96E+08 5.55E+08 6.72E+08 7.42E+08 7.65E+08 7.44E+08 6.90E+08 6.10E+08 5.16E+08 4.19E+08 3.27E+08 2.45E+08 1.76E+08 1.21E+08 7.96E+07 5.02E+07 3.02E+07 1.73E+07 9.41E+06 4.84E+06 2.36E+06 1.07E+06 4.59E+05 1.82E+05 6.76E+04 2.31E+04 7.30E+03 2.12E+03 5.73E+02
  70.00  3.021  1.88E+12 6.36E+10 1.20E+12 2.29E+09 4.39E+09 6.17E+09 7.50E+09 8.32E+09 8.62E+09 8.46E+09 7.89E+09 7.06E+09 6.04E+09 4.97E+09 3.93E+09 3.00E+09 2.20E+09 1.55E+09 1.05E+09 6.80E+08 4.23E+08 2.52E+08 1.43E+08 7.74E+07 3.97E+07 1.94E+07 8.85E+06 3.80E+06 1.52E+06 5.58E+05 1.87E+05 5.71E+04 1.54E+04
  80.00  3.229  2.03E+13 6.97E+11 1.34E+13 2.35E+10 4.53E+10 6.38E+10 7.79E+10 8.70E+10 9.07E+10 8.97E+10 8.47E+10 7.66E+10 6.65E+10 5.56E+10 4.48E+10 3.49E+10 2.62E+10 1.89E+10 1.32E+10 8.84E+09 5.72E+09 3.54E+09 2.11E+09 1.21E+09 6.60E+08 3.44E+08 1.70E+08 7.98E+07 3.52E+07 1.46E+07 5.63E+06 2.00E+06 6.47E+05
  90.00  3.425  2.01E+14 6.92E+12 1.34E+14 2.19E+11 4.23E+11 5.98E+11 7.33E+11 8.23E+11 8.64E+11 8.61E+11 8.20E+11 7.49E+11 6.59E+11 5.59E+11 4.58E+11 3.61E+11 2.77E+11 2.05E+11 1.46E+11 1.01E+11 6.70E+10 4.29E+10 2.66E+10 1.58E+10 9.02E+09 4.94E+09 2.58E+09 1.29E+09 6.14E+08 2.76E+08 1.17E+08 4.68E+07 1.74E+07
 100.00  3.610  1.77E+15 6.15E+13 1.20E+15 1.81E+12 3.52E+12 4.98E+12 6.13E+12 6.90E+12 7.30E+12 7.33E+12 7.05E+12 6.51E+12 5.79E+12 4.96E+12 4.13E+12 3.33E+12 2.59E+12 1.95E+12 1.42E+12 1.01E+12 6.88E+11 4.55E+11 2.91E+11 1.80E+11 1.07E+11 6.12E+10 3.38E+10 1.78E+10 9.07E+09 4.40E+09 2.02E+09 8.87E+08 3.69E+08
 110.00  3.787  1.33E+16 4.56E+14 9.03E+15 1.27E+13 2.46E+13 3.50E+13 4.33E+13 4.89E+13 5.20E+13 5.27E+13 5.10E+13 4.75E+13 4.27E+13 3.71E+13 3.12E+13 2.55E+13 2.02E+13 1.54E+13 1.15E+13 8.32E+12 5.83E+12 3.96E+12 2.61E+12 1.66E+12 1.02E+12 6.08E+11 3.49E+11 1.93E+11 1.03E+11 5.26E+10 2.57E+10 1.21E+10 5.39E+09
 120.00  3.955  9.09E+16 3.10E+15 6.23E+16 8.20E+13 1.59E+14 2.27E+14 2.80E+14 3.19E+14 3.40E+14 3.47E+14 3.39E+14 3.18E+14 2.88E+14 2.53E+14 2.16E+14 1.78E+14 1.43E+14 1.12E+14 8.46E+13 6.23E+13 4.45E+13 3.09E+13 2.09E+13 1.37E+13 8.66E+12 5.32E+12 3.16E+12 1.82E+12 1.01E+12 5.42E+11 2.79E+11 1.39E+11 6.59E+10
 130.00  4.116  5.75E+17 1.95E+16 3.97E+17 4.90E+14 9.52E+14 1.36E+15 1.69E+15 1.93E+15 2.07E+15 2.12E+15 2.08E+15 1.97E+15 1.80E+15 1.59E+15 1.37E+15 1.15E+15 9.34E+14 7.38E+14 5.68E+14 4.25E+14 3.10E+14 2.19E+14 1.51E+14 1.01E+14 6.58E+13 4.16E+13 2.55E+13 1.51E+13 8.71E+12 4.85E+12 2.60E+12 1.35E+12 6.77E+11
