                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  15.00  1.116  9.15E+09 3.03E+09 3.78E+10 6.09E+07 1.75E+08 2.70E+08 3.34E+08 3.66E+08 3.65E+08 3.39E+08 2.95E+08 2.42E+08 1.88E+08 1.39E+08 9.73E+07 6.51E+07 4.16E+07 2.54E+07 1.48E+07 8.25E+06 4.40E+06 2.25E+06 1.10E+06 5.15E+05 2.31E+05 9.95E+04 4.10E+04 1.62E+04 6.15E+03 2.24E+03 7.79E+02 2.61E+02 8.35E+01
  16.00  1.153  2.60E+10 8.44E+09 1.07E+11 1.63E+08 4.71E+08 7.27E+08 9.06E+08 9.97E+08 1.00E+09 9.38E+08 8.25E+08 6.85E+08 5.39E+08 4.04E+08 2.88E+08 1.97E+08 1.28E+08 7.98E+07 4.76E+07 2.72E+07 1.49E+07 7.81E+06 3.93E+06 1.90E+06 8.79E+05 3.91E+05 1.67E+05 6.84E+04 2.69E+04 1.02E+04 3.69E+03 1.29E+03 4.32E+02
  17.00  1.188  7.16E+10 2.28E+10 2.95E+11 4.26E+08 1.23E+09 1.90E+09 2.38E+09 2.63E+09 2.67E+09 2.51E+09 2.23E+09 1.87E+09 1.49E+09 1.13E+09 8.21E+08 5.69E+08 3.77E+08 2.39E+08 1.46E+08 8.50E+07 4.76E+07 2.56E+07 1.32E+07 6.56E+06 3.13E+06 1.43E+06 6.30E+05 2.67E+05 1.09E+05 4.25E+04 1.60E+04 5.79E+03 2.02E+03
  18.00  1.223  1.91E+11 5.96E+10 7.84E+11 1.08E+09 3.12E+09 4.83E+09 6.07E+09 6.75E+09 6.88E+09 6.53E+09 5.85E+09 4.95E+09 3.99E+09 3.07E+09 2.25E+09 1.58E+09 1.07E+09 6.88E+08 4.27E+08 2.54E+08 1.45E+08 7.98E+07 4.22E+07 2.14E+07 1.05E+07 4.93E+06 2.23E+06 9.73E+05 4.08E+05 1.65E+05 6.41E+04 2.40E+04 8.67E+03
  19.00  1.256  4.94E+11 1.52E+11 2.03E+12 2.66E+09 7.71E+09 1.20E+10 1.51E+10 1.68E+10 1.73E+10 1.65E+10 1.49E+10 1.27E+10 1.04E+10 8.05E+09 5.98E+09 4.26E+09 2.91E+09 1.91E+09 1.20E+09 7.29E+08 4.24E+08 2.38E+08 1.28E+08 6.67E+07 3.34E+07 1.61E+07 7.47E+06 3.34E+06 1.44E+06 5.99E+05 2.40E+05 9.28E+04 3.46E+04
  20.00  1.289  1.25E+12 3.77E+11 5.11E+12 6.43E+09 1.86E+10 2.90E+10 3.66E+10 4.11E+10 4.23E+10 4.07E+10 3.70E+10 3.19E+10 2.62E+10 2.05E+10 1.54E+10 1.11E+10 7.70E+09 5.12E+09 3.27E+09 2.02E+09 1.19E+09 6.82E+08 3.75E+08 1.99E+08 1.02E+08 5.01E+07 2.38E+07 1.09E+07 4.82E+06 2.06E+06 8.47E+05 3.37E+05 1.29E+05
  22.50  1.367  1.79E+13 3.33E+12 4.66E+13 5.31E+10 1.54E+11 2.41E+11 3.07E+11 3.47E+11 3.61E+11 3.52E+11 3.25E+11 2.85E+11 2.38E+11 1.91E+11 1.47E+11 1.09E+11 7.75E+10 5.32E+10 3.51E+10 2.24E+10 1.38E+10 8.17E+09 4.69E+09 2.59E+09 1.39E+09 7.17E+08 3.58E+08 1.73E+08 8.08E+07 3.65E+07 1.59E+07 6.73E+06 2.75E+06
  25.00  1.441  1.48E+14 2.60E+13 3.75E+14 3.92E+11 1.14E+12 1.79E+12 2.29E+12 2.61E+12 2.74E+12 2.70E+12 2.52E+12 2.24E+12 1.91E+12 1.56E+12 1.22E+12 9.26E+11 6.75E+11 4.75E+11 3.22E+11 2.11E+11 1.34E+11 8.22E+10 4.87E+10 2.80E+10 1.55E+10 8.36E+09 4.35E+09 2.20E+09 1.07E+09 5.08E+08 2.33E+08 1.03E+08 4.45E+07
  30.00  1.579  1.21E+16 1.19E+15 1.81E+16 1.63E+13 4.75E+13 7.50E+13 9.67E+13 1.11E+14 1.19E+14 1.19E+14 1.13E+14 1.03E+14 9.01E+13 7.57E+13 6.13E+13 4.80E+13 3.63E+13 2.65E+13 1.88E+13 1.29E+13 8.59E+12 5.55E+12 3.47E+12 2.11E+12 1.24E+12 7.12E+11 3.96E+11 2.14E+11 1.12E+11 5.71E+10 2.83E+10 1.36E+10 6.36E+09
  40.00  1.823  2.13E+19 1.07E+18 1.74E+19 1.25E+16 3.66E+16 5.82E+16 7.60E+16 8.89E+16 9.66E+16 9.91E+16 9.70E+16 9.11E+16 8.23E+16 7.19E+16 6.08E+16 4.98E+16 3.96E+16 3.06E+16 2.30E+16 1.68E+16 1.19E+16 8.26E+15 5.57E+15 3.66E+15 2.34E+15 1.46E+15 8.86E+14 5.25E+14 3.03E+14 1.71E+14 9.40E+13 5.04E+13 2.64E+13
