                    ************************************************************************************************
                    *  Z= 28 A= 60: Positive-Parity Spin-dependent Level Density [MeV-1] for Ni 60 and ldmodel= 3  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  19.00  1.822  2.73E+05 5.41E+04 6.43E+05 1.20E+03 3.44E+03 5.24E+03 6.42E+03 6.91E+03 6.76E+03 6.12E+03 5.17E+03 4.10E+03 3.07E+03 2.18E+03 1.46E+03 9.30E+02 5.63E+02 3.25E+02 1.78E+02 9.29E+01 4.63E+01 2.19E+01 9.93E+00 4.29E+00 1.77E+00 6.94E-01 2.60E-01 9.33E-02 3.19E-02 1.04E-02 3.25E-03 9.70E-04 2.76E-04
  20.00  1.869  4.47E+05 8.73E+04 1.05E+06 1.88E+03 5.40E+03 8.25E+03 1.01E+04 1.10E+04 1.08E+04 9.84E+03 8.39E+03 6.72E+03 5.09E+03 3.65E+03 2.48E+03 1.60E+03 9.86E+02 5.77E+02 3.22E+02 1.72E+02 8.71E+01 4.22E+01 1.95E+01 8.64E+00 3.65E+00 1.47E+00 5.68E-01 2.09E-01 7.38E-02 2.49E-02 8.01E-03 2.47E-03 7.28E-04
  22.50  1.983  1.83E+06 2.76E+05 3.43E+06 5.60E+03 1.61E+04 2.48E+04 3.07E+04 3.35E+04 3.34E+04 3.09E+04 2.69E+04 2.20E+04 1.70E+04 1.25E+04 8.77E+03 5.85E+03 3.72E+03 2.26E+03 1.31E+03 7.28E+02 3.87E+02 1.97E+02 9.56E+01 4.45E+01 1.99E+01 8.49E+00 3.48E+00 1.37E+00 5.14E-01 1.85E-01 6.41E-02 2.12E-02 6.75E-03
  25.00  2.090  5.98E+06 8.29E+05 1.06E+07 1.59E+04 4.59E+04 7.08E+04 8.83E+04 9.73E+04 9.81E+04 9.20E+04 8.11E+04 6.76E+04 5.34E+04 4.02E+04 2.88E+04 1.97E+04 1.29E+04 8.09E+03 4.85E+03 2.79E+03 1.54E+03 8.13E+02 4.12E+02 2.01E+02 9.37E+01 4.21E+01 1.81E+01 7.50E+00 2.98E+00 1.14E+00 4.18E-01 1.47E-01 4.99E-02
  30.00  2.289  7.12E+07 6.52E+06 8.74E+07 1.14E+05 3.29E+05 5.11E+05 6.45E+05 7.21E+05 7.39E+05 7.08E+05 6.40E+05 5.48E+05 4.47E+05 3.48E+05 2.60E+05 1.85E+05 1.27E+05 8.36E+04 5.29E+04 3.22E+04 1.88E+04 1.06E+04 5.74E+03 3.00E+03 1.51E+03 7.31E+02 3.41E+02 1.54E+02 6.67E+01 2.79E+01 1.13E+01 4.38E+00 1.64E+00
  40.00  2.644  5.36E+09 2.65E+08 3.82E+09 3.97E+06 1.16E+07 1.81E+07 2.32E+07 2.64E+07 2.78E+07 2.74E+07 2.56E+07 2.28E+07 1.94E+07 1.59E+07 1.25E+07 9.47E+06 6.91E+06 4.87E+06 3.31E+06 2.18E+06 1.38E+06 8.51E+05 5.06E+05 2.91E+05 1.62E+05 8.75E+04 4.57E+04 2.31E+04 1.13E+04 5.38E+03 2.48E+03 1.10E+03 4.77E+02
  50.00  2.956  1.48E+11 7.13E+09 1.09E+11 9.54E+07 2.79E+08 4.40E+08 5.69E+08 6.57E+08 7.02E+08 7.06E+08 6.75E+08 6.17E+08 5.42E+08 4.58E+08 3.73E+08 2.94E+08 2.24E+08 1.65E+08 1.18E+08 8.17E+07 5.49E+07 3.58E+07 2.27E+07 1.39E+07 8.31E+06 4.82E+06 2.71E+06 1.48E+06 7.90E+05 4.08E+05 2.05E+05 1.00E+05 4.77E+04
  60.00  3.238  3.01E+12 1.43E+11 2.29E+12 1.74E+09 5.10E+09 8.09E+09 1.05E+10 1.23E+10 1.33E+10 1.36E+10 1.32E+10 1.23E+10 1.10E+10 9.53E+09 7.98E+09 6.47E+09 5.08E+09 3.88E+09 2.87E+09 2.07E+09 1.45E+09 9.85E+08 6.52E+08 4.21E+08 2.64E+08 1.61E+08 9.60E+07 5.57E+07 3.14E+07 1.73E+07 9.28E+06 4.85E+06 2.47E+06
  70.00  3.497  4.87E+13 2.28E+12 3.81E+13 2.57E+10 7.55E+10 1.20E+11 1.57E+11 1.85E+11 2.02E+11 2.08E+11 2.05E+11 1.94E+11 1.77E+11 1.56E+11 1.33E+11 1.10E+11 8.89E+10 6.96E+10 5.30E+10 3.93E+10 2.84E+10 2.00E+10 1.37E+10 9.17E+09 5.98E+09 3.81E+09 2.36E+09 1.43E+09 8.48E+08 4.90E+08 2.76E+08 1.52E+08 8.16E+07
  80.00  3.739  6.58E+14 3.04E+13 5.25E+14 3.21E+11 9.41E+11 1.50E+12 1.98E+12 2.34E+12 2.57E+12 2.67E+12 2.66E+12 2.55E+12 2.36E+12 2.11E+12 1.83E+12 1.54E+12 1.27E+12 1.01E+12 7.89E+11 5.99E+11 4.44E+11 3.21E+11 2.26E+11 1.56E+11 1.05E+11 6.91E+10 4.44E+10 2.79E+10 1.71E+10 1.03E+10 6.03E+09 3.46E+09 1.94E+09
  90.00  3.966  7.65E+15 3.50E+14 6.21E+15 3.47E+12 1.02E+13 1.63E+13 2.15E+13 2.56E+13 2.83E+13 2.97E+13 2.98E+13 2.88E+13 2.69E+13 2.44E+13 2.15E+13 1.84E+13 1.53E+13 1.25E+13 9.89E+12 7.66E+12 5.79E+12 4.28E+12 3.09E+12 2.18E+12 1.51E+12 1.02E+12 6.74E+11 4.36E+11 2.76E+11 1.71E+11 1.04E+11 6.16E+10 3.58E+10
 100.00  4.180  7.85E+16 3.54E+15 6.46E+16 3.33E+13 9.81E+13 1.57E+14 2.08E+14 2.48E+14 2.76E+14 2.92E+14 2.95E+14 2.87E+14 2.71E+14 2.48E+14 2.21E+14 1.91E+14 1.62E+14 1.33E+14 1.08E+14 8.47E+13 6.52E+13 4.91E+13 3.62E+13 2.61E+13 1.84E+13 1.27E+13 8.61E+12 5.71E+12 3.71E+12 2.36E+12 1.47E+12 9.01E+11 5.40E+11
 110.00  4.384  7.23E+17 3.22E+16 6.02E+17 2.89E+14 8.51E+14 1.37E+15 1.82E+15 2.17E+15 2.43E+15 2.58E+15 2.62E+15 2.57E+15 2.45E+15 2.26E+15 2.03E+15 1.78E+15 1.52E+15 1.27E+15 1.04E+15 8.29E+14 6.48E+14 4.95E+14 3.71E+14 2.73E+14 1.96E+14 1.38E+14 9.55E+13 6.47E+13 4.30E+13 2.80E+13 1.79E+13 1.12E+13 6.89E+12
 120.00  4.579  6.07E+18 2.67E+17 5.10E+18 2.29E+15 6.76E+15 1.09E+16 1.45E+16 1.74E+16 1.95E+16 2.08E+16 2.12E+16 2.10E+16 2.01E+16 1.87E+16 1.69E+16 1.50E+16 1.29E+16 1.09E+16 9.03E+15 7.30E+15 5.78E+15 4.49E+15 3.41E+15 2.54E+15 1.86E+15 1.33E+15 9.37E+14 6.47E+14 4.38E+14 2.91E+14 1.90E+14 1.22E+14 7.65E+13
 130.00  4.766  4.68E+19 2.04E+18 3.97E+19 1.68E+16 4.95E+16 7.99E+16 1.06E+17 1.28E+17 1.44E+17 1.54E+17 1.59E+17 1.58E+17 1.52E+17 1.42E+17 1.30E+17 1.16E+17 1.01E+17 8.61E+16 7.18E+16 5.87E+16 4.70E+16 3.69E+16 2.85E+16 2.15E+16 1.59E+16 1.16E+16 8.29E+15 5.82E+15 4.01E+15 2.71E+15 1.80E+15 1.18E+15 7.55E+14
 140.00  4.946  3.36E+20 1.45E+19 2.87E+20 1.15E+17 3.39E+17 5.47E+17 7.30E+17 8.81E+17 9.94E+17 1.07E+18 1.10E+18 1.10E+18 1.07E+18 1.00E+18 9.24E+17 8.30E+17 7.29E+17 6.27E+17 5.28E+17 4.36E+17 3.53E+17 2.80E+17 2.18E+17 1.67E+17 1.25E+17 9.25E+16 6.70E+16 4.77E+16 3.34E+16 2.29E+16 1.55E+16 1.03E+16 6.71E+15
