                    ************************************************************************************************
                    *  Z= 33 A= 73: Positive-Parity Spin-dependent Level Density [MeV-1] for As 73 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
  15.00  1.100  5.42E+07 6.36E+06 1.66E+08 3.66E+05 7.22E+05 1.02E+06 1.26E+06 1.36E+06 1.42E+06 1.33E+06 1.23E+06 1.03E+06 8.56E+05 6.58E+05 4.99E+05 3.48E+05 2.41E+05 1.52E+05 9.53E+04 5.54E+04 3.25E+04 1.80E+04 1.00E+04 5.23E+03 2.73E+03 1.28E+03 5.77E+02 2.20E+02 8.68E+01 3.17E+01 8.86E+00 1.58E+00 4.01E-01
  16.00  1.136  9.76E+07 1.14E+07 2.90E+08 5.95E+05 1.18E+06 1.66E+06 2.05E+06 2.23E+06 2.35E+06 2.24E+06 2.09E+06 1.79E+06 1.51E+06 1.18E+06 9.10E+05 6.47E+05 4.54E+05 2.94E+05 1.86E+05 1.09E+05 6.48E+04 3.64E+04 2.03E+04 1.06E+04 5.56E+03 2.66E+03 1.24E+03 5.14E+02 2.12E+02 7.62E+01 2.16E+01 8.70E+00 2.52E+00
  17.00  1.171  1.69E+08 1.95E+07 4.88E+08 9.43E+05 1.86E+06 2.64E+06 3.27E+06 3.58E+06 3.79E+06 3.63E+06 3.41E+06 2.97E+06 2.55E+06 2.04E+06 1.60E+06 1.16E+06 8.26E+05 5.41E+05 3.50E+05 2.09E+05 1.25E+05 7.03E+04 3.93E+04 2.07E+04 1.09E+04 5.25E+03 2.49E+03 1.12E+03 4.75E+02 1.81E+02 7.26E+01 2.49E+01 6.01E+00
  18.00  1.205  2.82E+08 3.24E+07 7.95E+08 1.44E+06 2.85E+06 4.04E+06 5.02E+06 5.55E+06 5.90E+06 5.74E+06 5.41E+06 4.76E+06 4.13E+06 3.36E+06 2.68E+06 1.98E+06 1.44E+06 9.61E+05 6.30E+05 3.83E+05 2.30E+05 1.30E+05 7.29E+04 3.82E+04 2.01E+04 9.68E+03 4.59E+03 1.98E+03 8.02E+02 3.18E+02 1.14E+02 3.04E+01 6.39E+00
  19.00  1.238  4.57E+08 5.20E+07 1.25E+09 2.14E+06 4.22E+06 6.01E+06 7.49E+06 8.35E+06 8.91E+06 8.73E+06 8.31E+06 7.41E+06 6.49E+06 5.34E+06 4.31E+06 3.24E+06 2.41E+06 1.63E+06 1.09E+06 6.73E+05 4.10E+05 2.33E+05 1.31E+05 6.88E+04 3.64E+04 1.80E+04 8.60E+03 3.75E+03 1.58E+03 6.16E+02 2.17E+02 6.87E+01 1.96E+01
  20.00  1.270  7.21E+08 8.08E+07 1.91E+09 3.12E+06 6.17E+06 8.79E+06 1.10E+07 1.22E+07 1.31E+07 1.29E+07 1.24E+07 1.11E+07 9.81E+06 8.17E+06 6.68E+06 5.11E+06 3.84E+06 2.66E+06 1.81E+06 1.14E+06 7.06E+05 4.07E+05 2.32E+05 1.22E+05 6.47E+04 3.20E+04 1.54E+04 6.82E+03 2.92E+03 1.16E+03 4.20E+02 1.38E+02 3.95E+01
  22.50  1.347  2.46E+09 2.23E+08 5.25E+09 7.69E+06 1.52E+07 2.18E+07 2.72E+07 3.05E+07 3.29E+07 3.28E+07 3.19E+07 2.91E+07 2.62E+07 2.24E+07 1.88E+07 1.48E+07 1.15E+07 8.36E+06 5.97E+06 3.94E+06 2.55E+06 1.54E+06 9.01E+05 4.89E+05 2.63E+05 1.31E+05 6.41E+04 2.91E+04 1.30E+04 5.33E+03 2.10E+03 7.34E+02 2.36E+02
  25.00  1.420  6.69E+09 5.60E+08 1.32E+10 1.79E+07 3.53E+07 5.07E+07 6.35E+07 7.15E+07 7.75E+07 7.78E+07 7.61E+07 7.02E+07 6.40E+07 5.54E+07 4.71E+07 3.80E+07 3.02E+07 2.26E+07 1.67E+07 1.15E+07 7.77E+06 4.89E+06 3.00E+06 1.70E+06 9.49E+05 4.85E+05 2.45E+05 1.14E+05 5.23E+04 2.21E+04 9.25E+03 3.38E+03 1.23E+03
  30.00  1.555  5.39E+10 3.12E+09 7.62E+10 9.54E+07 1.89E+08 2.70E+08 3.40E+08 3.84E+08 4.17E+08 4.20E+08 4.13E+08 3.84E+08 3.54E+08 3.10E+08 2.68E+08 2.21E+08 1.81E+08 1.40E+08 1.07E+08 7.76E+07 5.56E+07 3.78E+07 2.52E+07 1.56E+07 9.49E+06 5.29E+06 2.87E+06 1.43E+06 6.93E+05 3.13E+05 1.39E+05 5.65E+04 2.22E+04
  40.00  1.796  3.01E+12 9.88E+10 2.44E+12 2.90E+09 5.73E+09 8.23E+09 1.04E+10 1.17E+10 1.28E+10 1.29E+10 1.27E+10 1.19E+10 1.10E+10 9.66E+09 8.41E+09 6.98E+09 5.77E+09 4.53E+09 3.54E+09 2.64E+09 1.96E+09 1.39E+09 9.83E+08 6.62E+08 4.45E+08 2.83E+08 1.79E+08 1.06E+08 6.16E+07 3.37E+07 1.79E+07 8.66E+06 4.05E+06
