                    ************************************************************************************************
                    *  Z= 28 A= 60: Positive-Parity Spin-dependent Level Density [MeV-1] for Ni 60 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  13.00  1.504  2.44E+04 5.79E+03 5.89E+04 1.74E+02 4.92E+02 7.26E+02 8.48E+02 8.55E+02 7.72E+02 6.34E+02 4.78E+02 3.34E+02 2.16E+02 1.30E+02 7.32E+01 3.84E+01 1.89E+01 8.67E+00 3.73E+00 1.51E+00 5.70E-01 2.02E-01 6.74E-02 2.11E-02 6.18E-03 1.70E-03 4.41E-04 1.07E-04 2.45E-05 5.27E-06 1.06E-06 2.02E-07 3.60E-08
  14.00  1.561  4.55E+04 1.05E+04 1.09E+05 3.04E+02 8.62E+02 1.28E+03 1.50E+03 1.53E+03 1.40E+03 1.17E+03 8.95E+02 6.36E+02 4.21E+02 2.60E+02 1.50E+02 8.11E+01 4.11E+01 1.95E+01 8.72E+00 3.66E+00 1.44E+00 5.34E-01 1.86E-01 6.11E-02 1.89E-02 5.49E-03 1.50E-03 3.87E-04 9.40E-05 2.15E-05 4.63E-06 9.41E-07 1.80E-07
  15.00  1.616  8.32E+04 1.89E+04 2.00E+05 5.26E+02 1.49E+03 2.22E+03 2.63E+03 2.70E+03 2.49E+03 2.11E+03 1.64E+03 1.19E+03 8.01E+02 5.06E+02 2.99E+02 1.66E+02 8.64E+01 4.23E+01 1.95E+01 8.47E+00 3.46E+00 1.34E+00 4.85E-01 1.66E-01 5.37E-02 1.64E-02 4.71E-03 1.28E-03 3.28E-04 7.93E-05 1.81E-05 3.91E-06 7.96E-07
  16.00  1.669  1.50E+05 3.34E+04 3.60E+05 8.97E+02 2.55E+03 3.81E+03 4.54E+03 4.70E+03 4.38E+03 3.74E+03 2.96E+03 2.17E+03 1.49E+03 9.60E+02 5.80E+02 3.29E+02 1.76E+02 8.86E+01 4.21E+01 1.88E+01 7.96E+00 3.18E+00 1.20E+00 4.27E-01 1.44E-01 4.57E-02 1.38E-02 3.91E-03 1.05E-03 2.68E-04 6.45E-05 1.47E-05 3.17E-06
  17.00  1.720  2.66E+05 5.82E+04 6.38E+05 1.51E+03 4.31E+03 6.47E+03 7.74E+03 8.07E+03 7.59E+03 6.55E+03 5.24E+03 3.91E+03 2.73E+03 1.79E+03 1.10E+03 6.38E+02 3.49E+02 1.80E+02 8.78E+01 4.04E+01 1.76E+01 7.26E+00 2.83E+00 1.04E+00 3.65E-01 1.21E-01 3.78E-02 1.12E-02 3.16E-03 8.41E-04 2.12E-04 5.08E-05 1.15E-05
  18.00  1.770  4.67E+05 1.00E+05 1.12E+06 2.53E+03 7.21E+03 1.09E+04 1.30E+04 1.37E+04 1.30E+04 1.13E+04 9.16E+03 6.92E+03 4.90E+03 3.26E+03 2.04E+03 1.21E+03 6.74E+02 3.56E+02 1.78E+02 8.41E+01 3.76E+01 1.60E+01 6.42E+00 2.45E+00 8.84E-01 3.03E-01 9.85E-02 3.04E-02 8.90E-03 2.47E-03 6.52E-04 1.63E-04 3.88E-05
  19.00  1.819  8.08E+05 1.71E+05 1.93E+06 4.18E+03 1.19E+04 1.80E+04 2.18E+04 2.30E+04 2.20E+04 1.93E+04 1.58E+04 1.21E+04 8.65E+03 5.84E+03 3.72E+03 2.24E+03 1.28E+03 6.88E+02 3.51E+02 1.70E+02 7.80E+01 3.40E+01 1.40E+01 5.51E+00 2.06E+00 7.28E-01 2.45E-01 7.83E-02 2.38E-02 6.87E-03 1.88E-03 4.92E-04 1.22E-04
  20.00  1.866  1.38E+06 2.88E+05 3.29E+06 6.85E+03 1.96E+04 2.97E+04 3.60E+04 3.82E+04 3.67E+04 3.26E+04 2.69E+04 2.08E+04 1.51E+04 1.03E+04 6.67E+03 4.08E+03 2.37E+03 1.30E+03 6.77E+02 3.35E+02 1.57E+02 7.02E+01 2.98E+01 1.20E+01 4.61E+00 1.68E+00 5.84E-01 1.93E-01 6.06E-02 1.81E-02 5.16E-03 1.40E-03 3.61E-04
  22.50  1.979  6.45E+06 1.01E+06 1.20E+07 2.26E+04 6.49E+04 9.89E+04 1.21E+05 1.30E+05 1.27E+05 1.15E+05 9.65E+04 7.64E+04 5.70E+04 4.02E+04 2.68E+04 1.70E+04 1.02E+04 5.87E+03 3.20E+03 1.66E+03 8.20E+02 3.86E+02 1.73E+02 7.42E+01 3.03E+01 1.18E+01 4.39E+00 1.56E+00 5.27E-01 1.70E-01 5.25E-02 1.55E-02 4.35E-03
  25.00  2.086  2.33E+07 3.37E+06 4.11E+07 7.12E+04 2.05E+05 3.13E+05 3.86E+05 4.19E+05 4.14E+05 3.80E+05 3.26E+05 2.63E+05 2.00E+05 1.45E+05 9.96E+04 6.50E+04 4.05E+04 2.40E+04 1.36E+04 7.33E+03 3.78E+03 1.86E+03 8.76E+02 3.94E+02 1.70E+02 6.98E+01 2.75E+01 1.03E+01 3.73E+00 1.29E+00 4.24E-01 1.34E-01 4.05E-02
