                    ************************************************************************************************
                    *  Z= 25 A= 55: Positive-Parity Spin-dependent Level Density [MeV-1] for Mn 55 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
  13.00  1.339  1.78E+05 1.70E+04 3.66E+05 9.30E+02 1.78E+03 2.48E+03 2.97E+03 3.24E+03 3.27E+03 3.10E+03 2.78E+03 2.37E+03 1.91E+03 1.47E+03 1.06E+03 7.26E+02 4.68E+02 2.82E+02 1.55E+02 7.72E+01 3.30E+01 1.20E+01 3.01E+00 6.01E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  14.00  1.389  2.79E+05 6.98E+04 7.87E+05 2.08E+03 3.99E+03 5.52E+03 6.59E+03 7.14E+03 7.16E+03 6.75E+03 6.06E+03 5.10E+03 4.07E+03 3.08E+03 2.21E+03 1.49E+03 9.51E+02 5.67E+02 3.13E+02 1.60E+02 7.18E+01 2.84E+01 5.41E+00 9.44E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  15.00  1.438  4.32E+05 5.41E+04 8.33E+05 2.24E+03 4.29E+03 5.94E+03 7.08E+03 7.67E+03 7.70E+03 7.25E+03 6.30E+03 5.30E+03 4.23E+03 3.20E+03 2.30E+03 1.57E+03 1.01E+03 6.12E+02 3.49E+02 1.85E+02 8.84E+01 3.85E+01 6.11E+00 1.70E+00 4.45E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  16.00  1.485  6.86E+05 9.65E+04 1.57E+06 3.97E+03 7.58E+03 1.06E+04 1.26E+04 1.37E+04 1.38E+04 1.31E+04 1.19E+04 1.01E+04 8.15E+03 6.23E+03 4.53E+03 3.12E+03 2.03E+03 1.24E+03 7.12E+02 3.75E+02 1.80E+02 7.66E+01 2.60E+01 6.89E+00 1.85E+00 1.25E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  17.00  1.531  1.07E+06 1.88E+05 2.40E+06 6.03E+03 1.15E+04 1.60E+04 1.92E+04 2.08E+04 2.10E+04 1.99E+04 1.75E+04 1.50E+04 1.22E+04 9.50E+03 7.01E+03 4.92E+03 3.28E+03 2.08E+03 1.25E+03 7.04E+02 3.71E+02 1.79E+02 7.72E+01 2.08E+01 5.26E+00 6.25E-01 1.39E+00 3.24E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  18.00  1.575  1.63E+06 1.93E+05 3.16E+06 9.40E+03 1.80E+04 2.49E+04 2.99E+04 3.25E+04 3.29E+04 3.13E+04 2.06E+04 1.74E+04 1.40E+04 1.08E+04 7.95E+03 5.61E+03 3.75E+03 2.41E+03 1.49E+03 8.72E+02 4.82E+02 2.48E+02 1.17E+02 2.06E+01 6.28E+00 1.12E+00 2.56E+00 5.48E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  19.00  1.618  2.38E+06 4.45E+05 5.68E+06 1.66E+04 3.16E+04 4.39E+04 5.23E+04 5.67E+04 5.70E+04 5.39E+04 4.04E+04 3.35E+04 2.64E+04 2.00E+04 1.44E+04 1.00E+04 6.55E+03 4.14E+03 2.48E+03 1.41E+03 7.47E+02 3.67E+02 1.64E+02 3.06E+01 8.89E+00 1.51E+00 8.87E-01 3.17E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  20.00  1.660  3.48E+06 5.23E+05 7.39E+06 1.98E+04 3.77E+04 5.23E+04 6.21E+04 6.70E+04 6.69E+04 6.29E+04 5.57E+04 4.69E+04 3.74E+04 2.84E+04 2.05E+04 1.41E+04 9.06E+03 5.67E+03 3.36E+03 1.87E+03 9.77E+02 4.71E+02 2.03E+02 7.68E+01 2.15E+01 3.59E+00 1.08E+00 2.67E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  22.50  1.761  9.26E+06 1.19E+06 1.70E+07 4.35E+04 8.29E+04 1.15E+05 1.38E+05 1.49E+05 1.50E+05 1.41E+05 1.27E+05 1.08E+05 8.68E+04 6.66E+04 4.86E+04 3.37E+04 2.14E+04 1.38E+04 8.51E+03 5.07E+03 2.81E+03 1.47E+03 7.26E+02 3.34E+02 1.37E+02 4.74E+01 1.03E+01 2.68E+00 5.82E-01 6.38E-02 1.00E-30 1.00E-30 1.00E-30
  25.00  1.856  2.15E+07 2.62E+06 3.93E+07 8.73E+04 1.67E+05 2.33E+05 2.82E+05 3.10E+05 3.17E+05 3.05E+05 2.79E+05 2.43E+05 2.01E+05 1.59E+05 1.21E+05 8.78E+04 6.08E+04 4.01E+04 2.52E+04 1.66E+04 9.47E+03 5.12E+03 2.61E+03 1.26E+03 5.72E+02 2.41E+02 9.03E+01 3.00E+01 4.34E+00 6.88E-01 3.23E-02 3.02E-02 1.00E-30
  30.00  2.034  1.35E+08 1.29E+07 1.90E+08 4.15E+05 7.95E+05 1.11E+06 1.35E+06 1.48E+06 1.51E+06 1.46E+06 1.34E+06 1.17E+06 9.76E+05 7.79E+05 5.94E+05 4.34E+05 3.03E+05 2.02E+05 1.28E+05 7.71E+04 4.39E+04 2.36E+04 1.19E+04 5.55E+03 2.36E+03 9.11E+02 3.09E+02 9.22E+01 2.36E+01 4.76E+00 6.18E+00 1.60E+00 1.57E-01
  40.00  2.348  3.26E+09 1.55E+08 2.42E+09 4.68E+06 8.98E+06 1.26E+07 1.54E+07 1.71E+07 1.77E+07 1.73E+07 1.61E+07 1.45E+07 1.23E+07 1.01E+07 7.96E+06 6.02E+06 4.37E+06 3.05E+06 2.04E+06 1.31E+06 7.98E+05 4.65E+05 2.58E+05 1.35E+05 6.72E+04 3.14E+04 1.37E+04 5.52E+03 2.04E+03 6.69E+02 1.88E+02 4.04E+01 5.43E+00
  50.00  2.625  6.17E+10 3.10E+09 5.15E+10 8.34E+07 1.61E+08 2.28E+08 2.79E+08 3.13E+08 3.29E+08 3.29E+08 3.14E+08 2.87E+08 2.53E+08 2.15E+08 1.76E+08 1.39E+08 1.07E+08 7.89E+07 5.64E+07 3.90E+07 2.61E+07 1.68E+07 1.05E+07 6.24E+06 3.56E+06 1.95E+06 1.02E+06 5.07E+05 2.39E+05 1.07E+05 4.46E+04 1.73E+04 6.11E+03
  60.00  2.876  1.16E+12 5.12E+10 8.64E+11 1.29E+09 2.49E+09 3.53E+09 4.34E+09 4.90E+09 5.19E+09 5.22E+09 5.03E+09 4.64E+09 4.15E+09 3.57E+09 2.98E+09 2.40E+09 1.88E+09 1.42E+09 1.04E+09 7.39E+08 5.09E+08 3.40E+08 2.20E+08 1.36E+08 8.11E+07 4.63E+07 2.53E+07 1.31E+07 6.47E+06 3.08E+06 1.38E+06 5.80E+05 2.27E+05
  70.00  3.106  1.45E+13 5.97E+11 1.05E+13 1.47E+10 2.84E+10 4.03E+10 4.99E+10 5.65E+10 6.01E+10 6.07E+10 5.89E+10 5.49E+10 4.94E+10 4.30E+10 3.62E+10 2.96E+10 2.34E+10 1.80E+10 1.34E+10 9.68E+09 6.78E+09 4.60E+09 3.03E+09 1.92E+09 1.17E+09 6.98E+08 3.98E+08 2.18E+08 1.15E+08 5.79E+07 2.79E+07 1.27E+07 5.55E+06
  80.00  3.321  2.48E+14 1.07E+13 1.91E+14 2.45E+11 4.75E+11 6.76E+11 8.38E+11 9.55E+11 1.02E+12 1.04E+12 1.02E+12 9.60E+11 8.74E+11 7.71E+11 6.60E+11 5.49E+11 4.43E+11 3.48E+11 2.65E+11 1.97E+11 1.42E+11 9.93E+10 6.76E+10 4.46E+10 2.86E+10 1.77E+10 1.06E+10 6.17E+09 3.46E+09 1.86E+09 9.58E+08 4.73E+08 2.19E+08
  90.00  3.522  3.31E+15 1.40E+14 2.51E+15 3.08E+12 5.97E+12 8.51E+12 1.06E+13 1.21E+13 1.30E+13 1.33E+13 1.31E+13 1.24E+13 1.14E+13 1.01E+13 8.70E+12 7.29E+12 5.94E+12 4.70E+12 3.62E+12 2.71E+12 1.98E+12 1.41E+12 9.69E+11 6.49E+11 4.22E+11 2.67E+11 1.63E+11 9.64E+10 5.53E+10 3.05E+10 1.63E+10 8.37E+09 4.13E+09
 100.00  3.713  3.52E+16 1.47E+15 2.71E+16 3.03E+13 5.90E+13 8.45E+13 1.05E+14 1.21E+14 1.31E+14 1.35E+14 1.34E+14 1.28E+14 1.19E+14 1.07E+14 9.33E+13 7.93E+13 6.56E+13 5.30E+13 4.17E+13 3.19E+13 2.38E+13 1.74E+13 1.24E+13 8.52E+12 5.73E+12 3.75E+12 2.39E+12 1.48E+12 8.91E+11 5.20E+11 2.94E+11 1.61E+11 8.54E+10
 110.00  3.894  3.33E+17 1.37E+16 2.59E+17 2.70E+14 5.28E+14 7.56E+14 9.46E+14 1.09E+15 1.19E+15 1.23E+15 1.22E+15 1.18E+15 1.10E+15 1.00E+15 8.84E+14 7.60E+14 6.38E+14 5.21E+14 4.16E+14 3.24E+14 2.46E+14 1.82E+14 1.32E+14 9.26E+13 6.37E+13 4.27E+13 2.78E+13 1.77E+13 1.09E+13 6.55E+12 3.83E+12 2.16E+12 1.19E+12
 120.00  4.067  2.75E+18 1.12E+17 2.15E+18 2.10E+15 4.10E+15 5.88E+15 7.39E+15 8.55E+15 9.33E+15 9.73E+15 9.76E+15 9.46E+15 8.91E+15 8.16E+15 7.27E+15 6.32E+15 5.36E+15 4.43E+15 3.58E+15 2.82E+15 2.19E+15 1.65E+15 1.21E+15 8.71E+14 6.11E+14 4.19E+14 2.80E+14 1.83E+14 1.17E+14 7.21E+13 4.34E+13 2.55E+13 1.45E+13
 130.00  4.233  2.07E+19 8.34E+17 1.63E+19 1.50E+16 2.92E+16 4.21E+16 5.30E+16 6.15E+16 6.73E+16 7.04E+16 7.11E+16 6.94E+16 6.57E+16 6.06E+16 5.45E+16 4.78E+16 4.09E+16 3.43E+16 2.80E+16 2.24E+16 1.75E+16 1.34E+16 1.00E+16 7.34E+15 5.24E+15 3.67E+15 2.51E+15 1.68E+15 1.09E+15 6.93E+14 4.30E+14 2.60E+14 1.53E+14
