                    ************************************************************************************************
                    *  Z= 30 A= 66: Positive-Parity Spin-dependent Level Density [MeV-1] for Zn 66 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  13.00  1.157  2.91E+05 8.48E+04 8.52E+05 2.62E+03 7.38E+03 1.09E+04 1.26E+04 1.26E+04 1.13E+04 9.21E+03 6.87E+03 4.73E+03 3.02E+03 1.79E+03 9.90E+02 5.10E+02 2.45E+02 1.10E+02 4.63E+01 1.82E+01 6.71E+00 2.31E+00 7.48E-01 2.26E-01 6.43E-02 1.71E-02 4.27E-03 1.00E-03 2.20E-04 4.52E-05 8.75E-06 1.59E-06 2.70E-07
  14.00  1.201  6.66E+05 1.88E+05 1.93E+06 5.53E+03 1.56E+04 2.31E+04 2.71E+04 2.75E+04 2.50E+04 2.07E+04 1.57E+04 1.11E+04 7.25E+03 4.43E+03 2.52E+03 1.34E+03 6.70E+02 3.13E+02 1.37E+02 5.65E+01 2.18E+01 7.92E+00 2.70E+00 8.65E-01 2.61E-01 7.38E-02 1.97E-02 4.93E-03 1.16E-03 2.57E-04 5.37E-05 1.05E-05 1.95E-06
  15.00  1.243  1.47E+06 4.03E+05 4.23E+06 1.14E+04 3.23E+04 4.80E+04 5.66E+04 5.80E+04 5.33E+04 4.48E+04 3.47E+04 2.49E+04 1.67E+04 1.04E+04 6.11E+03 3.35E+03 1.73E+03 8.35E+02 3.80E+02 1.63E+02 6.55E+01 2.48E+01 8.88E+00 2.99E+00 9.48E-01 2.83E-01 7.98E-02 2.12E-02 5.32E-03 1.26E-03 2.80E-04 5.90E-05 1.17E-05
  16.00  1.283  3.15E+06 8.41E+05 9.01E+06 2.29E+04 6.50E+04 9.71E+04 1.15E+05 1.19E+05 1.11E+05 9.42E+04 7.40E+04 5.41E+04 3.70E+04 2.36E+04 1.42E+04 7.98E+03 4.23E+03 2.11E+03 9.91E+02 4.39E+02 1.84E+02 7.24E+01 2.70E+01 9.48E+00 3.15E+00 9.87E-01 2.92E-01 8.19E-02 2.17E-02 5.42E-03 1.28E-03 2.87E-04 6.06E-05
  17.00  1.323  6.58E+06 1.71E+06 1.87E+07 4.50E+04 1.28E+05 1.92E+05 2.29E+05 2.39E+05 2.24E+05 1.93E+05 1.54E+05 1.14E+05 7.93E+04 5.17E+04 3.17E+04 1.83E+04 9.92E+03 5.08E+03 2.46E+03 1.12E+03 4.86E+02 1.98E+02 7.66E+01 2.80E+01 9.68E+00 3.17E+00 9.82E-01 2.88E-01 8.00E-02 2.11E-02 5.25E-03 1.24E-03 2.77E-04
  18.00  1.361  1.34E+07 3.42E+06 3.79E+07 8.68E+04 2.47E+05 3.72E+05 4.47E+05 4.68E+05 4.43E+05 3.86E+05 3.11E+05 2.34E+05 1.65E+05 1.10E+05 6.85E+04 4.03E+04 2.24E+04 1.18E+04 5.85E+03 2.75E+03 1.22E+03 5.15E+02 2.06E+02 7.79E+01 2.79E+01 9.50E+00 3.06E+00 9.37E-01 2.72E-01 7.49E-02 1.96E-02 4.85E-03 1.14E-03
  19.00  1.399  2.68E+07 6.68E+06 7.52E+07 1.64E+05 4.69E+05 7.08E+05 8.55E+05 9.01E+05 8.60E+05 7.55E+05 6.16E+05 4.70E+05 3.36E+05 2.27E+05 1.44E+05 8.64E+04 4.90E+04 2.63E+04 1.34E+04 6.45E+03 2.95E+03 1.28E+03 5.26E+02 2.05E+02 7.62E+01 2.68E+01 8.97E+00 2.85E+00 8.60E-01 2.47E-01 6.73E-02 1.74E-02 4.29E-03
  20.00  1.435  5.24E+07 1.28E+07 1.46E+08 3.06E+05 8.75E+05 1.33E+06 1.61E+06 1.70E+06 1.64E+06 1.45E+06 1.20E+06 9.22E+05 6.69E+05 4.57E+05 2.95E+05 1.80E+05 1.04E+05 5.70E+04 2.96E+04 1.46E+04 6.85E+03 3.05E+03 1.29E+03 5.18E+02 1.98E+02 7.19E+01 2.49E+01 8.18E+00 2.56E+00 7.62E-01 2.16E-01 5.82E-02 1.49E-02
  22.50  1.522  3.57E+08 6.08E+07 7.19E+08 1.36E+06 3.90E+06 5.94E+06 7.27E+06 7.81E+06 7.62E+06 6.88E+06 5.79E+06 4.58E+06 3.42E+06 2.41E+06 1.61E+06 1.02E+06 6.13E+05 3.51E+05 1.91E+05 9.91E+04 4.89E+04 2.30E+04 1.03E+04 4.42E+03 1.80E+03 7.01E+02 2.60E+02 9.22E+01 3.12E+01 1.01E+01 3.10E+00 9.12E-01 2.56E-01
  25.00  1.604  1.68E+09 2.65E+08 3.22E+09 5.59E+06 1.61E+07 2.46E+07 3.03E+07 3.29E+07 3.25E+07 2.98E+07 2.56E+07 2.06E+07 1.57E+07 1.14E+07 7.82E+06 5.11E+06 3.18E+06 1.89E+06 1.07E+06 5.77E+05 2.97E+05 1.47E+05 6.90E+04 3.11E+04 1.34E+04 5.51E+03 2.17E+03 8.17E+02 2.95E+02 1.02E+02 3.36E+01 1.06E+01 3.21E+00
  30.00  1.757  4.24E+10 4.07E+09 5.21E+10 7.77E+07 2.24E+08 3.46E+08 4.32E+08 4.77E+08 4.81E+08 4.51E+08 3.98E+08 3.32E+08 2.63E+08 1.98E+08 1.42E+08 9.74E+07 6.39E+07 4.01E+07 2.41E+07 1.39E+07 7.67E+06 4.06E+06 2.07E+06 1.01E+06 4.72E+05 2.12E+05 9.18E+04 3.81E+04 1.52E+04 5.82E+03 2.14E+03 7.58E+02 2.58E+02
  40.00  2.029  1.05E+13 5.22E+11 7.22E+12 8.55E+09 2.48E+10 3.88E+10 4.92E+10 5.54E+10 5.75E+10 5.57E+10 5.11E+10 4.45E+10 3.70E+10 2.94E+10 2.24E+10 1.64E+10 1.16E+10 7.84E+09 5.12E+09 3.22E+09 1.95E+09 1.14E+09 6.44E+08 3.50E+08 1.84E+08 9.35E+07 4.58E+07 2.17E+07 9.92E+06 4.38E+06 1.87E+06 7.71E+05 3.08E+05
  50.00  2.269  7.71E+14 3.80E+13 5.57E+14 5.54E+11 1.61E+12 2.54E+12 3.25E+12 3.72E+12 3.93E+12 3.90E+12 3.66E+12 3.29E+12 2.82E+12 2.33E+12 1.85E+12 1.41E+12 1.04E+12 7.45E+11 5.13E+11 3.42E+11 2.21E+11 1.38E+11 8.33E+10 4.88E+10 2.77E+10 1.52E+10 8.11E+09 4.19E+09 2.10E+09 1.02E+09 4.80E+08 2.19E+08 9.72E+07
  60.00  2.485  3.79E+16 1.86E+15 2.85E+16 2.46E+13 7.19E+13 1.14E+14 1.47E+14 1.70E+14 1.82E+14 1.83E+14 1.75E+14 1.61E+14 1.41E+14 1.20E+14 9.78E+13 7.73E+13 5.91E+13 4.37E+13 3.13E+13 2.18E+13 1.47E+13 9.63E+12 6.12E+12 3.78E+12 2.27E+12 1.32E+12 7.49E+11 4.12E+11 2.21E+11 1.15E+11 5.81E+10 2.86E+10 1.37E+10
  70.00  2.684  1.38E+18 6.70E+16 1.07E+18 8.21E+14 2.40E+15 3.81E+15 4.96E+15 5.78E+15 6.25E+15 6.37E+15 6.19E+15 5.76E+15 5.16E+15 4.46E+15 3.73E+15 3.02E+15 2.37E+15 1.80E+15 1.33E+15 9.59E+14 6.70E+14 4.55E+14 3.01E+14 1.93E+14 1.21E+14 7.38E+13 4.38E+13 2.53E+13 1.43E+13 7.83E+12 4.19E+12 2.18E+12 1.11E+12
  80.00  2.870  3.94E+19 1.90E+18 3.15E+19 2.18E+16 6.38E+16 1.02E+17 1.33E+17 1.56E+17 1.70E+17 1.75E+17 1.72E+17 1.62E+17 1.47E+17 1.29E+17 1.10E+17 9.10E+16 7.29E+16 5.68E+16 4.30E+16 3.17E+16 2.28E+16 1.60E+16 1.09E+16 7.23E+15 4.68E+15 2.96E+15 1.82E+15 1.10E+15 6.43E+14 3.68E+14 2.06E+14 1.12E+14 5.97E+13
  90.00  3.044  9.27E+20 4.44E+19 7.57E+20 4.78E+17 1.40E+18 2.24E+18 2.94E+18 3.47E+18 3.80E+18 3.95E+18 3.92E+18 3.74E+18 3.44E+18 3.06E+18 2.64E+18 2.22E+18 1.81E+18 1.44E+18 1.11E+18 8.37E+17 6.15E+17 4.41E+17 3.08E+17 2.11E+17 1.40E+17 9.13E+16 5.80E+16 3.60E+16 2.19E+16 1.30E+16 7.51E+15 4.25E+15 2.35E+15
 100.00  3.209  1.85E+22 8.78E+20 1.54E+22 8.96E+18 2.63E+19 4.21E+19 5.55E+19 6.57E+19 7.25E+19 7.58E+19 7.58E+19 7.29E+19 6.78E+19 6.11E+19 5.34E+19 4.54E+19 3.76E+19 3.03E+19 2.39E+19 1.83E+19 1.37E+19 1.00E+19 7.17E+18 5.00E+18 3.42E+18 2.28E+18 1.49E+18 9.49E+17 5.92E+17 3.62E+17 2.16E+17 1.26E+17 7.22E+16
 110.00  3.365  3.20E+23 1.51E+22 2.71E+23 1.47E+20 4.31E+20 6.91E+20 9.13E+20 1.09E+21 1.20E+21 1.27E+21 1.27E+21 1.24E+21 1.16E+21 1.05E+21 9.32E+20 8.01E+20 6.72E+20 5.49E+20 4.38E+20 3.42E+20 2.60E+20 1.94E+20 1.41E+20 1.00E+20 6.99E+19 4.77E+19 3.18E+19 2.08E+19 1.33E+19 8.32E+18 5.10E+18 3.06E+18 1.80E+18
 120.00  3.515  4.90E+24 2.29E+23 4.20E+24 2.13E+21 6.27E+21 1.01E+22 1.33E+22 1.59E+22 1.77E+22 1.87E+22 1.90E+22 1.85E+22 1.75E+22 1.60E+22 1.43E+22 1.24E+22 1.05E+22 8.72E+21 7.05E+21 5.57E+21 4.30E+21 3.25E+21 2.41E+21 1.74E+21 1.24E+21 8.58E+20 5.84E+20 3.89E+20 2.54E+20 1.63E+20 1.02E+20 6.28E+19 3.78E+19
 130.00  3.658  6.74E+25 3.12E+24 5.85E+25 2.79E+22 8.22E+22 1.32E+23 1.75E+23 2.10E+23 2.35E+23 2.49E+23 2.53E+23 2.49E+23 2.37E+23 2.19E+23 1.97E+23 1.73E+23 1.48E+23 1.24E+23 1.01E+23 8.07E+22 6.32E+22 4.84E+22 3.63E+22 2.67E+22 1.92E+22 1.36E+22 9.39E+21 6.37E+21 4.24E+21 2.77E+21 1.77E+21 1.11E+21 6.85E+20
 140.00  3.796  8.42E+26 3.87E+25 7.38E+26 3.33E+23 9.82E+23 1.58E+24 2.10E+24 2.52E+24 2.83E+24 3.01E+24 3.08E+24 3.04E+24 2.91E+24 2.71E+24 2.45E+24 2.17E+24 1.87E+24 1.58E+24 1.30E+24 1.05E+24 8.34E+23 6.47E+23 4.91E+23 3.66E+23 2.67E+23 1.91E+23 1.34E+23 9.27E+22 6.27E+22 4.16E+22 2.71E+22 1.74E+22 1.09E+22
