                    ************************************************************************************************
                    *  Z= 25 A= 55: Positive-Parity Spin-dependent Level Density [MeV-1] for Mn 55 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
  19.00  1.618  7.72E+06 1.16E+06 1.85E+07 6.20E+04 1.21E+05 1.64E+05 1.96E+05 2.02E+05 2.06E+05 1.74E+05 1.51E+05 1.17E+05 8.87E+04 6.09E+04 4.23E+04 2.40E+04 1.39E+04 7.21E+03 3.56E+03 1.57E+03 6.62E+02 2.16E+02 6.64E+01 1.67E+01 4.50E+00 8.72E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  20.00  1.660  1.31E+07 1.97E+06 3.09E+07 9.83E+04 1.92E+05 2.61E+05 3.14E+05 3.27E+05 3.34E+05 2.85E+05 2.49E+05 1.96E+05 1.51E+05 1.05E+05 7.42E+04 4.32E+04 2.57E+04 1.36E+04 6.93E+03 3.18E+03 1.40E+03 4.76E+02 1.55E+02 4.21E+01 1.36E+01 2.58E+00 8.70E-01 1.75E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  22.50  1.761  5.57E+07 6.50E+06 1.04E+08 2.90E+05 5.68E+05 7.78E+05 9.41E+05 9.98E+05 1.03E+06 9.12E+05 8.13E+05 6.64E+05 5.26E+05 3.80E+05 2.79E+05 1.72E+05 1.08E+05 6.05E+04 3.29E+04 1.62E+04 7.82E+03 3.03E+03 1.17E+03 3.71E+02 1.15E+02 2.89E+01 6.09E+00 2.06E+00 1.75E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  25.00  1.856  1.75E+08 1.90E+07 3.02E+08 7.54E+05 1.48E+06 2.03E+06 2.48E+06 2.65E+06 2.79E+06 2.52E+06 2.29E+06 1.92E+06 1.57E+06 1.18E+06 8.96E+05 5.78E+05 3.78E+05 2.25E+05 1.29E+05 6.68E+04 3.46E+04 1.46E+04 6.09E+03 2.24E+03 7.43E+02 2.18E+02 5.49E+01 1.03E+01 1.31E+01 2.20E+00 2.59E-01 1.00E-30 1.00E-30
  30.00  2.034  1.58E+09 1.17E+08 1.91E+09 3.86E+06 7.60E+06 1.06E+07 1.30E+07 1.42E+07 1.52E+07 1.43E+07 1.34E+07 1.17E+07 1.00E+07 7.97E+06 6.38E+06 4.47E+06 3.16E+06 2.05E+06 1.29E+06 7.48E+05 4.30E+05 2.07E+05 9.94E+04 4.24E+04 1.72E+04 6.14E+03 2.07E+03 5.62E+02 1.43E+02 2.59E+01 3.24E+00 5.07E+01 1.09E+01
  40.00  2.348  4.93E+10 2.03E+09 3.57E+10 5.58E+07 1.10E+08 1.55E+08 1.92E+08 2.13E+08 2.31E+08 2.24E+08 2.17E+08 1.97E+08 1.76E+08 1.49E+08 1.27E+08 9.78E+07 7.62E+07 5.58E+07 4.04E+07 2.74E+07 1.86E+07 1.11E+07 6.59E+06 3.58E+06 1.86E+06 8.64E+05 3.94E+05 1.48E+05 5.28E+04 1.64E+04 4.77E+03 1.10E+03 2.43E+02
  50.00  2.625  6.08E+11 2.37E+10 4.28E+11 6.42E+08 1.27E+09 1.78E+09 2.22E+09 2.47E+09 2.67E+09 2.58E+09 2.50E+09 2.27E+09 2.03E+09 1.72E+09 1.48E+09 1.16E+09 9.15E+08 6.89E+08 5.16E+08 3.67E+08 2.66E+08 1.75E+08 1.17E+08 7.35E+07 4.53E+07 2.60E+07 1.48E+07 7.24E+06 3.48E+06 1.47E+06 5.76E+05 1.96E+05 6.35E+04
  60.00  2.876  7.87E+12 3.05E+11 5.56E+12 7.73E+09 1.52E+10 2.23E+10 2.87E+10 3.28E+10 3.45E+10 3.45E+10 3.31E+10 2.92E+10 2.65E+10 2.25E+10 1.93E+10 1.50E+10 1.18E+10 8.84E+09 6.50E+09 4.59E+09 3.31E+09 2.17E+09 1.45E+09 9.33E+08 5.96E+08 3.62E+08 2.24E+08 1.26E+08 7.16E+07 3.79E+07 1.93E+07 8.96E+06 4.05E+06
  70.00  3.106  1.12E+14 4.38E+12 8.04E+13 1.08E+11 2.12E+11 3.11E+11 4.02E+11 4.60E+11 4.86E+11 4.89E+11 4.72E+11 4.19E+11 3.84E+11 3.28E+11 2.83E+11 2.21E+11 1.75E+11 1.32E+11 9.69E+10 6.85E+10 4.95E+10 3.21E+10 2.14E+10 1.35E+10 8.55E+09 5.14E+09 3.15E+09 1.78E+09 1.03E+09 5.70E+08 3.16E+08 1.66E+08 8.86E+07
  80.00  3.321  1.47E+15 5.79E+13 1.08E+15 1.35E+12 2.67E+12 3.92E+12 5.07E+12 5.83E+12 6.20E+12 6.28E+12 6.11E+12 5.48E+12 5.07E+12 4.40E+12 3.82E+12 3.04E+12 2.44E+12 1.88E+12 1.39E+12 1.00E+12 7.35E+11 4.84E+11 3.27E+11 2.09E+11 1.32E+11 7.96E+10 4.86E+10 2.70E+10 1.54E+10 8.36E+09 4.55E+09 2.38E+09 1.28E+09
  90.00  3.522  1.74E+16 6.84E+14 1.30E+16 1.51E+13 2.99E+13 4.40E+13 5.71E+13 6.58E+13 7.04E+13 7.18E+13 7.05E+13 6.39E+13 5.97E+13 5.23E+13 4.60E+13 3.71E+13 3.02E+13 2.35E+13 1.79E+13 1.31E+13 9.81E+12 6.61E+12 4.56E+12 2.99E+12 1.94E+12 1.20E+12 7.41E+11 4.21E+11 2.42E+11 1.32E+11 7.17E+10 3.71E+10 1.95E+10
 100.00  3.713  1.85E+17 7.23E+15 1.40E+17 1.53E+14 3.02E+14 4.44E+14 5.77E+14 6.67E+14 7.17E+14 7.37E+14 7.28E+14 6.66E+14 6.27E+14 5.55E+14 4.94E+14 4.04E+14 3.33E+14 2.64E+14 2.04E+14 1.51E+14 1.16E+14 7.96E+13 5.61E+13 3.77E+13 2.50E+13 1.57E+13 1.01E+13 5.89E+12 3.48E+12 1.96E+12 1.09E+12 5.78E+11 3.08E+11
