                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  13.00  1.039  1.12E+08 3.74E+07 4.47E+08 8.19E+05 2.35E+06 3.59E+06 4.40E+06 4.74E+06 4.65E+06 4.22E+06 3.58E+06 2.85E+06 2.14E+06 1.53E+06 1.03E+06 6.60E+05 4.02E+05 2.33E+05 1.29E+05 6.77E+04 3.40E+04 1.63E+04 7.42E+03 3.23E+03 1.34E+03 5.34E+02 2.03E+02 7.34E+01 2.54E+01 8.40E+00 2.65E+00 8.02E-01 2.31E-01
  14.00  1.078  3.20E+08 1.04E+08 1.27E+09 2.18E+06 6.27E+06 9.61E+06 1.19E+07 1.29E+07 1.28E+07 1.17E+07 1.01E+07 8.14E+06 6.23E+06 4.52E+06 3.11E+06 2.04E+06 1.28E+06 7.60E+05 4.32E+05 2.35E+05 1.22E+05 6.02E+04 2.85E+04 1.29E+04 5.60E+03 2.32E+03 9.20E+02 3.49E+02 1.27E+02 4.41E+01 1.47E+01 4.68E+00 1.43E+00
  15.00  1.116  8.78E+08 2.79E+08 3.48E+09 5.61E+06 1.61E+07 2.48E+07 3.08E+07 3.37E+07 3.36E+07 3.12E+07 2.71E+07 2.22E+07 1.73E+07 1.28E+07 8.96E+06 6.00E+06 3.83E+06 2.34E+06 1.36E+06 7.60E+05 4.05E+05 2.07E+05 1.01E+05 4.75E+04 2.13E+04 9.17E+03 3.78E+03 1.49E+03 5.66E+02 2.06E+02 7.18E+01 2.40E+01 7.69E+00
  16.00  1.153  2.32E+09 7.22E+08 9.17E+09 1.40E+07 4.03E+07 6.22E+07 7.74E+07 8.52E+07 8.57E+07 8.02E+07 7.05E+07 5.85E+07 4.61E+07 3.45E+07 2.47E+07 1.68E+07 1.09E+07 6.82E+06 4.07E+06 2.32E+06 1.27E+06 6.68E+05 3.36E+05 1.62E+05 7.52E+04 3.34E+04 1.43E+04 5.85E+03 2.30E+03 8.70E+02 3.16E+02 1.10E+02 3.69E+01
  17.00  1.188  5.94E+09 1.81E+09 2.34E+10 3.39E+07 9.78E+07 1.51E+08 1.89E+08 2.09E+08 2.12E+08 2.00E+08 1.77E+08 1.49E+08 1.19E+08 9.01E+07 6.53E+07 4.52E+07 3.00E+07 1.90E+07 1.16E+07 6.76E+06 3.79E+06 2.04E+06 1.05E+06 5.22E+05 2.49E+05 1.14E+05 5.01E+04 2.12E+04 8.64E+03 3.38E+03 1.27E+03 4.61E+02 1.61E+02
  18.00  1.223  1.48E+10 4.42E+09 5.81E+10 8.00E+07 2.31E+08 3.58E+08 4.50E+08 5.00E+08 5.10E+08 4.85E+08 4.34E+08 3.67E+08 2.96E+08 2.28E+08 1.67E+08 1.17E+08 7.91E+07 5.11E+07 3.16E+07 1.88E+07 1.08E+07 5.92E+06 3.13E+06 1.59E+06 7.77E+05 3.66E+05 1.66E+05 7.21E+04 3.03E+04 1.22E+04 4.76E+03 1.78E+03 6.43E+02
  19.00  1.256  3.58E+10 1.05E+10 1.40E+11 1.84E+08 5.34E+08 8.30E+08 1.05E+09 1.17E+09 1.20E+09 1.14E+09 1.03E+09 8.82E+08 7.18E+08 5.58E+08 4.14E+08 2.95E+08 2.02E+08 1.32E+08 8.33E+07 5.05E+07 2.94E+07 1.65E+07 8.89E+06 4.62E+06 2.31E+06 1.11E+06 5.17E+05 2.32E+05 9.99E+04 4.15E+04 1.66E+04 6.43E+03 2.39E+03
  20.00  1.289  8.47E+10 2.44E+10 3.31E+11 4.16E+08 1.21E+09 1.88E+09 2.37E+09 2.66E+09 2.74E+09 2.64E+09 2.40E+09 2.06E+09 1.70E+09 1.33E+09 1.00E+09 7.21E+08 4.99E+08 3.32E+08 2.12E+08 1.31E+08 7.74E+07 4.42E+07 2.43E+07 1.29E+07 6.58E+06 3.24E+06 1.54E+06 7.07E+05 3.13E+05 1.33E+05 5.49E+04 2.18E+04 8.37E+03
  22.50  1.367  1.00E+12 1.84E+11 2.57E+12 2.93E+09 8.52E+09 1.33E+10 1.69E+10 1.92E+10 2.00E+10 1.95E+10 1.79E+10 1.57E+10 1.32E+10 1.06E+10 8.13E+09 6.02E+09 4.28E+09 2.94E+09 1.94E+09 1.24E+09 7.61E+08 4.51E+08 2.59E+08 1.43E+08 7.66E+07 3.96E+07 1.98E+07 9.56E+06 4.46E+06 2.02E+06 8.80E+05 3.72E+05 1.52E+05
  25.00  1.441  7.18E+12 1.24E+12 1.78E+13 1.86E+10 5.42E+10 8.50E+10 1.09E+11 1.24E+11 1.30E+11 1.28E+11 1.20E+11 1.07E+11 9.07E+10 7.41E+10 5.81E+10 4.40E+10 3.20E+10 2.25E+10 1.53E+10 1.00E+10 6.36E+09 3.90E+09 2.31E+09 1.33E+09 7.38E+08 3.97E+08 2.07E+08 1.04E+08 5.09E+07 2.41E+07 1.10E+07 4.91E+06 2.11E+06
  30.00  1.579  4.34E+14 4.27E+13 6.46E+14 5.83E+11 1.70E+12 2.69E+12 3.46E+12 3.99E+12 4.25E+12 4.26E+12 4.06E+12 3.69E+12 3.23E+12 2.71E+12 2.20E+12 1.72E+12 1.30E+12 9.50E+11 6.73E+11 4.62E+11 3.08E+11 1.99E+11 1.24E+11 7.55E+10 4.45E+10 2.55E+10 1.42E+10 7.65E+09 4.01E+09 2.04E+09 1.01E+09 4.87E+08 2.28E+08
  40.00  1.823  4.62E+17 2.31E+16 3.77E+17 2.71E+14 7.93E+14 1.26E+15 1.65E+15 1.93E+15 2.09E+15 2.15E+15 2.10E+15 1.97E+15 1.78E+15 1.56E+15 1.32E+15 1.08E+15 8.58E+14 6.63E+14 4.98E+14 3.64E+14 2.58E+14 1.79E+14 1.21E+14 7.92E+13 5.06E+13 3.16E+13 1.92E+13 1.14E+13 6.57E+12 3.70E+12 2.04E+12 1.09E+12 5.71E+11
  50.00  2.038  1.20E+20 5.97E+18 1.03E+20 6.23E+16 1.83E+17 2.93E+17 3.85E+17 4.55E+17 5.01E+17 5.22E+17 5.20E+17 4.98E+17 4.61E+17 4.14E+17 3.60E+17 3.04E+17 2.50E+17 2.00E+17 1.56E+17 1.19E+17 8.85E+16 6.41E+16 4.54E+16 3.14E+16 2.12E+16 1.40E+16 9.03E+15 5.69E+15 3.51E+15 2.12E+15 1.25E+15 7.19E+14 4.05E+14
  60.00  2.233  1.85E+22 9.17E+20 1.66E+22 8.72E+18 2.57E+19 4.12E+19 5.45E+19 6.49E+19 7.21E+19 7.60E+19 7.67E+19 7.46E+19 7.03E+19 6.42E+19 5.70E+19 4.93E+19 4.16E+19 3.42E+19 2.74E+19 2.15E+19 1.65E+19 1.24E+19 9.09E+18 6.53E+18 4.59E+18 3.16E+18 2.13E+18 1.40E+18 9.07E+17 5.74E+17 3.56E+17 2.16E+17 1.29E+17
