                    ************************************************************************************************
                    *  Z= 22 A= 50: Positive-Parity Spin-dependent Level Density [MeV-1] for Ti 50 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  13.00  1.521  1.07E+04 2.50E+03 2.26E+04 9.43E+01 2.62E+02 3.75E+02 4.18E+02 3.96E+02 3.30E+02 2.47E+02 1.67E+02 1.03E+02 5.78E+01 2.98E+01 1.41E+01 6.13E+00 2.45E+00 9.05E-01 3.08E-01 9.66E-02 2.80E-02 7.49E-03 1.85E-03 4.23E-04 8.93E-05 1.74E-05 3.15E-06 5.26E-07 8.12E-08 1.16E-08 1.53E-09 1.87E-10 2.12E-11
  14.00  1.579  1.95E+04 4.41E+03 4.09E+04 1.60E+02 4.46E+02 6.42E+02 7.22E+02 6.93E+02 5.87E+02 4.47E+02 3.09E+02 1.95E+02 1.13E+02 6.00E+01 2.94E+01 1.33E+01 5.54E+00 2.14E+00 7.62E-01 2.52E-01 7.69E-02 2.18E-02 5.72E-03 1.39E-03 3.14E-04 6.57E-05 1.27E-05 2.30E-06 3.84E-07 5.95E-08 8.56E-09 1.14E-09 1.42E-10
  15.00  1.634  3.49E+04 7.67E+03 7.25E+04 2.67E+02 7.48E+02 1.08E+03 1.23E+03 1.19E+03 1.02E+03 7.93E+02 5.59E+02 3.61E+02 2.14E+02 1.17E+02 5.91E+01 2.76E+01 1.20E+01 4.79E+00 1.78E+00 6.16E-01 1.97E-01 5.88E-02 1.63E-02 4.19E-03 1.00E-03 2.23E-04 4.61E-05 8.88E-06 1.59E-06 2.65E-07 4.12E-08 5.95E-09 8.00E-10
  16.00  1.688  6.11E+04 1.31E+04 1.26E+05 4.42E+02 1.24E+03 1.80E+03 2.06E+03 2.02E+03 1.75E+03 1.38E+03 9.90E+02 6.52E+02 3.96E+02 2.22E+02 1.15E+02 5.54E+01 2.48E+01 1.03E+01 3.97E+00 1.43E+00 4.78E-01 1.49E-01 4.32E-02 1.17E-02 2.95E-03 6.93E-04 1.52E-04 3.11E-05 5.93E-06 1.05E-06 1.75E-07 2.71E-08 3.92E-09
  17.00  1.740  1.05E+05 2.21E+04 2.17E+05 7.20E+02 2.02E+03 2.96E+03 3.40E+03 3.36E+03 2.96E+03 2.36E+03 1.72E+03 1.15E+03 7.14E+02 4.10E+02 2.18E+02 1.08E+02 4.96E+01 2.13E+01 8.50E+00 3.17E+00 1.10E+00 3.57E-01 1.08E-01 3.06E-02 8.10E-03 2.00E-03 4.62E-04 9.97E-05 2.01E-05 3.80E-06 6.70E-07 1.11E-07 1.71E-08
  18.00  1.790  1.79E+05 3.68E+04 3.66E+05 1.16E+03 3.27E+03 4.80E+03 5.55E+03 5.54E+03 4.93E+03 3.98E+03 2.94E+03 2.00E+03 1.26E+03 7.40E+02 4.03E+02 2.04E+02 9.64E+01 4.25E+01 1.75E+01 6.75E+00 2.43E+00 8.17E-01 2.57E-01 7.59E-02 2.10E-02 5.42E-03 1.31E-03 2.97E-04 6.31E-05 1.26E-05 2.34E-06 4.10E-07 6.71E-08
  19.00  1.839  3.00E+05 6.06E+04 6.12E+05 1.86E+03 5.23E+03 7.71E+03 8.97E+03 9.01E+03 8.09E+03 6.60E+03 4.95E+03 3.42E+03 2.19E+03 1.31E+03 7.27E+02 3.77E+02 1.82E+02 8.26E+01 3.50E+01 1.39E+01 5.16E+00 1.80E+00 5.86E-01 1.79E-01 5.15E-02 1.39E-02 3.50E-03 8.31E-04 1.85E-04 3.86E-05 7.58E-06 1.40E-06 2.41E-07
  20.00  1.887  4.97E+05 9.85E+04 1.01E+06 2.93E+03 8.29E+03 1.23E+04 1.43E+04 1.45E+04 1.31E+04 1.08E+04 8.20E+03 5.75E+03 3.75E+03 2.27E+03 1.29E+03 6.81E+02 3.37E+02 1.56E+02 6.80E+01 2.77E+01 1.06E+01 3.81E+00 1.28E+00 4.07E-01 1.21E-01 3.38E-02 8.89E-03 2.20E-03 5.10E-04 1.12E-04 2.29E-05 4.43E-06 8.04E-07
  22.50  2.001  2.09E+06 3.18E+05 3.36E+06 8.87E+03 2.52E+04 3.75E+04 4.43E+04 4.55E+04 4.20E+04 3.54E+04 2.75E+04 1.99E+04 1.34E+04 8.44E+03 4.98E+03 2.76E+03 1.43E+03 7.00E+02 3.22E+02 1.39E+02 5.68E+01 2.18E+01 7.89E+00 2.69E+00 8.67E-01 2.63E-01 7.54E-02 2.04E-02 5.19E-03 1.25E-03 2.84E-04 6.09E-05 1.23E-05
  25.00  2.110  6.92E+06 9.67E+05 1.05E+07 2.55E+04 7.26E+04 1.09E+05 1.30E+05 1.35E+05 1.27E+05 1.09E+05 8.65E+04 6.41E+04 4.44E+04 2.88E+04 1.76E+04 1.01E+04 5.47E+03 2.79E+03 1.35E+03 6.12E+02 2.63E+02 1.07E+02 4.11E+01 1.49E+01 5.12E+00 1.67E+00 5.13E-01 1.49E-01 4.12E-02 1.07E-02 2.66E-03 6.22E-04 1.38E-04
  30.00  2.311  8.48E+07 7.79E+06 8.90E+07 1.87E+05 5.34E+05 8.08E+05 9.78E+05 1.04E+06 9.96E+05 8.82E+05 7.26E+05 5.60E+05 4.05E+05 2.77E+05 1.78E+05 1.09E+05 6.28E+04 3.43E+04 1.78E+04 8.77E+03 4.10E+03 1.82E+03 7.68E+02 3.08E+02 1.17E+02 4.26E+01 1.47E+01 4.81E+00 1.50E+00 4.46E-01 1.26E-01 3.38E-02 8.66E-03
  40.00  2.669  6.66E+09 3.29E+08 4.05E+09 6.77E+06 1.95E+07 2.99E+07 3.70E+07 4.03E+07 4.00E+07 3.69E+07 3.19E+07 2.59E+07 2.00E+07 1.46E+07 1.01E+07 6.70E+06 4.23E+06 2.54E+06 1.46E+06 8.02E+05 4.21E+05 2.11E+05 1.01E+05 4.66E+04 2.05E+04 8.63E+03 3.48E+03 1.34E+03 4.96E+02 1.76E+02 5.97E+01 1.94E+01 6.05E+00
  50.00  2.984  1.90E+11 9.17E+09 1.20E+11 1.68E+08 4.86E+08 7.52E+08 9.43E+08 1.05E+09 1.06E+09 1.01E+09 8.99E+08 7.59E+08 6.09E+08 4.65E+08 3.40E+08 2.37E+08 1.59E+08 1.02E+08 6.27E+07 3.70E+07 2.10E+07 1.14E+07 5.98E+06 3.01E+06 1.46E+06 6.78E+05 3.03E+05 1.31E+05 5.41E+04 2.16E+04 8.29E+03 3.06E+03 1.09E+03
  60.00  3.268  3.98E+12 1.89E+11 2.59E+12 3.16E+09 9.17E+09 1.43E+10 1.81E+10 2.03E+10 2.10E+10 2.03E+10 1.85E+10 1.61E+10 1.33E+10 1.05E+10 7.96E+09 5.78E+09 4.04E+09 2.71E+09 1.76E+09 1.09E+09 6.56E+08 3.79E+08 2.11E+08 1.14E+08 5.90E+07 2.95E+07 1.43E+07 6.65E+06 3.00E+06 1.30E+06 5.47E+05 2.22E+05 8.68E+04
  70.00  3.530  6.62E+13 3.11E+12 4.43E+13 4.79E+10 1.39E+11 2.18E+11 2.79E+11 3.17E+11 3.31E+11 3.25E+11 3.02E+11 2.67E+11 2.26E+11 1.83E+11 1.43E+11 1.07E+11 7.74E+10 5.39E+10 3.62E+10 2.35E+10 1.47E+10 8.91E+09 5.22E+09 2.95E+09 1.62E+09 8.56E+08 4.39E+08 2.18E+08 1.04E+08 4.85E+07 2.18E+07 9.51E+06 4.01E+06
  80.00  3.774  9.16E+14 4.25E+13 6.27E+14 6.12E+11 1.78E+12 2.81E+12 3.60E+12 4.13E+12 4.36E+12 4.34E+12 4.09E+12 3.67E+12 3.17E+12 2.62E+12 2.09E+12 1.60E+12 1.19E+12 8.53E+11 5.91E+11 3.96E+11 2.57E+11 1.62E+11 9.83E+10 5.80E+10 3.31E+10 1.84E+10 9.86E+09 5.14E+09 2.60E+09 1.27E+09 6.05E+08 2.79E+08 1.25E+08
  90.00  4.003  1.09E+16 4.99E+14 7.59E+15 6.77E+12 1.98E+13 3.12E+13 4.03E+13 4.64E+13 4.95E+13 4.97E+13 4.74E+13 4.32E+13 3.78E+13 3.18E+13 2.58E+13 2.03E+13 1.54E+13 1.13E+13 8.01E+12 5.52E+12 3.69E+12 2.39E+12 1.50E+12 9.15E+11 5.42E+11 3.12E+11 1.74E+11 9.44E+10 4.98E+10 2.55E+10 1.27E+10 6.14E+09 2.88E+09
