                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  17.00  1.188  7.88E+10 2.50E+10 3.24E+11 4.68E+08 1.35E+09 2.09E+09 2.61E+09 2.89E+09 2.93E+09 2.76E+09 2.45E+09 2.06E+09 1.64E+09 1.24E+09 9.02E+08 6.25E+08 4.14E+08 2.63E+08 1.60E+08 9.34E+07 5.23E+07 2.81E+07 1.45E+07 7.20E+06 3.43E+06 1.57E+06 6.93E+05 2.93E+05 1.19E+05 4.67E+04 1.76E+04 6.37E+03 2.22E+03
  18.00  1.223  2.09E+11 6.53E+10 8.59E+11 1.18E+09 3.42E+09 5.30E+09 6.65E+09 7.39E+09 7.54E+09 7.16E+09 6.41E+09 5.43E+09 4.38E+09 3.36E+09 2.47E+09 1.74E+09 1.17E+09 7.54E+08 4.68E+08 2.78E+08 1.59E+08 8.75E+07 4.62E+07 2.35E+07 1.15E+07 5.40E+06 2.45E+06 1.07E+06 4.47E+05 1.81E+05 7.03E+04 2.63E+04 9.50E+03
  19.00  1.256  5.41E+11 1.66E+11 2.22E+12 2.91E+09 8.43E+09 1.31E+10 1.65E+10 1.84E+10 1.89E+10 1.81E+10 1.63E+10 1.39E+10 1.13E+10 8.80E+09 6.54E+09 4.66E+09 3.18E+09 2.09E+09 1.32E+09 7.97E+08 4.64E+08 2.60E+08 1.40E+08 7.29E+07 3.65E+07 1.76E+07 8.17E+06 3.66E+06 1.58E+06 6.55E+05 2.63E+05 1.01E+05 3.78E+04
  20.00  1.289  1.36E+12 4.11E+11 5.57E+12 7.01E+09 2.03E+10 3.16E+10 4.00E+10 4.48E+10 4.62E+10 4.44E+10 4.03E+10 3.48E+10 2.85E+10 2.24E+10 1.68E+10 1.21E+10 8.40E+09 5.59E+09 3.57E+09 2.20E+09 1.30E+09 7.44E+08 4.09E+08 2.17E+08 1.11E+08 5.46E+07 2.60E+07 1.19E+07 5.26E+06 2.25E+06 9.25E+05 3.67E+05 1.41E+05
  22.50  1.367  1.94E+13 3.61E+12 5.06E+13 5.77E+10 1.68E+11 2.62E+11 3.33E+11 3.77E+11 3.92E+11 3.82E+11 3.53E+11 3.09E+11 2.59E+11 2.08E+11 1.60E+11 1.18E+11 8.42E+10 5.77E+10 3.82E+10 2.43E+10 1.50E+10 8.88E+09 5.09E+09 2.82E+09 1.51E+09 7.79E+08 3.89E+08 1.88E+08 8.78E+07 3.96E+07 1.73E+07 7.31E+06 2.99E+06
  25.00  1.441  1.60E+14 2.82E+13 4.06E+14 4.24E+11 1.24E+12 1.94E+12 2.48E+12 2.82E+12 2.96E+12 2.92E+12 2.73E+12 2.43E+12 2.07E+12 1.69E+12 1.32E+12 1.00E+12 7.30E+11 5.13E+11 3.48E+11 2.29E+11 1.45E+11 8.89E+10 5.27E+10 3.03E+10 1.68E+10 9.04E+09 4.71E+09 2.37E+09 1.16E+09 5.49E+08 2.52E+08 1.12E+08 4.81E+07
  30.00  1.579  1.30E+16 1.28E+15 1.94E+16 1.75E+13 5.11E+13 8.06E+13 1.04E+14 1.20E+14 1.28E+14 1.28E+14 1.22E+14 1.11E+14 9.68E+13 8.14E+13 6.59E+13 5.16E+13 3.90E+13 2.85E+13 2.02E+13 1.39E+13 9.23E+12 5.96E+12 3.73E+12 2.27E+12 1.34E+12 7.65E+11 4.25E+11 2.30E+11 1.20E+11 6.14E+10 3.04E+10 1.46E+10 6.83E+09
  40.00  1.823  2.27E+19 1.13E+18 1.85E+19 1.33E+16 3.90E+16 6.20E+16 8.09E+16 9.46E+16 1.03E+17 1.05E+17 1.03E+17 9.69E+16 8.76E+16 7.66E+16 6.47E+16 5.30E+16 4.22E+16 3.26E+16 2.45E+16 1.79E+16 1.27E+16 8.79E+15 5.93E+15 3.89E+15 2.49E+15 1.55E+15 9.43E+14 5.59E+14 3.23E+14 1.82E+14 1.00E+14 5.36E+13 2.81E+13
  50.00  2.038  9.11E+21 4.54E+20 7.86E+21 4.75E+18 1.39E+19 2.23E+19 2.93E+19 3.46E+19 3.81E+19 3.97E+19 3.96E+19 3.79E+19 3.51E+19 3.15E+19 2.74E+19 2.31E+19 1.90E+19 1.53E+19 1.19E+19 9.07E+18 6.73E+18 4.88E+18 3.46E+18 2.39E+18 1.61E+18 1.07E+18 6.87E+17 4.33E+17 2.67E+17 1.61E+17 9.49E+16 5.47E+16 3.09E+16
  60.00  2.233  2.09E+24 1.04E+23 1.88E+24 9.88E+20 2.91E+21 4.66E+21 6.17E+21 7.35E+21 8.16E+21 8.61E+21 8.69E+21 8.45E+21 7.96E+21 7.27E+21 6.46E+21 5.58E+21 4.71E+21 3.87E+21 3.11E+21 2.44E+21 1.87E+21 1.40E+21 1.03E+21 7.39E+20 5.20E+20 3.58E+20 2.41E+20 1.59E+20 1.03E+20 6.50E+19 4.03E+19 2.45E+19 1.46E+19
