                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  13.00  1.039  1.15E+08 3.84E+07 4.59E+08 8.41E+05 2.41E+06 3.69E+06 4.52E+06 4.87E+06 4.78E+06 4.34E+06 3.68E+06 2.93E+06 2.20E+06 1.57E+06 1.06E+06 6.78E+05 4.13E+05 2.39E+05 1.32E+05 6.95E+04 3.49E+04 1.67E+04 7.62E+03 3.32E+03 1.38E+03 5.49E+02 2.08E+02 7.54E+01 2.61E+01 8.63E+00 2.73E+00 8.23E-01 2.38E-01
  14.00  1.078  3.28E+08 1.07E+08 1.31E+09 2.24E+06 6.43E+06 9.86E+06 1.22E+07 1.32E+07 1.31E+07 1.20E+07 1.03E+07 8.35E+06 6.39E+06 4.64E+06 3.20E+06 2.10E+06 1.31E+06 7.80E+05 4.43E+05 2.41E+05 1.25E+05 6.18E+04 2.93E+04 1.33E+04 5.75E+03 2.38E+03 9.44E+02 3.58E+02 1.30E+02 4.53E+01 1.51E+01 4.81E+00 1.47E+00
  15.00  1.116  9.00E+08 2.86E+08 3.57E+09 5.75E+06 1.66E+07 2.55E+07 3.16E+07 3.45E+07 3.45E+07 3.20E+07 2.78E+07 2.28E+07 1.77E+07 1.31E+07 9.18E+06 6.15E+06 3.93E+06 2.40E+06 1.40E+06 7.79E+05 4.16E+05 2.12E+05 1.04E+05 4.87E+04 2.18E+04 9.40E+03 3.88E+03 1.53E+03 5.81E+02 2.11E+02 7.36E+01 2.46E+01 7.89E+00
  16.00  1.153  2.38E+09 7.40E+08 9.40E+09 1.43E+07 4.13E+07 6.37E+07 7.93E+07 8.73E+07 8.79E+07 8.22E+07 7.22E+07 6.00E+07 4.72E+07 3.54E+07 2.53E+07 1.72E+07 1.12E+07 6.99E+06 4.17E+06 2.38E+06 1.30E+06 6.84E+05 3.44E+05 1.66E+05 7.70E+04 3.43E+04 1.46E+04 5.99E+03 2.36E+03 8.92E+02 3.24E+02 1.13E+02 3.78E+01
  17.00  1.188  6.09E+09 1.85E+09 2.40E+10 3.47E+07 1.00E+08 1.55E+08 1.94E+08 2.14E+08 2.17E+08 2.05E+08 1.82E+08 1.52E+08 1.22E+08 9.23E+07 6.69E+07 4.63E+07 3.07E+07 1.95E+07 1.19E+07 6.92E+06 3.88E+06 2.08E+06 1.08E+06 5.34E+05 2.55E+05 1.17E+05 5.13E+04 2.17E+04 8.85E+03 3.46E+03 1.30E+03 4.72E+02 1.64E+02
  18.00  1.223  1.51E+10 4.52E+09 5.95E+10 8.18E+07 2.37E+08 3.67E+08 4.60E+08 5.12E+08 5.22E+08 4.96E+08 4.44E+08 3.76E+08 3.03E+08 2.33E+08 1.71E+08 1.20E+08 8.09E+07 5.22E+07 3.24E+07 1.93E+07 1.10E+07 6.06E+06 3.20E+06 1.63E+06 7.95E+05 3.74E+05 1.69E+05 7.38E+04 3.10E+04 1.25E+04 4.87E+03 1.82E+03 6.58E+02
  19.00  1.256  3.66E+10 1.08E+10 1.44E+11 1.89E+08 5.46E+08 8.49E+08 1.07E+09 1.19E+09 1.22E+09 1.17E+09 1.05E+09 9.02E+08 7.34E+08 5.70E+08 4.24E+08 3.02E+08 2.06E+08 1.35E+08 8.52E+07 5.16E+07 3.01E+07 1.69E+07 9.09E+06 4.72E+06 2.36E+06 1.14E+06 5.29E+05 2.37E+05 1.02E+05 4.25E+04 1.70E+04 6.57E+03 2.45E+03
  20.00  1.289  8.66E+10 2.50E+10 3.38E+11 4.26E+08 1.23E+09 1.92E+09 2.43E+09 2.72E+09 2.80E+09 2.70E+09 2.45E+09 2.11E+09 1.73E+09 1.36E+09 1.02E+09 7.37E+08 5.10E+08 3.39E+08 2.17E+08 1.34E+08 7.91E+07 4.52E+07 2.48E+07 1.32E+07 6.73E+06 3.32E+06 1.58E+06 7.22E+05 3.19E+05 1.36E+05 5.61E+04 2.23E+04 8.55E+03
  22.50  1.367  1.02E+12 1.88E+11 2.63E+12 2.99E+09 8.70E+09 1.36E+10 1.73E+10 1.96E+10 2.04E+10 1.99E+10 1.83E+10 1.61E+10 1.34E+10 1.08E+10 8.30E+09 6.14E+09 4.37E+09 3.00E+09 1.98E+09 1.26E+09 7.76E+08 4.61E+08 2.64E+08 1.46E+08 7.82E+07 4.04E+07 2.02E+07 9.76E+06 4.56E+06 2.06E+06 8.99E+05 3.79E+05 1.55E+05
  25.00  1.441  7.33E+12 1.26E+12 1.82E+13 1.90E+10 5.53E+10 8.67E+10 1.11E+11 1.26E+11 1.33E+11 1.31E+11 1.22E+11 1.09E+11 9.25E+10 7.55E+10 5.93E+10 4.48E+10 3.27E+10 2.30E+10 1.56E+10 1.02E+10 6.49E+09 3.98E+09 2.36E+09 1.35E+09 7.53E+08 4.05E+08 2.11E+08 1.06E+08 5.19E+07 2.46E+07 1.13E+07 5.00E+06 2.15E+06
