                    ************************************************************************************************
                    *  Z= 21 A= 45: Positive-Parity Spin-dependent Level Density [MeV-1] for Sc 45 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
  13.00  1.421  1.28E+05 2.82E+04 2.27E+05 2.09E+03 3.72E+03 4.61E+03 4.69E+03 4.15E+03 3.26E+03 2.31E+03 1.48E+03 8.67E+02 4.64E+02 2.28E+02 1.03E+02 4.25E+01 1.62E+01 5.69E+00 1.84E+00 5.50E-01 1.52E-01 3.86E-02 9.07E-03 1.97E-03 3.94E-04 7.31E-05 1.25E-05 1.98E-06 2.90E-07 3.92E-08 4.90E-09 5.67E-10 6.07E-11
  14.00  1.474  2.23E+05 4.76E+04 3.90E+05 3.41E+03 6.11E+03 7.61E+03 7.81E+03 6.99E+03 5.57E+03 4.00E+03 2.62E+03 1.56E+03 8.57E+02 4.32E+02 2.00E+02 8.55E+01 3.37E+01 1.23E+01 4.13E+00 1.28E+00 3.70E-01 9.85E-02 2.43E-02 5.54E-03 1.17E-03 2.30E-04 4.17E-05 7.01E-06 1.09E-06 1.58E-07 2.11E-08 2.62E-09 3.02E-10
  15.00  1.526  3.81E+05 7.91E+04 6.59E+05 5.51E+03 9.88E+03 1.24E+04 1.28E+04 1.16E+04 9.34E+03 6.81E+03 4.53E+03 2.76E+03 1.54E+03 7.96E+02 3.79E+02 1.66E+02 6.76E+01 2.54E+01 8.86E+00 2.86E+00 8.56E-01 2.38E-01 6.12E-02 1.46E-02 3.25E-03 6.69E-04 1.28E-04 2.27E-05 3.75E-06 5.75E-07 8.20E-08 1.08E-08 1.33E-09
  16.00  1.576  6.40E+05 1.29E+05 1.10E+06 8.77E+03 1.58E+04 1.99E+04 2.07E+04 1.89E+04 1.54E+04 1.14E+04 7.70E+03 4.77E+03 2.72E+03 1.43E+03 6.98E+02 3.15E+02 1.31E+02 5.09E+01 1.83E+01 6.11E+00 1.90E+00 5.47E-01 1.47E-01 3.65E-02 8.47E-03 1.83E-03 3.67E-04 6.85E-05 1.19E-05 1.93E-06 2.90E-07 4.07E-08 5.32E-09
  17.00  1.625  1.06E+06 2.09E+05 1.80E+06 1.38E+04 2.49E+04 3.15E+04 3.31E+04 3.04E+04 2.51E+04 1.88E+04 1.29E+04 8.10E+03 4.70E+03 2.53E+03 1.26E+03 5.80E+02 2.48E+02 9.89E+01 3.66E+01 1.26E+01 4.04E+00 1.21E+00 3.35E-01 8.69E-02 2.10E-02 4.72E-03 9.89E-04 1.93E-04 3.53E-05 6.00E-06 9.51E-07 1.41E-07 1.94E-08
  18.00  1.672  1.73E+06 3.34E+05 2.92E+06 2.15E+04 3.89E+04 4.95E+04 5.23E+04 4.84E+04 4.03E+04 3.05E+04 2.12E+04 1.35E+04 7.98E+03 4.36E+03 2.21E+03 1.04E+03 4.58E+02 1.87E+02 7.11E+01 2.52E+01 8.32E+00 2.56E+00 7.37E-01 1.98E-01 4.95E-02 1.16E-02 2.53E-03 5.16E-04 9.83E-05 1.75E-05 2.91E-06 4.52E-07 6.57E-08
  19.00  1.718  2.78E+06 5.28E+05 4.67E+06 3.32E+04 6.03E+04 7.68E+04 8.16E+04 7.62E+04 6.39E+04 4.89E+04 3.43E+04 2.22E+04 1.33E+04 7.41E+03 3.83E+03 1.84E+03 8.26E+02 3.45E+02 1.34E+02 4.89E+01 1.66E+01 5.27E+00 1.56E+00 4.33E-01 1.12E-01 2.72E-02 6.17E-03 1.31E-03 2.60E-04 4.83E-05 8.38E-06 1.36E-06 2.08E-07
  20.00  1.762  4.44E+06 8.26E+05 7.40E+06 5.08E+04 9.24E+04 1.18E+05 1.26E+05 1.19E+05 1.00E+05 7.75E+04 5.50E+04 3.61E+04 2.19E+04 1.24E+04 6.51E+03 3.19E+03 1.46E+03 6.23E+02 2.48E+02 9.26E+01 3.23E+01 1.05E+01 3.21E+00 9.18E-01 2.46E-01 6.16E-02 1.45E-02 3.18E-03 6.55E-04 1.27E-04 2.29E-05 3.89E-06 6.18E-07
  22.50  1.869  1.66E+07 2.43E+06 2.24E+07 1.42E+05 2.59E+05 3.34E+05 3.61E+05 3.44E+05 2.97E+05 2.34E+05 1.70E+05 1.15E+05 7.21E+04 4.21E+04 2.30E+04 1.17E+04 5.61E+03 2.51E+03 1.05E+03 4.15E+02 1.53E+02 5.31E+01 1.73E+01 5.29E+00 1.52E+00 4.10E-01 1.04E-01 2.48E-02 5.55E-03 1.17E-03 2.32E-04 4.32E-05 7.57E-06
  25.00  1.970  5.05E+07 6.79E+06 6.43E+07 3.79E+05 6.95E+05 9.03E+05 9.85E+05 9.51E+05 8.32E+05 6.69E+05 4.97E+05 3.43E+05 2.21E+05 1.33E+05 7.51E+04 3.97E+04 1.97E+04 9.19E+03 4.03E+03 1.66E+03 6.44E+02 2.35E+02 8.09E+01 2.62E+01 8.00E+00 2.30E+00 6.23E-01 1.59E-01 3.83E-02 8.70E-03 1.86E-03 3.76E-04 7.16E-05
  30.00  2.158  5.20E+08 4.70E+07 4.66E+08 2.42E+06 4.46E+06 5.87E+06 6.50E+06 6.41E+06 5.76E+06 4.76E+06 3.67E+06 2.63E+06 1.77E+06 1.12E+06 6.66E+05 3.73E+05 1.97E+05 9.82E+04 4.62E+04 2.05E+04 8.64E+03 3.43E+03 1.29E+03 4.60E+02 1.55E+02 4.94E+01 1.49E+01 4.26E+00 1.15E+00 2.96E-01 7.18E-02 1.65E-02 3.60E-03
  40.00  2.492  3.16E+10 1.55E+09 1.66E+10 7.02E+07 1.31E+08 1.75E+08 1.98E+08 2.02E+08 1.88E+08 1.62E+08 1.31E+08 9.96E+07 7.13E+07 4.83E+07 3.10E+07 1.88E+07 1.09E+07 5.97E+06 3.11E+06 1.54E+06 7.28E+05 3.27E+05 1.40E+05 5.70E+04 2.21E+04 8.18E+03 2.88E+03 9.69E+02 3.10E+02 9.48E+01 2.76E+01 7.67E+00 2.03E+00
  50.00  2.786  7.52E+11 3.60E+10 4.07E+11 1.47E+09 2.76E+09 3.73E+09 4.30E+09 4.45E+09 4.25E+09 3.79E+09 3.17E+09 2.50E+09 1.87E+09 1.33E+09 9.01E+08 5.80E+08 3.56E+08 2.09E+08 1.17E+08 6.26E+07 3.20E+07 1.57E+07 7.33E+06 3.28E+06 1.41E+06 5.77E+05 2.27E+05 8.52E+04 3.07E+04 1.06E+04 3.50E+03 1.11E+03 3.36E+02
  60.00  3.052  1.36E+13 6.43E+11 7.62E+12 2.41E+10 4.55E+10 6.20E+10 7.23E+10 7.62E+10 7.41E+10 6.75E+10 5.79E+10 4.71E+10 3.65E+10 2.69E+10 1.89E+10 1.27E+10 8.19E+09 5.05E+09 2.98E+09 1.69E+09 9.17E+08 4.78E+08 2.39E+08 1.15E+08 5.31E+07 2.35E+07 1.00E+07 4.10E+06 1.61E+06 6.10E+05 2.22E+05 7.75E+04 2.60E+04
  70.00  3.297  2.01E+14 9.38E+12 1.16E+14 3.26E+11 6.19E+11 8.50E+11 1.00E+12 1.07E+12 1.05E+12 9.77E+11 8.56E+11 7.13E+11 5.66E+11 4.29E+11 3.11E+11 2.17E+11 1.45E+11 9.28E+10 5.71E+10 3.39E+10 1.93E+10 1.06E+10 5.58E+09 2.83E+09 1.39E+09 6.54E+08 2.97E+08 1.30E+08 5.47E+07 2.22E+07 8.70E+06 3.29E+06 1.20E+06
  80.00  3.524  2.52E+15 1.16E+14 1.48E+15 3.79E+12 7.22E+12 9.96E+12 1.18E+13 1.27E+13 1.27E+13 1.20E+13 1.07E+13 9.04E+12 7.33E+12 5.69E+12 4.24E+12 3.03E+12 2.08E+12 1.38E+12 8.80E+11 5.40E+11 3.20E+11 1.83E+11 1.01E+11 5.35E+10 2.74E+10 1.36E+10 6.50E+09 3.00E+09 1.34E+09 5.76E+08 2.40E+08 9.64E+07 3.74E+07
  90.00  3.738  2.76E+16 1.25E+15 1.65E+16 3.87E+13 7.39E+13 1.02E+14 1.22E+14 1.33E+14 1.34E+14 1.28E+14 1.15E+14 9.94E+13 8.20E+13 6.49E+13 4.93E+13 3.61E+13 2.55E+13 1.73E+13 1.14E+13 7.19E+12 4.40E+12 2.60E+12 1.48E+12 8.19E+11 4.37E+11 2.25E+11 1.13E+11 5.44E+10 2.54E+10 1.15E+10 5.03E+09 2.13E+09 8.74E+08
 100.00  3.940  2.69E+17 1.21E+16 1.63E+17 3.54E+14 6.77E+14 9.43E+14 1.13E+15 1.24E+15 1.26E+15 1.21E+15 1.11E+15 9.67E+14 8.10E+14 6.51E+14 5.04E+14 3.76E+14 2.71E+14 1.89E+14 1.27E+14 8.23E+13 5.17E+13 3.15E+13 1.85E+13 1.06E+13 5.83E+12 3.11E+12 1.61E+12 8.10E+11 3.94E+11 1.86E+11 8.48E+10 3.76E+10 1.61E+10
 110.00  4.133  2.37E+18 1.05E+17 1.45E+18 2.94E+15 5.64E+15 7.87E+15 9.50E+15 1.04E+16 1.07E+16 1.04E+16 9.60E+15 8.48E+15 7.19E+15 5.87E+15 4.61E+15 3.50E+15 2.57E+15 1.82E+15 1.25E+15 8.31E+14 5.35E+14 3.33E+14 2.01E+14 1.18E+14 6.71E+13 3.70E+13 1.98E+13 1.03E+13 5.16E+12 2.52E+12 1.20E+12 5.50E+11 2.46E+11
 120.00  4.316  1.91E+19 8.35E+17 1.18E+19 2.25E+16 4.31E+16 6.04E+16 7.32E+16 8.09E+16 8.36E+16 8.17E+16 7.61E+16 6.79E+16 5.82E+16 4.81E+16 3.83E+16 2.95E+16 2.20E+16 1.59E+16 1.11E+16 7.52E+15 4.94E+15 3.15E+15 1.95E+15 1.17E+15 6.82E+14 3.86E+14 2.12E+14 1.13E+14 5.88E+13 2.96E+13 1.45E+13 6.91E+12 3.20E+12
 130.00  4.493  1.42E+20 6.15E+18 8.91E+19 1.59E+17 3.06E+17 4.30E+17 5.23E+17 5.81E+17 6.04E+17 5.94E+17 5.57E+17 5.02E+17 4.35E+17 3.63E+17 2.93E+17 2.29E+17 1.73E+17 1.27E+17 8.99E+16 6.20E+16 4.15E+16 2.70E+16 1.70E+16 1.04E+16 6.22E+15 3.60E+15 2.03E+15 1.11E+15 5.93E+14 3.07E+14 1.55E+14 7.60E+13 3.63E+13
