                    ************************************************************************************************
                    *  Z= 22 A= 46: Positive-Parity Spin-dependent Level Density [MeV-1] for Ti 46 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  50.00  2.882  4.15E+11 2.00E+10 2.46E+11 4.14E+08 1.19E+09 1.83E+09 2.26E+09 2.46E+09 2.44E+09 2.24E+09 1.94E+09 1.57E+09 1.21E+09 8.82E+08 6.11E+08 4.03E+08 2.54E+08 1.52E+08 8.72E+07 4.77E+07 2.49E+07 1.25E+07 5.96E+06 2.73E+06 1.19E+06 5.01E+05 2.01E+05 7.72E+04 2.84E+04 1.00E+04 3.38E+03 1.09E+03 3.39E+02
  60.00  3.157  8.32E+12 3.95E+11 5.08E+12 7.46E+09 2.16E+10 3.33E+10 4.16E+10 4.60E+10 4.65E+10 4.37E+10 3.87E+10 3.23E+10 2.57E+10 1.94E+10 1.40E+10 9.65E+09 6.36E+09 4.02E+09 2.43E+09 1.41E+09 7.84E+08 4.18E+08 2.14E+08 1.05E+08 4.98E+07 2.26E+07 9.86E+06 4.13E+06 1.66E+06 6.45E+05 2.40E+05 8.59E+04 2.96E+04
  70.00  3.409  1.34E+14 6.27E+12 8.38E+13 1.10E+11 3.18E+11 4.94E+11 6.22E+11 6.95E+11 7.12E+11 6.82E+11 6.15E+11 5.26E+11 4.28E+11 3.33E+11 2.48E+11 1.77E+11 1.21E+11 7.93E+10 5.01E+10 3.04E+10 1.77E+10 9.95E+09 5.38E+09 2.80E+09 1.40E+09 6.77E+08 3.15E+08 1.41E+08 6.11E+07 2.54E+07 1.02E+07 3.96E+06 1.48E+06
  80.00  3.645  1.80E+15 8.34E+13 1.15E+15 1.37E+12 3.96E+12 6.19E+12 7.85E+12 8.84E+12 9.17E+12 8.90E+12 8.16E+12 7.10E+12 5.91E+12 4.70E+12 3.58E+12 2.63E+12 1.85E+12 1.25E+12 8.18E+11 5.15E+11 3.12E+11 1.83E+11 1.03E+11 5.61E+10 2.95E+10 1.50E+10 7.34E+09 3.48E+09 1.59E+09 7.03E+08 3.00E+08 1.24E+08 4.94E+07
  90.00  3.866  2.10E+16 9.59E+14 1.36E+16 1.48E+13 4.31E+13 6.75E+13 8.61E+13 9.77E+13 1.02E+14 1.00E+14 9.32E+13 8.24E+13 6.97E+13 5.65E+13 4.40E+13 3.30E+13 2.38E+13 1.66E+13 1.11E+13 7.21E+12 4.51E+12 2.73E+12 1.60E+12 9.03E+11 4.94E+11 2.61E+11 1.34E+11 6.63E+10 3.18E+10 1.47E+10 6.62E+09 2.88E+09 1.21E+09
 100.00  4.075  2.16E+17 9.75E+15 1.42E+17 1.43E+14 4.16E+14 6.54E+14 8.38E+14 9.58E+14 1.01E+15 1.00E+15 9.40E+14 8.42E+14 7.22E+14 5.95E+14 4.72E+14 3.60E+14 2.65E+14 1.89E+14 1.30E+14 8.63E+13 5.55E+13 3.46E+13 2.08E+13 1.22E+13 6.88E+12 3.77E+12 2.00E+12 1.03E+12 5.14E+11 2.49E+11 1.17E+11 5.30E+10 2.34E+10
 110.00  4.274  2.00E+18 8.92E+16 1.33E+18 1.25E+15 3.63E+15 5.73E+15 7.37E+15 8.47E+15 9.00E+15 8.99E+15 8.52E+15 7.72E+15 6.70E+15 5.60E+15 4.50E+15 3.49E+15 2.62E+15 1.90E+15 1.33E+15 9.07E+14 5.97E+14 3.81E+14 2.36E+14 1.41E+14 8.23E+13 4.65E+13 2.55E+13 1.35E+13 6.99E+12 3.51E+12 1.71E+12 8.06E+11 3.70E+11
 120.00  4.464  1.69E+19 7.44E+17 1.14E+19 9.95E+15 2.91E+16 4.59E+16 5.93E+16 6.85E+16 7.32E+16 7.36E+16 7.04E+16 6.43E+16 5.65E+16 4.77E+16 3.89E+16 3.06E+16 2.33E+16 1.72E+16 1.23E+16 8.52E+15 5.72E+15 3.73E+15 2.36E+15 1.45E+15 8.66E+14 5.02E+14 2.83E+14 1.55E+14 8.23E+13 4.26E+13 2.14E+13 1.05E+13 4.97E+12
 130.00  4.646  1.31E+20 5.72E+18 8.92E+19 7.35E+16 2.15E+17 3.40E+17 4.41E+17 5.11E+17 5.49E+17 5.56E+17 5.35E+17 4.94E+17 4.37E+17 3.73E+17 3.08E+17 2.46E+17 1.90E+17 1.42E+17 1.03E+17 7.26E+16 4.97E+16 3.30E+16 2.13E+16 1.34E+16 8.16E+15 4.84E+15 2.79E+15 1.57E+15 8.56E+14 4.55E+14 2.35E+14 1.18E+14 5.80E+13
 140.00  4.822  9.48E+20 4.09E+19 6.49E+20 5.06E+17 1.48E+18 2.35E+18 3.05E+18 3.55E+18 3.84E+18 3.90E+18 3.79E+18 3.52E+18 3.14E+18 2.71E+18 2.26E+18 1.82E+18 1.42E+18 1.08E+18 7.95E+17 5.68E+17 3.95E+17 2.67E+17 1.75E+17 1.12E+17 6.98E+16 4.23E+16 2.49E+16 1.43E+16 8.00E+15 4.36E+15 2.31E+15 1.19E+15 6.01E+14
