                    ************************************************************************************************
                    *  Z= 26 A= 58: Positive-Parity Spin-dependent Level Density [MeV-1] for Fe 58 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  16.00  1.422  8.37E+04 8.75E+04 1.93E+05 2.70E+02 7.78E+02 1.21E+03 1.53E+03 1.72E+03 1.75E+03 1.68E+03 1.50E+03 1.28E+03 1.02E+03 7.87E+02 5.60E+02 3.78E+02 2.37E+02 1.39E+02 7.48E+01 3.60E+01 1.47E+01 4.85E+00 1.17E+00 1.40E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  17.00  1.466  1.32E+05 1.20E+05 2.33E+05 3.39E+02 9.75E+02 1.51E+03 1.89E+03 2.11E+03 2.13E+03 2.02E+03 1.80E+03 1.51E+03 1.20E+03 9.41E+02 6.68E+02 4.50E+02 2.84E+02 1.70E+02 9.49E+01 4.80E+01 2.10E+01 7.94E+00 2.45E+00 5.09E-01 4.23E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  18.00  1.508  2.03E+05 1.90E+05 3.14E+05 4.60E+02 1.33E+03 2.06E+03 2.58E+03 2.86E+03 2.89E+03 2.72E+03 2.40E+03 2.00E+03 1.57E+03 1.30E+03 9.13E+02 6.06E+02 3.79E+02 2.25E+02 1.34E+02 6.98E+01 3.19E+01 1.27E+01 4.11E+00 1.13E+00 2.55E-01 1.15E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  19.00  1.550  3.11E+05 5.52E+05 5.61E+05 7.76E+02 2.24E+03 3.49E+03 4.39E+03 4.91E+03 5.04E+03 4.81E+03 4.33E+03 3.68E+03 2.96E+03 2.26E+03 1.63E+03 1.11E+03 7.13E+02 4.34E+02 2.42E+02 1.27E+02 6.07E+01 2.59E+01 9.34E+00 2.66E+00 6.08E-01 3.68E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  20.00  1.590  4.71E+05 5.74E+05 1.19E+06 1.61E+03 4.65E+03 7.28E+03 9.22E+03 1.04E+04 1.08E+04 1.04E+04 9.50E+03 8.22E+03 6.76E+03 4.38E+03 3.23E+03 2.26E+03 1.51E+03 9.54E+02 4.42E+02 2.23E+02 1.07E+02 4.64E+01 1.74E+01 5.50E+00 1.58E+00 4.79E-01 3.06E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  22.50  1.686  1.24E+06 1.56E+06 2.31E+06 2.83E+03 8.23E+03 1.28E+04 1.64E+04 1.84E+04 1.91E+04 1.85E+04 1.69E+04 1.46E+04 1.19E+04 1.00E+04 7.40E+03 5.19E+03 3.44E+03 2.16E+03 1.34E+03 7.50E+02 3.96E+02 1.97E+02 9.03E+01 3.80E+01 1.39E+01 4.25E+00 1.38E+00 2.82E-01 1.99E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  25.00  1.777  2.90E+06 3.65E+06 5.14E+06 6.08E+03 1.77E+04 2.76E+04 3.54E+04 4.01E+04 4.18E+04 4.09E+04 3.77E+04 3.29E+04 2.73E+04 2.16E+04 1.62E+04 1.16E+04 7.87E+03 5.07E+03 3.09E+03 1.79E+03 9.79E+02 5.12E+02 2.54E+02 1.20E+02 5.33E+01 2.18E+01 7.70E+00 2.26E+00 9.51E-01 5.23E-02 1.68E-02 1.00E-30 1.00E-30
  30.00  1.947  1.38E+07 1.39E+07 1.72E+07 1.96E+04 5.71E+04 8.95E+04 1.14E+05 1.30E+05 1.35E+05 1.33E+05 1.23E+05 1.08E+05 9.04E+04 7.22E+04 5.51E+04 4.03E+04 2.81E+04 1.87E+04 1.18E+04 7.13E+03 4.06E+03 2.18E+03 1.10E+03 5.19E+02 2.28E+02 9.33E+01 3.57E+01 1.30E+01 4.28E+00 1.40E+00 3.01E-01 1.00E-30 1.00E-30
  40.00  2.248  3.13E+08 2.40E+08 2.21E+08 2.08E+05 6.08E+05 9.60E+05 1.23E+06 1.42E+06 1.51E+06 1.52E+06 1.44E+06 1.30E+06 1.13E+06 9.39E+05 7.51E+05 5.80E+05 4.29E+05 3.06E+05 2.09E+05 1.38E+05 8.73E+04 5.28E+04 3.05E+04 1.69E+04 8.88E+03 4.42E+03 2.08E+03 9.22E+02 3.80E+02 1.43E+02 4.71E+01 1.96E+01 4.66E+00
  50.00  2.514  4.75E+09 4.71E+09 3.34E+09 2.65E+06 7.76E+06 1.23E+07 1.60E+07 1.87E+07 2.01E+07 2.06E+07 2.00E+07 1.86E+07 1.66E+07 1.42E+07 1.18E+07 9.46E+06 7.33E+06 5.48E+06 3.95E+06 2.75E+06 1.85E+06 1.20E+06 7.49E+05 4.50E+05 2.59E+05 1.43E+05 7.51E+04 3.76E+04 1.79E+04 7.98E+03 3.33E+03 1.28E+03 4.49E+02
  60.00  2.754  7.91E+10 1.16E+11 6.41E+10 4.41E+07 1.30E+08 2.06E+08 2.70E+08 3.18E+08 3.48E+08 3.58E+08 3.54E+08 3.34E+08 3.04E+08 2.68E+08 2.28E+08 1.88E+08 1.50E+08 1.16E+08 8.74E+07 6.36E+07 4.49E+07 3.05E+07 2.01E+07 1.29E+07 7.92E+06 4.68E+06 2.66E+06 1.45E+06 7.54E+05 3.74E+05 1.76E+05 7.82E+04 3.30E+04
  70.00  2.974  1.15E+12 2.03E+12 9.16E+11 5.85E+08 1.72E+09 2.74E+09 3.62E+09 4.26E+09 4.69E+09 4.88E+09 4.82E+09 4.60E+09 4.25E+09 3.77E+09 3.26E+09 2.72E+09 2.20E+09 1.73E+09 1.32E+09 9.83E+08 7.08E+08 4.95E+08 3.36E+08 2.21E+08 1.41E+08 8.68E+07 5.15E+07 2.97E+07 1.64E+07 8.72E+06 4.44E+06 2.17E+06 1.01E+06
  80.00  3.180  1.27E+13 2.67E+13 9.96E+12 5.90E+09 1.73E+10 2.77E+10 3.65E+10 4.34E+10 4.80E+10 5.01E+10 5.01E+10 4.83E+10 4.48E+10 4.03E+10 3.51E+10 2.99E+10 2.45E+10 1.96E+10 1.53E+10 1.16E+10 8.53E+09 6.11E+09 4.25E+09 2.88E+09 1.90E+09 1.21E+09 7.49E+08 4.51E+08 2.61E+08 1.47E+08 7.96E+07 4.17E+07 2.09E+07
  90.00  3.372  1.29E+14 3.40E+14 1.05E+14 5.68E+10 1.67E+11 2.69E+11 3.54E+11 4.23E+11 4.70E+11 4.94E+11 4.99E+11 4.84E+11 4.55E+11 4.14E+11 3.66E+11 3.15E+11 2.63E+11 2.15E+11 1.70E+11 1.32E+11 9.92E+10 7.29E+10 5.21E+10 3.64E+10 2.46E+10 1.63E+10 1.05E+10 6.53E+09 3.96E+09 2.34E+09 1.33E+09 7.35E+08 3.92E+08
