                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  13.00  1.039  2.93E+06 9.11E+05 1.09E+07 1.99E+04 5.73E+04 8.74E+04 1.07E+05 1.16E+05 1.13E+05 1.03E+05 8.72E+04 6.95E+04 5.22E+04 3.72E+04 2.51E+04 1.61E+04 9.79E+03 5.68E+03 3.13E+03 1.65E+03 8.27E+02 3.96E+02 1.81E+02 7.87E+01 3.28E+01 1.30E+01 4.93E+00 1.79E+00 6.19E-01 2.05E-01 6.47E-02 1.95E-02 5.64E-03
  14.00  1.078  7.37E+06 2.22E+06 2.71E+07 4.65E+04 1.34E+05 2.05E+05 2.53E+05 2.75E+05 2.72E+05 2.50E+05 2.15E+05 1.74E+05 1.33E+05 9.64E+04 6.65E+04 4.36E+04 2.72E+04 1.62E+04 9.22E+03 5.01E+03 2.59E+03 1.29E+03 6.09E+02 2.76E+02 1.19E+02 4.95E+01 1.96E+01 7.45E+00 2.71E+00 9.42E-01 3.14E-01 1.00E-01 3.05E-02
  15.00  1.116  1.78E+07 5.24E+06 6.53E+07 1.05E+05 3.03E+05 4.66E+05 5.78E+05 6.33E+05 6.32E+05 5.86E+05 5.09E+05 4.18E+05 3.25E+05 2.40E+05 1.68E+05 1.13E+05 7.19E+04 4.39E+04 2.56E+04 1.43E+04 7.61E+03 3.89E+03 1.90E+03 8.91E+02 4.00E+02 1.72E+02 7.10E+01 2.81E+01 1.06E+01 3.87E+00 1.35E+00 4.51E-01 1.45E-01
  16.00  1.153  4.18E+07 1.20E+07 1.52E+08 2.32E+05 6.69E+05 1.03E+06 1.28E+06 1.41E+06 1.42E+06 1.33E+06 1.17E+06 9.71E+05 7.65E+05 5.73E+05 4.09E+05 2.79E+05 1.82E+05 1.13E+05 6.75E+04 3.85E+04 2.11E+04 1.11E+04 5.58E+03 2.69E+03 1.25E+03 5.55E+02 2.37E+02 9.71E+01 3.82E+01 1.44E+01 5.24E+00 1.83E+00 6.12E-01
  17.00  1.188  9.51E+07 2.67E+07 3.45E+08 4.98E+05 1.44E+06 2.23E+06 2.78E+06 3.08E+06 3.12E+06 2.94E+06 2.61E+06 2.19E+06 1.75E+06 1.33E+06 9.61E+05 6.65E+05 4.41E+05 2.80E+05 1.70E+05 9.95E+04 5.57E+04 3.00E+04 1.55E+04 7.67E+03 3.66E+03 1.68E+03 7.38E+02 3.12E+02 1.27E+02 4.98E+01 1.87E+01 6.78E+00 2.36E+00
  18.00  1.223  2.11E+08 5.79E+07 7.61E+08 1.05E+06 3.03E+06 4.69E+06 5.89E+06 6.55E+06 6.67E+06 6.34E+06 5.67E+06 4.81E+06 3.88E+06 2.98E+06 2.19E+06 1.54E+06 1.03E+06 6.68E+05 4.14E+05 2.46E+05 1.41E+05 7.75E+04 4.09E+04 2.08E+04 1.02E+04 4.78E+03 2.17E+03 9.44E+02 3.96E+02 1.60E+02 6.23E+01 2.33E+01 8.41E+00
  19.00  1.256  4.56E+08 1.23E+08 1.64E+09 2.15E+06 6.24E+06 9.69E+06 1.22E+07 1.36E+07 1.40E+07 1.34E+07 1.20E+07 1.03E+07 8.38E+06 6.51E+06 4.84E+06 3.45E+06 2.36E+06 1.54E+06 9.73E+05 5.89E+05 3.43E+05 1.93E+05 1.04E+05 5.40E+04 2.70E+04 1.30E+04 6.04E+03 2.70E+03 1.17E+03 4.85E+02 1.94E+02 7.51E+01 2.80E+01
  20.00  1.289  9.67E+08 2.55E+08 3.46E+09 4.35E+06 1.26E+07 1.96E+07 2.48E+07 2.78E+07 2.87E+07 2.76E+07 2.50E+07 2.16E+07 1.77E+07 1.39E+07 1.05E+07 7.54E+06 5.21E+06 3.47E+06 2.22E+06 1.37E+06 8.09E+05 4.62E+05 2.54E+05 1.35E+05 6.88E+04 3.39E+04 1.61E+04 7.39E+03 3.27E+03 1.39E+03 5.74E+02 2.28E+02 8.75E+01
  22.50  1.367  8.33E+09 1.47E+09 2.06E+10 2.35E+07 6.83E+07 1.07E+08 1.36E+08 1.53E+08 1.60E+08 1.56E+08 1.44E+08 1.26E+08 1.05E+08 8.46E+07 6.51E+07 4.82E+07 3.43E+07 2.35E+07 1.55E+07 9.91E+06 6.09E+06 3.62E+06 2.07E+06 1.15E+06 6.14E+05 3.17E+05 1.59E+05 7.66E+04 3.58E+04 1.61E+04 7.05E+03 2.98E+03 1.22E+03
  25.00  1.441  4.68E+10 7.69E+09 1.11E+11 1.16E+08 3.37E+08 5.29E+08 6.77E+08 7.71E+08 8.10E+08 7.98E+08 7.45E+08 6.63E+08 5.64E+08 4.61E+08 3.62E+08 2.74E+08 1.99E+08 1.40E+08 9.52E+07 6.24E+07 3.96E+07 2.43E+07 1.44E+07 8.27E+06 4.59E+06 2.47E+06 1.29E+06 6.49E+05 3.17E+05 1.50E+05 6.87E+04 3.05E+04 1.31E+04
  30.00  1.579  1.71E+12 1.66E+11 2.51E+12 2.27E+09 6.62E+09 1.04E+10 1.35E+10 1.55E+10 1.65E+10 1.66E+10 1.58E+10 1.44E+10 1.25E+10 1.05E+10 8.54E+09 6.68E+09 5.05E+09 3.70E+09 2.62E+09 1.80E+09 1.20E+09 7.72E+08 4.83E+08 2.94E+08 1.73E+08 9.91E+07 5.51E+07 2.98E+07 1.56E+07 7.95E+06 3.94E+06 1.89E+06 8.85E+05
  40.00  1.823  7.78E+14 3.88E+13 6.34E+14 4.55E+11 1.33E+12 2.12E+12 2.77E+12 3.24E+12 3.52E+12 3.61E+12 3.53E+12 3.32E+12 3.00E+12 2.62E+12 2.22E+12 1.82E+12 1.44E+12 1.12E+12 8.38E+11 6.12E+11 4.35E+11 3.01E+11 2.03E+11 1.33E+11 8.52E+10 5.31E+10 3.23E+10 1.91E+10 1.11E+10 6.23E+09 3.42E+09 1.84E+09 9.60E+08
  50.00  2.038  9.66E+16 4.79E+15 8.29E+16 5.00E+13 1.47E+14 2.35E+14 3.09E+14 3.65E+14 4.02E+14 4.19E+14 4.18E+14 4.00E+14 3.70E+14 3.32E+14 2.89E+14 2.44E+14 2.01E+14 1.61E+14 1.26E+14 9.56E+13 7.10E+13 5.15E+13 3.65E+13 2.52E+13 1.70E+13 1.12E+13 7.25E+12 4.57E+12 2.82E+12 1.70E+12 1.00E+12 5.77E+11 3.25E+11
  60.00  2.233  7.63E+18 3.77E+17 6.84E+18 3.58E+15 1.05E+16 1.69E+16 2.24E+16 2.66E+16 2.96E+16 3.12E+16 3.15E+16 3.07E+16 2.89E+16 2.64E+16 2.34E+16 2.02E+16 1.71E+16 1.40E+16 1.13E+16 8.85E+15 6.79E+15 5.09E+15 3.73E+15 2.68E+15 1.88E+15 1.30E+15 8.74E+14 5.76E+14 3.72E+14 2.36E+14 1.46E+14 8.89E+13 5.29E+13
  70.00  2.411  4.29E+20 2.11E+19 3.98E+20 1.85E+17 5.46E+17 8.78E+17 1.17E+18 1.40E+18 1.56E+18 1.66E+18 1.70E+18 1.67E+18 1.59E+18 1.48E+18 1.33E+18 1.17E+18 1.01E+18 8.45E+17 6.94E+17 5.57E+17 4.38E+17 3.37E+17 2.54E+17 1.88E+17 1.36E+17 9.68E+16 6.74E+16 4.61E+16 3.09E+16 2.03E+16 1.31E+16 8.29E+15 5.15E+15
  80.00  2.578  1.84E+22 9.00E+20 1.76E+22 7.39E+18 2.18E+19 3.51E+19 4.68E+19 5.64E+19 6.35E+19 6.80E+19 6.99E+19 6.95E+19 6.69E+19 6.28E+19 5.74E+19 5.12E+19 4.47E+19 3.81E+19 3.18E+19 2.60E+19 2.09E+19 1.64E+19 1.27E+19 9.58E+18 7.11E+18 5.18E+18 3.71E+18 2.61E+18 1.80E+18 1.22E+18 8.11E+17 5.31E+17 3.41E+17
  90.00  2.734  6.34E+23 3.08E+22 6.19E+23 2.38E+20 7.03E+20 1.14E+21 1.52E+21 1.83E+21 2.08E+21 2.24E+21 2.31E+21 2.32E+21 2.25E+21 2.13E+21 1.97E+21 1.78E+21 1.57E+21 1.36E+21 1.15E+21 9.56E+20 7.79E+20 6.24E+20 4.90E+20 3.78E+20 2.86E+20 2.13E+20 1.56E+20 1.12E+20 7.92E+19 5.50E+19 3.76E+19 2.53E+19 1.67E+19
 100.00  2.882  1.81E+25 8.75E+23 1.80E+25 6.41E+21 1.90E+22 3.07E+22 4.11E+22 4.98E+22 5.66E+22 6.12E+22 6.38E+22 6.43E+22 6.29E+22 6.01E+22 5.60E+22 5.10E+22 4.55E+22 3.98E+22 3.42E+22 2.88E+22 2.38E+22 1.93E+22 1.54E+22 1.21E+22 9.30E+21 7.04E+21 5.25E+21 3.85E+21 2.78E+21 1.97E+21 1.38E+21 9.45E+20 6.39E+20
