                    ************************************************************************************************
                    *  Z= 28 A= 60: Positive-Parity Spin-dependent Level Density [MeV-1] for Ni 60 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  25.00  1.875  6.52E+06 2.86E+07 1.04E+07 1.20E+04 3.64E+04 5.77E+04 7.30E+04 8.39E+04 8.90E+04 8.49E+04 7.78E+04 6.76E+04 5.64E+04 4.32E+04 3.19E+04 2.26E+04 1.49E+04 9.13E+03 5.36E+03 2.97E+03 1.46E+03 6.85E+02 2.97E+02 1.23E+02 4.49E+01 1.54E+01 4.85E+00 1.35E+00 3.00E-01 2.31E-01 4.46E-02 4.24E-03 1.00E-30
  30.00  2.054  3.68E+07 1.64E+08 4.32E+07 4.35E+04 1.29E+05 2.07E+05 2.62E+05 3.03E+05 3.24E+05 3.15E+05 2.99E+05 2.70E+05 2.34E+05 1.87E+05 1.45E+05 1.10E+05 7.72E+04 5.12E+04 3.30E+04 2.00E+04 1.10E+04 5.73E+03 2.81E+03 1.30E+03 5.30E+02 2.05E+02 7.51E+01 2.49E+01 7.47E+00 2.01E+00 4.27E-01 4.28E-02 6.02E-01
  40.00  2.372  6.91E+08 3.36E+09 5.01E+08 4.16E+05 1.23E+06 2.00E+06 2.54E+06 2.98E+06 3.23E+06 3.22E+06 3.10E+06 2.86E+06 2.55E+06 2.13E+06 1.75E+06 1.40E+06 1.06E+06 7.69E+05 5.48E+05 3.75E+05 2.40E+05 1.47E+05 8.70E+04 4.86E+04 2.49E+04 1.20E+04 5.48E+03 2.27E+03 8.56E+02 3.10E+02 1.03E+02 3.02E+01 8.29E+00
  50.00  2.652  7.33E+09 5.80E+10 5.19E+09 4.03E+06 1.20E+07 1.94E+07 2.50E+07 2.96E+07 3.21E+07 3.21E+07 3.09E+07 2.86E+07 2.58E+07 2.18E+07 1.80E+07 1.45E+07 1.12E+07 8.32E+06 6.10E+06 4.33E+06 2.89E+06 1.90E+06 1.21E+06 7.51E+05 4.37E+05 2.46E+05 1.33E+05 6.70E+04 3.17E+04 1.43E+04 6.01E+03 2.27E+03 8.19E+02
  60.00  2.905  1.18E+11 1.64E+12 8.98E+10 5.76E+07 1.71E+08 2.81E+08 3.86E+08 4.84E+08 5.05E+08 5.35E+08 5.12E+08 4.60E+08 4.35E+08 3.78E+08 3.18E+08 2.61E+08 2.04E+08 1.55E+08 1.13E+08 8.49E+07 5.75E+07 4.02E+07 2.62E+07 1.73E+07 1.07E+07 6.36E+06 3.64E+06 2.01E+06 1.13E+06 6.17E+05 3.10E+05 1.52E+05 7.02E+04
  70.00  3.138  1.29E+12 2.78E+13 9.82E+11 5.77E+08 1.72E+09 2.83E+09 3.90E+09 4.88E+09 5.14E+09 5.49E+09 5.31E+09 4.85E+09 4.63E+09 4.08E+09 3.49E+09 2.90E+09 2.32E+09 1.80E+09 1.34E+09 1.03E+09 7.17E+08 5.14E+08 3.45E+08 2.34E+08 1.50E+08 9.22E+07 5.47E+07 3.15E+07 1.85E+07 1.07E+07 5.73E+06 3.05E+06 1.55E+06
  80.00  3.355  1.23E+13 4.06E+14 9.54E+12 5.17E+09 1.54E+10 2.54E+10 3.50E+10 4.39E+10 4.66E+10 5.00E+10 4.88E+10 4.52E+10 4.35E+10 3.88E+10 3.37E+10 2.86E+10 2.32E+10 1.83E+10 1.40E+10 1.10E+10 7.81E+09 5.73E+09 3.96E+09 2.77E+09 1.83E+09 1.16E+09 7.14E+08 4.27E+08 2.61E+08 1.57E+08 8.76E+07 4.90E+07 2.62E+07
  90.00  3.558  1.06E+14 5.18E+15 8.28E+13 4.17E+10 1.24E+11 2.05E+11 2.82E+11 3.55E+11 3.79E+11 4.10E+11 4.04E+11 3.77E+11 3.66E+11 3.30E+11 2.90E+11 2.49E+11 2.06E+11 1.65E+11 1.28E+11 1.02E+11 7.45E+10 5.57E+10 3.94E+10 2.82E+10 1.92E+10 1.25E+10 7.96E+09 4.93E+09 3.11E+09 1.93E+09 1.12E+09 6.53E+08 3.64E+08
 100.00  3.751  8.23E+14 5.88E+16 6.51E+14 3.07E+11 9.16E+11 1.51E+12 2.08E+12 2.62E+12 2.82E+12 3.06E+12 3.03E+12 2.86E+12 2.79E+12 2.55E+12 2.26E+12 1.96E+12 1.64E+12 1.34E+12 1.05E+12 8.51E+11 6.31E+11 4.81E+11 3.48E+11 2.54E+11 1.76E+11 1.18E+11 7.70E+10 4.91E+10 3.19E+10 2.04E+10 1.23E+10 7.35E+09 4.26E+09
 110.00  3.934  5.90E+15 6.02E+17 4.71E+15 2.09E+12 6.24E+12 1.03E+13 1.42E+13 1.79E+13 1.93E+13 2.10E+13 2.10E+13 1.99E+13 1.96E+13 1.80E+13 1.61E+13 1.41E+13 1.19E+13 9.83E+12 7.88E+12 6.44E+12 4.86E+12 3.76E+12 2.76E+12 2.05E+12 1.45E+12 9.93E+11 6.65E+11 4.34E+11 2.88E+11 1.88E+11 1.17E+11 7.20E+10 4.30E+10
