                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  13.00  1.039  1.18E+08 3.94E+07 4.71E+08 8.64E+05 2.48E+06 3.78E+06 4.64E+06 5.01E+06 4.91E+06 4.45E+06 3.78E+06 3.01E+06 2.26E+06 1.61E+06 1.09E+06 6.96E+05 4.24E+05 2.46E+05 1.36E+05 7.14E+04 3.58E+04 1.71E+04 7.83E+03 3.41E+03 1.42E+03 5.63E+02 2.14E+02 7.74E+01 2.68E+01 8.86E+00 2.80E+00 8.46E-01 2.44E-01
  14.00  1.078  3.37E+08 1.10E+08 1.34E+09 2.30E+06 6.60E+06 1.01E+07 1.25E+07 1.36E+07 1.34E+07 1.23E+07 1.06E+07 8.57E+06 6.56E+06 4.76E+06 3.28E+06 2.15E+06 1.34E+06 8.00E+05 4.55E+05 2.47E+05 1.28E+05 6.34E+04 3.00E+04 1.36E+04 5.89E+03 2.44E+03 9.69E+02 3.68E+02 1.34E+02 4.65E+01 1.55E+01 4.93E+00 1.51E+00
  15.00  1.116  9.23E+08 2.93E+08 3.66E+09 5.89E+06 1.70E+07 2.61E+07 3.24E+07 3.54E+07 3.54E+07 3.28E+07 2.85E+07 2.34E+07 1.82E+07 1.34E+07 9.42E+06 6.30E+06 4.03E+06 2.46E+06 1.43E+06 7.99E+05 4.26E+05 2.18E+05 1.06E+05 4.99E+04 2.24E+04 9.64E+03 3.97E+03 1.57E+03 5.95E+02 2.16E+02 7.54E+01 2.52E+01 8.09E+00
  16.00  1.153  2.44E+09 7.58E+08 9.63E+09 1.47E+07 4.23E+07 6.52E+07 8.13E+07 8.94E+07 9.00E+07 8.42E+07 7.40E+07 6.15E+07 4.84E+07 3.62E+07 2.59E+07 1.76E+07 1.15E+07 7.16E+06 4.27E+06 2.44E+06 1.34E+06 7.01E+05 3.53E+05 1.70E+05 7.89E+04 3.51E+04 1.50E+04 6.14E+03 2.42E+03 9.13E+02 3.32E+02 1.16E+02 3.87E+01
  17.00  1.188  6.24E+09 1.90E+09 2.46E+10 3.55E+07 1.03E+08 1.59E+08 1.98E+08 2.19E+08 2.22E+08 2.10E+08 1.86E+08 1.56E+08 1.24E+08 9.45E+07 6.84E+07 4.74E+07 3.14E+07 1.99E+07 1.21E+07 7.09E+06 3.97E+06 2.13E+06 1.10E+06 5.47E+05 2.61E+05 1.19E+05 5.26E+04 2.22E+04 9.06E+03 3.54E+03 1.33E+03 4.83E+02 1.68E+02
  18.00  1.223  1.55E+10 4.63E+09 6.08E+10 8.37E+07 2.42E+08 3.75E+08 4.71E+08 5.24E+08 5.34E+08 5.07E+08 4.54E+08 3.85E+08 3.10E+08 2.38E+08 1.75E+08 1.23E+08 8.28E+07 5.34E+07 3.31E+07 1.97E+07 1.13E+07 6.20E+06 3.27E+06 1.66E+06 8.13E+05 3.83E+05 1.73E+05 7.55E+04 3.17E+04 1.28E+04 4.98E+03 1.87E+03 6.73E+02
  19.00  1.256  3.75E+10 1.10E+10 1.47E+11 1.93E+08 5.59E+08 8.68E+08 1.09E+09 1.22E+09 1.25E+09 1.20E+09 1.08E+09 9.22E+08 7.50E+08 5.83E+08 4.33E+08 3.09E+08 2.11E+08 1.38E+08 8.71E+07 5.28E+07 3.07E+07 1.72E+07 9.30E+06 4.83E+06 2.42E+06 1.17E+06 5.41E+05 2.42E+05 1.04E+05 4.34E+04 1.74E+04 6.72E+03 2.50E+03
  20.00  1.289  8.85E+10 2.55E+10 3.46E+11 4.35E+08 1.26E+09 1.96E+09 2.48E+09 2.78E+09 2.86E+09 2.76E+09 2.50E+09 2.16E+09 1.77E+09 1.39E+09 1.04E+09 7.53E+08 5.21E+08 3.47E+08 2.22E+08 1.36E+08 8.09E+07 4.62E+07 2.54E+07 1.35E+07 6.88E+06 3.39E+06 1.61E+06 7.38E+05 3.27E+05 1.39E+05 5.74E+04 2.28E+04 8.74E+03
  22.50  1.367  1.05E+12 1.91E+11 2.68E+12 3.06E+09 8.88E+09 1.39E+10 1.77E+10 2.00E+10 2.08E+10 2.03E+10 1.87E+10 1.64E+10 1.37E+10 1.10E+10 8.47E+09 6.27E+09 4.46E+09 3.06E+09 2.02E+09 1.29E+09 7.93E+08 4.70E+08 2.70E+08 1.49E+08 7.99E+07 4.13E+07 2.06E+07 9.96E+06 4.65E+06 2.10E+06 9.17E+05 3.87E+05 1.58E+05
  25.00  1.441  7.47E+12 1.29E+12 1.85E+13 1.94E+10 5.64E+10 8.84E+10 1.13E+11 1.29E+11 1.35E+11 1.33E+11 1.25E+11 1.11E+11 9.43E+10 7.70E+10 6.05E+10 4.57E+10 3.33E+10 2.34E+10 1.59E+10 1.04E+10 6.62E+09 4.06E+09 2.41E+09 1.38E+09 7.67E+08 4.13E+08 2.15E+08 1.08E+08 5.30E+07 2.51E+07 1.15E+07 5.10E+06 2.20E+06
