                    ************************************************************************************************
                    *  Z= 25 A= 51: Positive-Parity Spin-dependent Level Density [MeV-1] for Mn 51 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
  13.00  1.534  3.21E+04 7.40E+03 6.02E+04 5.38E+02 9.61E+02 1.19E+03 1.22E+03 1.09E+03 8.62E+02 6.15E+02 3.99E+02 2.36E+02 1.28E+02 6.38E+01 2.92E+01 1.23E+01 4.78E+00 1.71E+00 5.67E-01 1.73E-01 4.90E-02 1.28E-02 3.09E-03 6.89E-04 1.42E-04 2.72E-05 4.82E-06 7.89E-07 1.20E-07 1.68E-08 2.18E-09 2.63E-10 2.93E-11
  14.00  1.592  5.82E+04 1.30E+04 1.09E+05 9.07E+02 1.63E+03 2.04E+03 2.11E+03 1.91E+03 1.54E+03 1.12E+03 7.48E+02 4.56E+02 2.55E+02 1.32E+02 6.26E+01 2.75E+01 1.12E+01 4.21E+00 1.47E+00 4.74E-01 1.42E-01 3.95E-02 1.02E-02 2.43E-03 5.41E-04 1.11E-04 2.13E-05 3.80E-06 6.27E-07 9.63E-08 1.37E-08 1.82E-09 2.24E-10
  15.00  1.648  1.04E+05 2.27E+04 1.93E+05 1.53E+03 2.75E+03 3.47E+03 3.63E+03 3.31E+03 2.71E+03 2.01E+03 1.36E+03 8.49E+02 4.87E+02 2.58E+02 1.26E+02 5.73E+01 2.41E+01 9.41E+00 3.41E+00 1.15E+00 3.60E-01 1.05E-01 2.84E-02 7.15E-03 1.68E-03 3.66E-04 7.43E-05 1.41E-05 2.48E-06 4.07E-07 6.21E-08 8.85E-09 1.17E-09
  16.00  1.702  1.82E+05 3.91E+04 3.39E+05 2.55E+03 4.61E+03 5.84E+03 6.15E+03 5.68E+03 4.71E+03 3.54E+03 2.44E+03 1.55E+03 9.09E+02 4.93E+02 2.48E+02 1.16E+02 5.03E+01 2.03E+01 7.62E+00 2.66E+00 8.68E-01 2.64E-01 7.47E-02 1.97E-02 4.86E-03 1.12E-03 2.39E-04 4.79E-05 8.94E-06 1.56E-06 2.54E-07 3.86E-08 5.48E-09
  17.00  1.755  3.15E+05 6.66E+04 5.87E+05 4.21E+03 7.63E+03 9.72E+03 1.03E+04 9.61E+03 8.06E+03 6.15E+03 4.31E+03 2.78E+03 1.66E+03 9.23E+02 4.75E+02 2.28E+02 1.02E+02 4.23E+01 1.64E+01 5.94E+00 2.01E+00 6.34E-01 1.87E-01 5.15E-02 1.33E-02 3.20E-03 7.20E-04 1.52E-04 2.99E-05 5.50E-06 9.48E-07 1.53E-07 2.31E-08
  18.00  1.805  5.39E+05 1.12E+05 1.00E+06 6.88E+03 1.25E+04 1.60E+04 1.71E+04 1.61E+04 1.36E+04 1.05E+04 7.48E+03 4.91E+03 2.99E+03 1.69E+03 8.91E+02 4.37E+02 2.00E+02 8.56E+01 3.42E+01 1.28E+01 4.47E+00 1.46E+00 4.47E-01 1.28E-01 3.44E-02 8.65E-03 2.04E-03 4.50E-04 9.30E-05 1.80E-05 3.28E-06 5.58E-07 8.91E-08
  19.00  1.855  9.12E+05 1.87E+05 1.70E+06 1.11E+04 2.03E+04 2.61E+04 2.81E+04 2.66E+04 2.27E+04 1.78E+04 1.28E+04 8.54E+03 5.28E+03 3.04E+03 1.64E+03 8.21E+02 3.85E+02 1.69E+02 6.94E+01 2.67E+01 9.62E+00 3.25E+00 1.03E+00 3.06E-01 8.53E-02 2.23E-02 5.47E-03 1.26E-03 2.73E-04 5.54E-05 1.06E-05 1.89E-06 3.18E-07
  20.00  1.903  1.53E+06 3.07E+05 2.84E+06 1.79E+04 3.27E+04 4.22E+04 4.56E+04 4.35E+04 3.76E+04 2.97E+04 2.16E+04 1.46E+04 9.20E+03 5.39E+03 2.95E+03 1.51E+03 7.24E+02 3.25E+02 1.37E+02 5.41E+01 2.01E+01 6.99E+00 2.29E+00 7.02E-01 2.03E-01 5.50E-02 1.40E-02 3.36E-03 7.59E-04 1.61E-04 3.21E-05 6.02E-06 1.06E-06
  22.50  2.018  6.67E+06 1.03E+06 9.84E+06 5.64E+04 1.04E+05 1.35E+05 1.48E+05 1.43E+05 1.26E+05 1.02E+05 7.64E+04 5.32E+04 3.46E+04 2.11E+04 1.20E+04 6.44E+03 3.24E+03 1.53E+03 6.82E+02 2.86E+02 1.13E+02 4.20E+01 1.47E+01 4.87E+00 1.52E+00 4.46E-01 1.24E-01 3.24E-02 8.00E-03 1.86E-03 4.10E-04 8.52E-05 1.67E-05
  25.00  2.128  2.30E+07 3.27E+06 3.22E+07 1.70E+05 3.13E+05 4.11E+05 4.55E+05 4.47E+05 4.00E+05 3.30E+05 2.53E+05 1.81E+05 1.21E+05 7.60E+04 4.49E+04 2.50E+04 1.31E+04 6.47E+03 3.02E+03 1.33E+03 5.53E+02 2.18E+02 8.09E+01 2.85E+01 9.47E+00 2.98E+00 8.88E-01 2.50E-01 6.67E-02 1.69E-02 4.03E-03 9.12E-04 1.96E-04
