                    ************************************************************************************************
                    *  Z= 40 A= 90: Positive-Parity Spin-dependent Level Density [MeV-1] for Zr 90 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  15.00  1.199  6.60E+05 1.52E+05 2.26E+06 2.40E+03 6.91E+03 1.09E+04 1.41E+04 1.63E+04 1.73E+04 1.72E+04 1.61E+04 1.44E+04 1.22E+04 9.98E+03 7.70E+03 5.67E+03 3.93E+03 2.55E+03 1.54E+03 8.49E+02 4.15E+02 1.80E+02 6.38E+01 1.79E+01 3.43E+00 4.14E-01 5.17E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  16.00  1.238  1.48E+06 4.24E+05 6.35E+06 6.06E+03 1.76E+04 2.79E+04 3.61E+04 4.19E+04 4.49E+04 4.52E+04 4.31E+04 3.92E+04 3.40E+04 2.82E+04 2.24E+04 1.69E+04 1.22E+04 8.30E+03 5.31E+03 3.18E+03 1.75E+03 8.77E+02 3.86E+02 1.47E+02 4.35E+01 8.93E+00 1.78E+00 1.03E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  17.00  1.276  2.90E+06 7.34E+05 1.14E+07 1.01E+04 2.93E+04 4.66E+04 6.04E+04 7.03E+04 7.57E+04 7.67E+04 7.39E+04 6.79E+04 5.97E+04 5.04E+04 4.08E+04 3.16E+04 2.35E+04 1.66E+04 1.11E+04 7.10E+03 4.21E+03 2.33E+03 1.17E+03 5.34E+02 2.10E+02 7.04E+01 1.69E+01 2.16E+00 5.17E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  18.00  1.313  5.96E+06 1.46E+06 2.30E+07 1.96E+04 5.70E+04 9.06E+04 1.18E+05 1.38E+05 1.48E+05 1.51E+05 1.46E+05 1.35E+05 1.19E+05 1.02E+05 8.29E+04 6.49E+04 4.86E+04 3.48E+04 2.37E+04 1.54E+04 9.34E+03 5.31E+03 2.76E+03 1.30E+03 5.38E+02 1.89E+02 5.13E+01 1.00E+01 1.67E+00 5.17E-02 1.00E-30 1.00E-30 1.00E-30
  19.00  1.349  1.16E+07 3.03E+06 4.78E+07 3.83E+04 1.12E+05 1.78E+05 2.33E+05 2.72E+05 2.95E+05 3.02E+05 2.94E+05 2.73E+05 2.44E+05 2.09E+05 1.73E+05 1.37E+05 1.05E+05 7.67E+04 5.37E+04 3.59E+04 2.26E+04 1.36E+04 7.54E+03 3.88E+03 1.81E+03 7.51E+02 2.67E+02 7.63E+01 1.49E+01 1.41E+00 5.17E-02 1.00E-30 1.00E-30
  20.00  1.384  2.06E+07 4.16E+06 6.67E+07 5.25E+04 1.54E+05 2.45E+05 3.18E+05 3.73E+05 4.05E+05 4.15E+05 4.05E+05 3.77E+05 3.38E+05 2.91E+05 2.41E+05 1.92E+05 1.48E+05 1.09E+05 7.70E+04 5.22E+04 3.36E+04 2.05E+04 1.18E+04 6.33E+03 3.12E+03 1.39E+03 5.41E+02 1.81E+02 4.77E+01 9.65E+00 2.43E+00 2.69E-01 2.07E-02
  22.50  1.468  1.01E+08 1.38E+07 2.28E+08 1.64E+05 4.79E+05 7.63E+05 9.99E+05 1.18E+06 1.28E+06 1.32E+06 1.30E+06 1.23E+06 1.12E+06 9.77E+05 8.24E+05 6.73E+05 5.30E+05 4.03E+05 2.95E+05 2.09E+05 1.42E+05 9.25E+04 5.76E+04 3.41E+04 1.90E+04 9.96E+03 4.80E+03 2.10E+03 8.19E+02 2.74E+02 7.36E+01 1.38E+01 2.36E+00
  25.00  1.548  3.12E+08 4.27E+07 7.16E+08 4.88E+05 1.44E+06 2.28E+06 3.00E+06 3.54E+06 3.87E+06 4.02E+06 3.97E+06 3.76E+06 3.44E+06 3.03E+06 2.58E+06 2.13E+06 1.69E+06 1.31E+06 9.73E+05 7.01E+05 4.87E+05 3.25E+05 2.10E+05 1.30E+05 7.66E+04 4.30E+04 2.28E+04 1.14E+04 5.26E+03 2.21E+03 8.27E+02 2.70E+02 7.02E+01
  30.00  1.695  3.31E+09 2.85E+08 4.99E+09 3.02E+06 8.90E+06 1.42E+07 1.88E+07 2.22E+07 2.45E+07 2.56E+07 2.56E+07 2.46E+07 2.29E+07 2.04E+07 1.78E+07 1.50E+07 1.23E+07 9.75E+06 7.53E+06 5.64E+06 4.10E+06 2.90E+06 1.98E+06 1.31E+06 8.40E+05 5.21E+05 3.12E+05 1.80E+05 1.00E+05 5.33E+04 2.71E+04 1.31E+04 5.90E+03
  40.00  1.958  3.18E+11 1.67E+10 3.20E+11 1.47E+08 4.32E+08 6.96E+08 9.27E+08 1.11E+09 1.25E+09 1.33E+09 1.36E+09 1.35E+09 1.29E+09 1.20E+09 1.09E+09 9.62E+08 8.28E+08 6.95E+08 5.70E+08 4.56E+08 3.56E+08 2.71E+08 2.02E+08 1.47E+08 1.04E+08 7.14E+07 4.78E+07 3.12E+07 1.97E+07 1.21E+07 7.18E+06 4.11E+06 2.27E+06
  50.00  2.189  1.41E+13 6.29E+11 1.27E+13 4.97E+09 1.47E+10 2.37E+10 3.18E+10 3.84E+10 4.36E+10 4.70E+10 4.87E+10 4.88E+10 4.75E+10 4.49E+10 4.15E+10 3.74E+10 3.29E+10 2.84E+10 2.40E+10 1.97E+10 1.59E+10 1.25E+10 9.70E+09 7.33E+09 5.41E+09 3.91E+09 2.76E+09 1.90E+09 1.28E+09 8.37E+08 5.35E+08 3.31E+08 2.00E+08
  60.00  2.398  5.09E+14 2.55E+13 5.40E+14 1.84E+11 5.44E+11 8.82E+11 1.18E+12 1.44E+12 1.64E+12 1.78E+12 1.87E+12 1.89E+12 1.86E+12 1.79E+12 1.68E+12 1.54E+12 1.38E+12 1.21E+12 1.05E+12 8.83E+11 7.31E+11 5.93E+11 4.73E+11 3.70E+11 2.83E+11 2.13E+11 1.56E+11 1.13E+11 7.96E+10 5.49E+10 3.72E+10 2.46E+10 1.58E+10
  70.00  2.590  1.56E+16 7.27E+14 1.58E+16 4.90E+12 1.45E+13 2.36E+13 3.17E+13 3.87E+13 4.43E+13 4.85E+13 5.10E+13 5.20E+13 5.16E+13 5.01E+13 4.74E+13 4.39E+13 3.99E+13 3.55E+13 3.10E+13 2.66E+13 2.24E+13 1.85E+13 1.51E+13 1.20E+13 9.38E+12 7.20E+12 5.44E+12 4.03E+12 2.92E+12 2.09E+12 1.46E+12 9.97E+11 6.68E+11
  80.00  2.769  3.83E+17 1.81E+16 4.08E+17 1.15E+14 3.39E+14 5.50E+14 7.43E+14 9.10E+14 1.05E+15 1.15E+15 1.22E+15 1.25E+15 1.25E+15 1.22E+15 1.17E+15 1.10E+15 1.01E+15 9.07E+14 8.04E+14 6.99E+14 5.98E+14 5.03E+14 4.16E+14 3.38E+14 2.70E+14 2.12E+14 1.65E+14 1.25E+14 9.35E+13 6.87E+13 4.95E+13 3.51E+13 2.44E+13
  90.00  2.937  7.90E+18 3.73E+17 8.59E+18 2.22E+15 6.58E+15 1.08E+16 1.45E+16 1.78E+16 2.05E+16 2.26E+16 2.40E+16 2.49E+16 2.51E+16 2.47E+16 2.37E+16 2.24E+16 2.08E+16 1.89E+16 1.69E+16 1.49E+16 1.29E+16 1.10E+16 9.23E+15 7.61E+15 6.19E+15 4.96E+15 3.90E+15 3.03E+15 2.31E+15 1.74E+15 1.28E+15 9.31E+14 6.65E+14
 100.00  3.096  1.40E+20 6.48E+18 1.53E+20 3.67E+16 1.09E+17 1.77E+17 2.40E+17 2.96E+17 3.43E+17 3.78E+17 4.05E+17 4.20E+17 4.25E+17 4.20E+17 4.07E+17 3.87E+17 3.61E+17 3.32E+17 2.99E+17 2.67E+17 2.33E+17 2.01E+17 1.70E+17 1.43E+17 1.18E+17 9.54E+16 7.62E+16 6.01E+16 4.66E+16 3.56E+16 2.68E+16 1.99E+16 1.45E+16
 110.00  3.247  2.20E+21 1.02E+20 2.45E+21 5.50E+17 1.63E+18 2.67E+18 3.62E+18 4.46E+18 5.18E+18 5.74E+18 6.15E+18 6.41E+18 6.52E+18 6.48E+18 6.31E+18 6.04E+18 5.69E+18 5.26E+18 4.78E+18 4.29E+18 3.79E+18 3.29E+18 2.83E+18 2.39E+18 2.00E+18 1.64E+18 1.33E+18 1.06E+18 8.39E+17 6.52E+17 4.99E+17 3.77E+17 2.81E+17
 120.00  3.391  3.08E+22 1.40E+21 3.42E+22 7.25E+18 2.16E+19 3.52E+19 4.78E+19 5.91E+19 6.86E+19 7.63E+19 8.21E+19 8.57E+19 8.74E+19 8.73E+19 8.55E+19 8.23E+19 7.78E+19 7.24E+19 6.64E+19 6.00E+19 5.34E+19 4.68E+19 4.05E+19 3.46E+19 2.91E+19 2.42E+19 1.99E+19 1.60E+19 1.28E+19 1.01E+19 7.84E+18 6.00E+18 4.54E+18
 130.00  3.529  3.90E+23 1.78E+22 4.42E+23 8.86E+19 2.63E+20 4.30E+20 5.85E+20 7.24E+20 8.43E+20 9.40E+20 1.01E+21 1.06E+21 1.08E+21 1.09E+21 1.07E+21 1.03E+21 9.86E+20 9.24E+20 8.52E+20 7.75E+20 6.94E+20 6.14E+20 5.36E+20 4.61E+20 3.92E+20 3.29E+20 2.73E+20 2.23E+20 1.80E+20 1.44E+20 1.12E+20 8.77E+19 6.72E+19
 140.00  3.663  4.55E+24 2.05E+23 5.16E+24 9.84E+20 2.93E+21 4.78E+21 6.51E+21 8.07E+21 9.40E+21 1.05E+22 1.13E+22 1.19E+22 1.22E+22 1.23E+22 1.21E+22 1.18E+22 1.13E+22 1.06E+22 9.85E+21 9.01E+21 8.13E+21 7.24E+21 6.36E+21 5.52E+21 4.73E+21 4.00E+21 3.34E+21 2.75E+21 2.25E+21 1.81E+21 1.44E+21 1.13E+21 8.77E+20
