                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  40.00  1.823  1.29E+12 6.43E+10 1.05E+12 7.54E+08 2.21E+09 3.51E+09 4.58E+09 5.36E+09 5.83E+09 5.98E+09 5.85E+09 5.50E+09 4.97E+09 4.34E+09 3.67E+09 3.01E+09 2.39E+09 1.85E+09 1.39E+09 1.01E+09 7.20E+08 4.99E+08 3.36E+08 2.21E+08 1.41E+08 8.80E+07 5.35E+07 3.17E+07 1.83E+07 1.03E+07 5.67E+06 3.04E+06 1.59E+06
  50.00  2.038  7.71E+13 3.79E+12 6.56E+13 3.96E+10 1.16E+11 1.86E+11 2.45E+11 2.89E+11 3.18E+11 3.32E+11 3.31E+11 3.17E+11 2.93E+11 2.63E+11 2.29E+11 1.93E+11 1.59E+11 1.27E+11 9.94E+10 7.57E+10 5.62E+10 4.08E+10 2.89E+10 2.00E+10 1.35E+10 8.90E+09 5.74E+09 3.62E+09 2.23E+09 1.34E+09 7.93E+08 4.57E+08 2.58E+08
  60.00  2.233  3.13E+15 1.53E+14 2.77E+15 1.45E+12 4.28E+12 6.86E+12 9.07E+12 1.08E+13 1.20E+13 1.27E+13 1.28E+13 1.24E+13 1.17E+13 1.07E+13 9.50E+12 8.21E+12 6.92E+12 5.69E+12 4.57E+12 3.59E+12 2.75E+12 2.06E+12 1.51E+12 1.09E+12 7.64E+11 5.26E+11 3.54E+11 2.34E+11 1.51E+11 9.56E+10 5.93E+10 3.60E+10 2.15E+10
  70.00  2.411  9.55E+16 4.62E+15 8.71E+16 4.06E+13 1.20E+14 1.92E+14 2.56E+14 3.06E+14 3.43E+14 3.64E+14 3.72E+14 3.66E+14 3.49E+14 3.23E+14 2.92E+14 2.57E+14 2.21E+14 1.85E+14 1.52E+14 1.22E+14 9.60E+13 7.39E+13 5.57E+13 4.12E+13 2.99E+13 2.12E+13 1.48E+13 1.01E+13 6.76E+12 4.45E+12 2.87E+12 1.82E+12 1.13E+12
  80.00  2.578  2.32E+18 1.11E+17 2.17E+18 9.11E+14 2.69E+15 4.34E+15 5.78E+15 6.96E+15 7.83E+15 8.39E+15 8.63E+15 8.57E+15 8.26E+15 7.75E+15 7.08E+15 6.32E+15 5.51E+15 4.70E+15 3.93E+15 3.21E+15 2.58E+15 2.03E+15 1.56E+15 1.18E+15 8.78E+14 6.40E+14 4.58E+14 3.22E+14 2.22E+14 1.50E+14 1.00E+14 6.55E+13 4.21E+13
  90.00  2.734  4.66E+19 2.22E+18 4.45E+19 1.71E+16 5.06E+16 8.17E+16 1.09E+17 1.32E+17 1.49E+17 1.61E+17 1.67E+17 1.67E+17 1.62E+17 1.53E+17 1.42E+17 1.28E+17 1.13E+17 9.77E+16 8.28E+16 6.88E+16 5.61E+16 4.49E+16 3.52E+16 2.72E+16 2.06E+16 1.53E+16 1.12E+16 8.06E+15 5.70E+15 3.96E+15 2.70E+15 1.82E+15 1.20E+15
 100.00  2.882  8.03E+20 3.78E+19 7.79E+20 2.77E+17 8.19E+17 1.32E+18 1.78E+18 2.15E+18 2.44E+18 2.65E+18 2.75E+18 2.78E+18 2.72E+18 2.59E+18 2.42E+18 2.20E+18 1.97E+18 1.72E+18 1.48E+18 1.24E+18 1.03E+18 8.33E+17 6.65E+17 5.21E+17 4.01E+17 3.04E+17 2.27E+17 1.66E+17 1.20E+17 8.51E+16 5.94E+16 4.08E+16 2.76E+16
 110.00  3.023  1.21E+22 5.64E+20 1.19E+22 3.94E+18 1.16E+19 1.89E+19 2.53E+19 3.08E+19 3.51E+19 3.81E+19 3.99E+19 4.04E+19 3.99E+19 3.83E+19 3.60E+19 3.31E+19 2.98E+19 2.63E+19 2.28E+19 1.94E+19 1.62E+19 1.33E+19 1.08E+19 8.57E+18 6.70E+18 5.15E+18 3.90E+18 2.91E+18 2.14E+18 1.54E+18 1.10E+18 7.69E+17 5.31E+17
 120.00  3.157  1.62E+23 7.49E+21 1.61E+23 5.00E+19 1.48E+20 2.40E+20 3.23E+20 3.94E+20 4.50E+20 4.91E+20 5.16E+20 5.25E+20 5.20E+20 5.03E+20 4.76E+20 4.40E+20 4.00E+20 3.56E+20 3.11E+20 2.68E+20 2.26E+20 1.88E+20 1.54E+20 1.24E+20 9.79E+19 7.63E+19 5.86E+19 4.43E+19 3.30E+19 2.42E+19 1.75E+19 1.25E+19 8.77E+18
 130.00  3.286  1.96E+24 8.98E+22 1.97E+24 5.75E+20 1.70E+21 2.77E+21 3.73E+21 4.55E+21 5.22E+21 5.71E+21 6.02E+21 6.16E+21 6.13E+21 5.96E+21 5.67E+21 5.28E+21 4.83E+21 4.33E+21 3.82E+21 3.31E+21 2.82E+21 2.37E+21 1.96E+21 1.59E+21 1.27E+21 1.00E+21 7.81E+20 5.98E+20 4.52E+20 3.36E+20 2.47E+20 1.78E+20 1.27E+20
 140.00  3.410  2.16E+25 9.82E+23 2.19E+25 6.07E+21 1.80E+22 2.92E+22 3.94E+22 4.82E+22 5.54E+22 6.08E+22 6.44E+22 6.61E+22 6.61E+22 6.45E+22 6.17E+22 5.78E+22 5.31E+22 4.80E+22 4.26E+22 3.72E+22 3.20E+22 2.71E+22 2.26E+22 1.85E+22 1.50E+22 1.19E+22 9.38E+21 7.27E+21 5.55E+21 4.18E+21 3.11E+21 2.28E+21 1.65E+21
