                    ************************************************************************************************
                    *  Z= 28 A= 61: Positive-Parity Spin-dependent Level Density [MeV-1] for Ni 61 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
  14.00  1.344  5.97E+05 1.97E+05 1.52E+06 6.52E+03 1.28E+04 1.68E+04 1.96E+04 1.96E+04 1.94E+04 1.53E+04 1.25E+04 8.98E+03 6.39E+03 4.01E+03 2.50E+03 1.26E+03 6.56E+02 2.82E+02 1.11E+02 4.41E+01 1.40E+01 2.51E+00 1.58E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  15.00  1.391  1.14E+06 3.78E+05 2.89E+06 1.17E+04 2.29E+04 3.03E+04 3.55E+04 3.57E+04 3.56E+04 2.86E+04 2.38E+04 1.75E+04 1.26E+04 8.09E+03 5.30E+03 2.70E+03 1.46E+03 6.96E+02 2.95E+02 1.13E+02 4.42E+01 1.01E+01 2.07E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  16.00  1.437  2.13E+06 7.03E+05 5.33E+06 2.02E+04 3.97E+04 5.31E+04 6.25E+04 6.32E+04 6.35E+04 5.20E+04 4.36E+04 3.27E+04 2.40E+04 1.57E+04 1.05E+04 5.70E+03 3.11E+03 1.54E+03 7.28E+02 2.84E+02 1.14E+02 3.70E+01 8.09E+00 9.91E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  17.00  1.481  3.85E+06 1.27E+06 9.59E+06 3.45E+04 6.73E+04 9.07E+04 1.07E+05 1.09E+05 1.11E+05 9.20E+04 7.82E+04 5.94E+04 4.43E+04 2.99E+04 2.02E+04 1.13E+04 6.43E+03 3.21E+03 1.60E+03 6.87E+02 2.79E+02 9.83E+01 3.03E+01 5.15E+00 8.25E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  18.00  1.524  6.78E+06 2.25E+06 1.68E+07 5.64E+04 1.11E+05 1.49E+05 1.78E+05 1.84E+05 1.88E+05 1.58E+05 1.36E+05 1.05E+05 7.97E+04 5.45E+04 3.80E+04 2.16E+04 1.27E+04 6.63E+03 3.36E+03 1.54E+03 6.78E+02 2.38E+02 8.72E+01 2.56E+01 4.32E+00 2.93E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  19.00  1.566  1.17E+07 3.84E+06 2.84E+07 8.95E+04 1.76E+05 2.37E+05 2.85E+05 2.97E+05 3.06E+05 2.62E+05 2.28E+05 1.80E+05 1.39E+05 9.60E+04 6.82E+04 4.00E+04 2.40E+04 1.31E+04 6.85E+03 3.24E+03 1.55E+03 5.64E+02 2.18E+02 7.51E+01 2.07E+01 2.11E+00 2.88E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  20.00  1.606  1.95E+07 6.35E+06 4.64E+07 1.39E+05 2.72E+05 3.69E+05 4.45E+05 4.67E+05 4.83E+05 4.19E+05 3.70E+05 2.95E+05 2.31E+05 1.64E+05 1.18E+05 7.09E+04 4.36E+04 2.41E+04 1.31E+04 6.32E+03 3.13E+03 1.22E+03 4.88E+02 1.76E+02 5.73E+01 1.49E+01 1.32E+00 1.31E+00 1.13E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  22.50  1.704  7.90E+07 2.07E+07 1.48E+08 3.87E+05 7.61E+05 1.04E+06 1.27E+06 1.36E+06 1.42E+06 1.26E+06 1.14E+06 9.37E+05 7.59E+05 5.64E+05 4.23E+05 2.68E+05 1.73E+05 1.01E+05 5.82E+04 3.01E+04 1.58E+04 6.85E+03 3.10E+03 1.23E+03 4.79E+02 1.64E+02 5.11E+01 1.09E+01 1.14E+00 6.81E-01 1.09E-01 1.00E-30 1.00E-30
  25.00  1.796  2.36E+08 5.75E+07 4.06E+08 9.31E+05 1.84E+06 2.53E+06 3.10E+06 3.34E+06 3.53E+06 3.23E+06 3.00E+06 2.56E+06 2.14E+06 1.64E+06 1.27E+06 8.42E+05 5.73E+05 3.50E+05 2.11E+05 1.15E+05 6.38E+04 2.96E+04 1.39E+04 6.00E+03 2.50E+03 9.38E+02 3.40E+02 9.69E+01 2.58E+01 5.46E+00 9.10E-01 1.18E+00 2.52E-01
  30.00  1.967  1.88E+09 3.32E+08 2.30E+09 4.27E+06 8.43E+06 1.18E+07 1.46E+07 1.60E+07 1.72E+07 1.63E+07 1.54E+07 1.37E+07 1.20E+07 9.78E+06 7.96E+06 5.74E+06 4.19E+06 2.83E+06 1.85E+06 1.11E+06 6.75E+05 3.46E+05 1.80E+05 8.44E+04 3.90E+04 1.64E+04 7.01E+03 2.44E+03 8.80E+02 2.75E+02 7.27E+01 1.66E+01 3.62E+00
  40.00  2.272  5.71E+10 6.37E+09 4.17E+10 6.42E+07 1.27E+08 1.78E+08 2.21E+08 2.46E+08 2.68E+08 2.58E+08 2.50E+08 2.26E+08 2.03E+08 1.72E+08 1.47E+08 1.13E+08 8.87E+07 6.61E+07 4.83E+07 3.34E+07 2.32E+07 1.44E+07 8.86E+06 5.06E+06 2.78E+06 1.39E+06 6.92E+05 2.89E+05 1.21E+05 4.59E+04 1.67E+04 5.48E+03 1.77E+03
  50.00  2.540  8.99E+11 1.08E+11 6.44E+11 9.50E+08 1.88E+09 2.65E+09 3.30E+09 3.68E+09 4.01E+09 3.87E+09 3.75E+09 3.42E+09 3.08E+09 2.61E+09 2.25E+09 1.74E+09 1.38E+09 1.03E+09 7.72E+08 5.45E+08 3.93E+08 2.56E+08 1.69E+08 1.06E+08 6.62E+07 3.85E+07 2.26E+07 1.16E+07 5.86E+06 2.71E+06 1.21E+06 4.78E+05 1.89E+05
  60.00  2.782  1.50E+13 2.00E+12 1.12E+13 1.38E+10 2.74E+10 4.03E+10 5.26E+10 6.07E+10 6.45E+10 6.53E+10 6.35E+10 5.62E+10 5.24E+10 4.50E+10 3.94E+10 3.11E+10 2.51E+10 1.94E+10 1.43E+10 1.02E+10 7.64E+09 4.99E+09 3.43E+09 2.21E+09 1.42E+09 8.63E+08 5.34E+08 2.93E+08 1.64E+08 8.86E+07 4.76E+07 2.37E+07 1.15E+07
  70.00  3.005  2.33E+14 3.42E+13 1.78E+14 2.04E+11 4.03E+11 5.97E+11 7.78E+11 8.99E+11 9.63E+11 9.82E+11 9.63E+11 8.68E+11 8.15E+11 7.13E+11 6.31E+11 5.07E+11 4.15E+11 3.29E+11 2.46E+11 1.80E+11 1.37E+11 9.20E+10 6.42E+10 4.24E+10 2.80E+10 1.75E+10 1.10E+10 6.23E+09 3.59E+09 2.01E+09 1.13E+09 6.01E+08 3.16E+08
  80.00  3.213  3.18E+15 5.08E+14 2.48E+15 2.61E+12 5.18E+12 7.67E+12 1.00E+13 1.16E+13 1.25E+13 1.29E+13 1.28E+13 1.16E+13 1.10E+13 9.75E+12 8.71E+12 7.15E+12 5.96E+12 4.77E+12 3.67E+12 2.74E+12 2.13E+12 1.47E+12 1.05E+12 7.17E+11 4.86E+11 3.11E+11 2.03E+11 1.19E+11 7.10E+10 4.13E+10 2.40E+10 1.33E+10 7.29E+09
  90.00  3.408  3.82E+16 6.58E+15 3.03E+16 2.95E+13 5.87E+13 8.69E+13 1.14E+14 1.33E+14 1.44E+14 1.49E+14 1.48E+14 1.36E+14 1.30E+14 1.17E+14 1.06E+14 8.77E+13 7.41E+13 6.06E+13 4.73E+13 3.61E+13 2.86E+13 2.01E+13 1.47E+13 1.03E+13 7.16E+12 4.73E+12 3.17E+12 1.92E+12 1.19E+12 7.15E+11 4.32E+11 2.49E+11 1.42E+11
 100.00  3.592  4.10E+17 7.57E+16 3.30E+17 3.01E+14 5.98E+14 8.85E+14 1.16E+15 1.36E+15 1.47E+15 1.53E+15 1.54E+15 1.43E+15 1.38E+15 1.24E+15 1.14E+15 9.56E+14 8.16E+14 6.76E+14 5.36E+14 4.16E+14 3.33E+14 2.40E+14 1.79E+14 1.28E+14 9.09E+13 6.16E+13 4.23E+13 2.65E+13 1.68E+13 1.05E+13 6.51E+12 3.91E+12 2.30E+12
 110.00  3.767  3.98E+18 7.86E+17 3.24E+18 2.79E+15 5.54E+15 8.19E+15 1.07E+16 1.26E+16 1.38E+16 1.44E+16 1.45E+16 1.36E+16 1.32E+16 1.20E+16 1.10E+16 9.39E+15 8.10E+15 6.78E+15 5.44E+15 4.28E+15 3.49E+15 2.55E+15 1.94E+15 1.41E+15 1.02E+15 7.04E+14 4.94E+14 3.16E+14 2.07E+14 1.32E+14 8.48E+13 5.20E+13 3.18E+13
 120.00  3.935  3.55E+19 7.47E+18 2.92E+19 2.36E+16 4.70E+16 6.98E+16 9.15E+16 1.08E+17 1.18E+17 1.24E+17 1.26E+17 1.18E+17 1.15E+17 1.06E+17 9.80E+16 8.41E+16 7.34E+16 6.20E+16 5.03E+16 4.00E+16 3.30E+16 2.46E+16 1.89E+16 1.39E+16 1.03E+16 7.22E+15 5.14E+15 3.38E+15 2.26E+15 1.47E+15 9.66E+14 6.10E+14 3.80E+14
 130.00  4.096  2.94E+20 6.55E+19 2.43E+20 1.87E+17 3.72E+17 5.53E+17 7.26E+17 8.54E+17 9.40E+17 9.90E+17 1.01E+18 9.56E+17 9.37E+17 8.64E+17 8.06E+17 6.97E+17 6.13E+17 5.22E+17 4.28E+17 3.45E+17 2.86E+17 2.15E+17 1.68E+17 1.26E+17 9.41E+16 6.73E+16 4.87E+16 3.27E+16 2.22E+16 1.48E+16 9.89E+15 6.38E+15 4.08E+15
