                    ************************************************************************************************
                    *  Z= 25 A= 51: Positive-Parity Spin-dependent Level Density [MeV-1] for Mn 51 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
  13.00  1.437  2.29E+04 5.62E+03 4.14E+04 4.83E+02 8.44E+02 1.01E+03 9.84E+02 8.21E+02 6.01E+02 3.91E+02 2.28E+02 1.19E+02 5.64E+01 2.42E+01 9.38E+00 3.30E+00 1.06E+00 3.08E-01 8.15E-02 1.97E-02 4.32E-03 8.64E-04 1.58E-04 2.62E-05 3.98E-06 5.50E-07 6.95E-08 8.00E-09 8.41E-10 8.07E-11 7.07E-12 5.65E-13 4.12E-14
  14.00  1.491  4.46E+04 1.08E+04 8.15E+04 8.92E+02 1.57E+03 1.90E+03 1.87E+03 1.59E+03 1.18E+03 7.89E+02 4.72E+02 2.55E+02 1.25E+02 5.56E+01 2.25E+01 8.29E+00 2.79E+00 8.56E-01 2.40E-01 6.14E-02 1.44E-02 3.08E-03 6.03E-04 1.08E-04 1.77E-05 2.67E-06 3.67E-07 4.62E-08 5.33E-09 5.63E-10 5.45E-11 4.83E-12 3.93E-13
  15.00  1.544  8.59E+04 2.07E+04 1.60E+05 1.64E+03 2.90E+03 3.54E+03 3.53E+03 3.04E+03 2.32E+03 1.58E+03 9.70E+02 5.40E+02 2.74E+02 1.26E+02 5.32E+01 2.05E+01 7.23E+00 2.34E+00 6.91E-01 1.88E-01 4.67E-02 1.07E-02 2.24E-03 4.31E-04 7.64E-05 1.24E-05 1.85E-06 2.55E-07 3.21E-08 3.73E-09 3.98E-10 3.90E-11 3.52E-12
  16.00  1.594  1.64E+05 3.90E+04 3.08E+05 2.98E+03 5.29E+03 6.50E+03 6.56E+03 5.74E+03 4.45E+03 3.09E+03 1.95E+03 1.12E+03 5.82E+02 2.78E+02 1.22E+02 4.88E+01 1.80E+01 6.08E+00 1.89E+00 5.41E-01 1.43E-01 3.46E-02 7.73E-03 1.59E-03 3.02E-04 5.27E-05 8.49E-06 1.26E-06 1.73E-07 2.18E-08 2.55E-09 2.74E-10 2.71E-11
  17.00  1.643  3.09E+05 7.23E+04 5.83E+05 5.33E+03 9.51E+03 1.18E+04 1.20E+04 1.06E+04 8.37E+03 5.94E+03 3.82E+03 2.24E+03 1.20E+03 5.92E+02 2.68E+02 1.11E+02 4.26E+01 1.50E+01 4.89E+00 1.47E+00 4.07E-01 1.04E-01 2.46E-02 5.38E-03 1.08E-03 2.02E-04 3.49E-05 5.57E-06 8.21E-07 1.12E-07 1.41E-08 1.65E-09 1.78E-10
  18.00  1.691  5.73E+05 1.32E+05 1.09E+06 9.43E+03 1.69E+04 2.10E+04 2.17E+04 1.94E+04 1.55E+04 1.12E+04 7.33E+03 4.40E+03 2.42E+03 1.22E+03 5.70E+02 2.45E+02 9.72E+01 3.56E+01 1.21E+01 3.78E+00 1.10E+00 2.95E-01 7.33E-02 1.69E-02 3.60E-03 7.13E-04 1.31E-04 2.22E-05 3.50E-06 5.12E-07 6.94E-08 8.72E-09 1.02E-09
  19.00  1.737  1.05E+06 2.38E+05 2.00E+06 1.65E+04 2.96E+04 3.71E+04 3.85E+04 3.49E+04 2.82E+04 2.07E+04 1.38E+04 8.45E+03 4.76E+03 2.47E+03 1.18E+03 5.22E+02 2.14E+02 8.12E+01 2.85E+01 9.30E+00 2.81E+00 7.89E-01 2.05E-01 4.97E-02 1.12E-02 2.33E-03 4.52E-04 8.14E-05 1.36E-05 2.12E-06 3.07E-07 4.13E-08 5.16E-09
  20.00  1.782  1.90E+06 4.24E+05 3.61E+06 2.85E+04 5.13E+04 6.47E+04 6.76E+04 6.18E+04 5.07E+04 3.76E+04 2.55E+04 1.59E+04 9.15E+03 4.85E+03 2.38E+03 1.08E+03 4.57E+02 1.79E+02 6.50E+01 2.19E+01 6.89E+00 2.01E+00 5.47E-01 1.38E-01 3.25E-02 7.13E-03 1.45E-03 2.76E-04 4.89E-05 8.06E-06 1.24E-06 1.77E-07 2.36E-08
  22.50  1.890  1.04E+07 1.70E+06 1.51E+07 1.07E+05 1.94E+05 2.47E+05 2.63E+05 2.45E+05 2.06E+05 1.58E+05 1.11E+05 7.20E+04 4.32E+04 2.41E+04 1.25E+04 6.02E+03 2.70E+03 1.13E+03 4.43E+02 1.62E+02 5.51E+01 1.75E+01 5.22E+00 1.45E+00 3.78E-01 9.21E-02 2.10E-02 4.47E-03 8.92E-04 1.66E-04 2.91E-05 4.75E-06 7.28E-07
  25.00  1.993  4.23E+07 6.38E+06 5.85E+07 3.77E+05 6.88E+05 8.86E+05 9.55E+05 9.07E+05 7.79E+05 6.12E+05 4.43E+05 2.97E+05 1.85E+05 1.07E+05 5.82E+04 2.94E+04 1.39E+04 6.17E+03 2.56E+03 9.97E+02 3.64E+02 1.24E+02 4.00E+01 1.20E+01 3.41E+00 9.05E-01 2.26E-01 5.29E-02 1.17E-02 2.41E-03 4.68E-04 8.56E-05 1.47E-05
  30.00  2.183  7.99E+08 7.56E+07 7.35E+08 4.03E+06 7.43E+06 9.72E+06 1.07E+07 1.04E+07 9.28E+06 7.58E+06 5.74E+06 4.05E+06 2.68E+06 1.66E+06 9.61E+05 5.25E+05 2.70E+05 1.31E+05 5.95E+04 2.56E+04 1.04E+04 3.98E+03 1.44E+03 4.91E+02 1.58E+02 4.82E+01 1.39E+01 3.77E+00 9.70E-01 2.36E-01 5.42E-02 1.18E-02 2.42E-03
  40.00  2.521  1.26E+11 6.27E+09 6.65E+10 2.86E+08 5.32E+08 7.11E+08 8.05E+08 8.16E+08 7.58E+08 6.53E+08 5.26E+08 3.98E+08 2.84E+08 1.92E+08 1.22E+08 7.39E+07 4.24E+07 2.31E+07 1.20E+07 5.90E+06 2.76E+06 1.23E+06 5.22E+05 2.11E+05 8.10E+04 2.97E+04 1.04E+04 3.44E+03 1.09E+03 3.29E+02 9.47E+01 2.60E+01 6.79E+00
  50.00  2.818  6.34E+12 3.11E+11 3.53E+12 1.26E+10 2.36E+10 3.19E+10 3.69E+10 3.83E+10 3.66E+10 3.27E+10 2.74E+10 2.17E+10 1.63E+10 1.16E+10 7.90E+09 5.11E+09 3.15E+09 1.86E+09 1.05E+09 5.63E+08 2.90E+08 1.42E+08 6.71E+07 3.03E+07 1.31E+07 5.40E+06 2.14E+06 8.11E+05 2.94E+05 1.03E+05 3.42E+04 1.09E+04 3.35E+03
  60.00  3.087  2.19E+14 1.06E+13 1.27E+14 3.91E+11 7.39E+11 1.01E+12 1.18E+12 1.25E+12 1.22E+12 1.11E+12 9.63E+11 7.88E+11 6.14E+11 4.56E+11 3.24E+11 2.20E+11 1.43E+11 8.91E+10 5.33E+10 3.05E+10 1.68E+10 8.89E+09 4.51E+09 2.20E+09 1.03E+09 4.66E+08 2.02E+08 8.42E+07 3.38E+07 1.30E+07 4.83E+06 1.73E+06 5.93E+05
  70.00  3.334  5.72E+15 2.75E+14 3.44E+15 9.31E+12 1.77E+13 2.43E+13 2.88E+13 3.08E+13 3.06E+13 2.85E+13 2.52E+13 2.12E+13 1.69E+13 1.30E+13 9.54E+12 6.72E+12 4.55E+12 2.96E+12 1.85E+12 1.11E+12 6.46E+11 3.61E+11 1.94E+11 1.01E+11 5.03E+10 2.42E+10 1.13E+10 5.04E+09 2.18E+09 9.10E+08 3.66E+08 1.42E+08 5.33E+07
  80.00  3.565  1.20E+17 5.69E+15 7.40E+16 1.80E+14 3.43E+14 4.74E+14 5.65E+14 6.12E+14 6.15E+14 5.83E+14 5.24E+14 4.48E+14 3.67E+14 2.89E+14 2.18E+14 1.58E+14 1.10E+14 7.42E+13 4.82E+13 3.01E+13 1.82E+13 1.06E+13 5.98E+12 3.25E+12 1.71E+12 8.69E+11 4.27E+11 2.03E+11 9.30E+10 4.13E+10 1.77E+10 7.35E+09 2.95E+09
  90.00  3.781  2.08E+18 9.82E+16 1.32E+18 2.92E+15 5.58E+15 7.76E+15 9.31E+15 1.02E+16 1.03E+16 9.91E+15 9.03E+15 7.86E+15 6.56E+15 5.26E+15 4.06E+15 3.01E+15 2.16E+15 1.49E+15 9.99E+14 6.46E+14 4.03E+14 2.44E+14 1.43E+14 8.06E+13 4.42E+13 2.34E+13 1.20E+13 5.99E+12 2.89E+12 1.35E+12 6.11E+11 2.68E+11 1.14E+11
 100.00  3.985  3.12E+19 1.46E+18 2.02E+19 4.10E+16 7.85E+16 1.10E+17 1.32E+17 1.45E+17 1.49E+17 1.45E+17 1.33E+17 1.18E+17 9.97E+16 8.13E+16 6.39E+16 4.84E+16 3.55E+16 2.51E+16 1.72E+16 1.14E+16 7.35E+15 4.58E+15 2.76E+15 1.61E+15 9.16E+14 5.04E+14 2.69E+14 1.39E+14 6.99E+13 3.41E+13 1.61E+13 7.41E+12 3.30E+12
 110.00  4.180  4.10E+20 1.90E+19 2.69E+20 5.08E+17 9.75E+17 1.37E+18 1.66E+18 1.83E+18 1.89E+18 1.85E+18 1.73E+18 1.54E+18 1.32E+18 1.09E+18 8.74E+17 6.74E+17 5.03E+17 3.64E+17 2.55E+17 1.73E+17 1.14E+17 7.27E+16 4.51E+16 2.71E+16 1.58E+16 8.99E+15 4.96E+15 2.66E+15 1.38E+15 6.99E+14 3.43E+14 1.64E+14 7.62E+13
 120.00  4.366  4.82E+21 2.20E+20 3.21E+21 5.65E+18 1.09E+19 1.53E+19 1.86E+19 2.07E+19 2.15E+19 2.12E+19 2.00E+19 1.80E+19 1.56E+19 1.31E+19 1.06E+19 8.30E+18 6.30E+18 4.63E+18 3.30E+18 2.29E+18 1.54E+18 1.00E+18 6.37E+17 3.93E+17 2.36E+17 1.37E+17 7.79E+16 4.29E+16 2.30E+16 1.20E+16 6.11E+15 3.02E+15 1.45E+15
 130.00  4.544  5.13E+22 2.32E+21 3.46E+22 5.72E+19 1.10E+20 1.55E+20 1.90E+20 2.12E+20 2.22E+20 2.20E+20 2.09E+20 1.90E+20 1.67E+20 1.41E+20 1.16E+20 9.18E+19 7.06E+19 5.27E+19 3.82E+19 2.69E+19 1.84E+19 1.23E+19 7.95E+18 5.01E+18 3.07E+18 1.83E+18 1.07E+18 6.03E+17 3.33E+17 1.78E+17 9.33E+16 4.75E+16 2.36E+16
