                    ************************************************************************************************
                    *  Z= 26 A= 56: Positive-Parity Spin-dependent Level Density [MeV-1] for Fe 56 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  13.00  1.390  1.08E+05 3.80E+04 4.54E+05 6.92E+02 2.00E+03 3.11E+03 3.92E+03 4.37E+03 4.46E+03 4.22E+03 3.73E+03 3.10E+03 2.40E+03 1.76E+03 1.19E+03 7.54E+02 4.34E+02 2.28E+02 1.05E+02 4.20E+01 1.38E+01 2.93E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  14.00  1.442  2.00E+05 4.98E+04 6.55E+05 8.23E+02 2.38E+03 3.74E+03 4.78E+03 5.43E+03 5.67E+03 5.53E+03 5.08E+03 4.40E+03 3.59E+03 2.78E+03 2.01E+03 1.38E+03 8.67E+02 5.10E+02 2.70E+02 1.30E+02 5.32E+01 1.85E+01 5.18E+00 9.05E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  15.00  1.493  2.42E+05 1.70E+04 2.27E+05 3.18E+02 8.87E+02 1.40E+03 1.75E+03 2.00E+03 2.06E+03 2.00E+03 1.80E+03 1.55E+03 1.23E+03 9.16E+02 6.35E+02 4.34E+02 2.71E+02 1.61E+02 8.24E+01 3.61E+01 1.31E+01 4.18E+00 1.04E+00 6.12E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  16.00  1.542  2.89E+05 1.50E+04 2.00E+05 2.60E+02 7.24E+02 1.15E+03 1.45E+03 1.67E+03 1.73E+03 1.70E+03 1.54E+03 1.32E+03 1.05E+03 8.17E+02 6.25E+02 4.22E+02 2.74E+02 1.67E+02 9.15E+01 5.10E+01 2.37E+01 8.70E+00 3.01E+00 4.31E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  17.00  1.589  4.35E+05 5.45E+04 7.12E+05 8.45E+02 2.45E+03 3.85E+03 4.93E+03 5.60E+03 5.87E+03 5.77E+03 5.33E+03 4.66E+03 3.87E+03 3.04E+03 2.27E+03 1.51E+03 1.00E+03 6.30E+02 3.72E+02 2.43E+02 1.32E+02 6.23E+01 2.55E+01 1.11E+01 2.95E+00 5.84E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  18.00  1.635  7.97E+05 1.88E+05 2.36E+06 3.20E+03 9.30E+03 1.44E+04 1.83E+04 2.04E+04 2.10E+04 2.02E+04 1.82E+04 1.55E+04 1.25E+04 9.48E+03 6.82E+03 4.89E+03 3.13E+03 1.86E+03 1.03E+03 4.82E+02 2.17E+02 8.92E+01 3.12E+01 8.60E+00 1.24E+00 2.55E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  19.00  1.680  1.35E+06 3.07E+05 4.05E+06 5.11E+03 1.48E+04 2.31E+04 2.92E+04 3.30E+04 3.41E+04 3.30E+04 3.01E+04 2.60E+04 2.14E+04 1.67E+04 1.24E+04 9.05E+03 6.13E+03 3.93E+03 2.35E+03 1.14E+03 5.18E+02 2.22E+02 8.14E+01 2.56E+01 6.63E+00 1.44E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  20.00  1.724  2.03E+06 2.89E+05 3.88E+06 4.82E+03 1.39E+04 2.18E+04 2.79E+04 3.16E+04 3.28E+04 3.19E+04 2.92E+04 2.54E+04 2.10E+04 1.66E+04 1.25E+04 7.53E+03 4.86E+03 3.06E+03 1.86E+03 1.46E+03 7.69E+02 3.44E+02 1.33E+02 4.49E+01 1.22E+01 2.45E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  22.50  1.828  6.32E+06 6.94E+05 9.37E+06 1.11E+04 3.23E+04 5.06E+04 6.46E+04 7.32E+04 7.62E+04 7.44E+04 6.84E+04 5.98E+04 4.97E+04 3.94E+04 2.98E+04 2.14E+04 1.48E+04 9.68E+03 6.04E+03 3.02E+03 1.35E+03 6.07E+02 2.48E+02 9.28E+01 2.94E+01 7.31E+00 9.51E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  25.00  1.927  1.44E+07 1.05E+06 1.37E+07 1.84E+04 5.34E+04 8.31E+04 1.05E+05 1.17E+05 1.20E+05 1.15E+05 1.04E+05 8.88E+04 7.17E+04 5.50E+04 4.01E+04 2.76E+04 1.81E+04 1.12E+04 6.54E+03 3.57E+03 1.80E+03 8.25E+02 3.41E+02 1.30E+02 4.41E+01 1.29E+01 2.65E+00 5.57E-02 1.32E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30
