                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  20.00  1.289  1.08E+12 3.27E+11 4.43E+12 5.58E+09 1.62E+10 2.52E+10 3.18E+10 3.56E+10 3.67E+10 3.53E+10 3.21E+10 2.76E+10 2.27E+10 1.78E+10 1.34E+10 9.65E+09 6.68E+09 4.44E+09 2.84E+09 1.75E+09 1.04E+09 5.92E+08 3.25E+08 1.73E+08 8.82E+07 4.34E+07 2.06E+07 9.47E+06 4.19E+06 1.79E+06 7.36E+05 2.92E+05 1.12E+05
  22.50  1.367  1.56E+13 2.91E+12 4.07E+13 4.65E+10 1.35E+11 2.11E+11 2.68E+11 3.03E+11 3.16E+11 3.08E+11 2.84E+11 2.49E+11 2.09E+11 1.67E+11 1.29E+11 9.53E+10 6.78E+10 4.65E+10 3.07E+10 1.96E+10 1.20E+10 7.15E+09 4.10E+09 2.27E+09 1.21E+09 6.28E+08 3.14E+08 1.51E+08 7.07E+07 3.19E+07 1.39E+07 5.89E+06 2.41E+06
  25.00  1.441  1.30E+14 2.29E+13 3.30E+14 3.46E+11 1.01E+12 1.58E+12 2.02E+12 2.30E+12 2.41E+12 2.38E+12 2.22E+12 1.98E+12 1.68E+12 1.37E+12 1.08E+12 8.16E+11 5.94E+11 4.18E+11 2.84E+11 1.86E+11 1.18E+11 7.24E+10 4.29E+10 2.46E+10 1.37E+10 7.36E+09 3.83E+09 1.93E+09 9.45E+08 4.47E+08 2.05E+08 9.10E+07 3.92E+07
  30.00  1.579  1.07E+16 1.06E+15 1.61E+16 1.45E+13 4.23E+13 6.68E+13 8.61E+13 9.92E+13 1.06E+14 1.06E+14 1.01E+14 9.19E+13 8.02E+13 6.74E+13 5.46E+13 4.27E+13 3.23E+13 2.36E+13 1.67E+13 1.15E+13 7.65E+12 4.94E+12 3.09E+12 1.88E+12 1.11E+12 6.34E+11 3.53E+11 1.90E+11 9.98E+10 5.09E+10 2.52E+10 1.21E+10 5.66E+09
  40.00  1.823  1.93E+19 9.63E+17 1.57E+19 1.13E+16 3.31E+16 5.27E+16 6.87E+16 8.04E+16 8.73E+16 8.96E+16 8.77E+16 8.23E+16 7.45E+16 6.50E+16 5.50E+16 4.51E+16 3.58E+16 2.77E+16 2.08E+16 1.52E+16 1.08E+16 7.47E+15 5.03E+15 3.31E+15 2.11E+15 1.32E+15 8.01E+14 4.75E+14 2.74E+14 1.55E+14 8.50E+13 4.56E+13 2.38E+13
  50.00  2.038  7.87E+21 3.92E+20 6.79E+21 4.10E+18 1.20E+19 1.93E+19 2.53E+19 2.99E+19 3.29E+19 3.43E+19 3.42E+19 3.28E+19 3.03E+19 2.72E+19 2.37E+19 2.00E+19 1.65E+19 1.32E+19 1.03E+19 7.83E+18 5.82E+18 4.22E+18 2.99E+18 2.07E+18 1.39E+18 9.21E+17 5.94E+17 3.75E+17 2.31E+17 1.39E+17 8.20E+16 4.73E+16 2.67E+16
  60.00  2.233  1.83E+24 9.09E+22 1.65E+24 8.64E+20 2.54E+21 4.08E+21 5.40E+21 6.43E+21 7.14E+21 7.53E+21 7.60E+21 7.40E+21 6.96E+21 6.36E+21 5.65E+21 4.88E+21 4.12E+21 3.39E+21 2.72E+21 2.13E+21 1.64E+21 1.23E+21 9.01E+20 6.47E+20 4.55E+20 3.13E+20 2.11E+20 1.39E+20 8.99E+19 5.69E+19 3.53E+19 2.14E+19 1.28E+19
  70.00  2.411  2.76E+26 1.37E+25 2.59E+26 1.21E+23 3.55E+23 5.72E+23 7.60E+23 9.10E+23 1.02E+24 1.08E+24 1.10E+24 1.09E+24 1.04E+24 9.61E+23 8.68E+23 7.63E+23 6.56E+23 5.50E+23 4.52E+23 3.63E+23 2.85E+23 2.20E+23 1.66E+23 1.22E+23 8.88E+22 6.30E+22 4.39E+22 3.00E+22 2.01E+22 1.32E+22 8.53E+21 5.40E+21 3.35E+21
  80.00  2.578  2.98E+28 1.48E+27 2.88E+28 1.21E+25 3.58E+25 5.77E+25 7.69E+25 9.25E+25 1.04E+26 1.12E+26 1.15E+26 1.14E+26 1.10E+26 1.03E+26 9.42E+25 8.40E+25 7.33E+25 6.25E+25 5.22E+25 4.27E+25 3.43E+25 2.69E+25 2.08E+25 1.57E+25 1.17E+25 8.51E+24 6.09E+24 4.28E+24 2.95E+24 2.00E+24 1.33E+24 8.71E+23 5.59E+23
  90.00  2.734  2.44E+30 1.20E+29 2.42E+30 9.30E+26 2.75E+27 4.44E+27 5.94E+27 7.17E+27 8.11E+27 8.74E+27 9.05E+27 9.06E+27 8.81E+27 8.34E+27 7.70E+27 6.95E+27 6.14E+27 5.31E+27 4.50E+27 3.74E+27 3.05E+27 2.44E+27 1.91E+27 1.48E+27 1.12E+27 8.33E+26 6.09E+26 4.38E+26 3.10E+26 2.15E+26 1.47E+26 9.87E+25 6.52E+25
 100.00  2.882  1.58E+32 7.78E+30 1.60E+32 5.70E+28 1.68E+29 2.73E+29 3.65E+29 4.43E+29 5.03E+29 5.44E+29 5.67E+29 5.71E+29 5.59E+29 5.34E+29 4.97E+29 4.53E+29 4.05E+29 3.54E+29 3.04E+29 2.56E+29 2.11E+29 1.71E+29 1.37E+29 1.07E+29 8.26E+28 6.26E+28 4.66E+28 3.42E+28 2.47E+28 1.75E+28 1.22E+28 8.40E+27 5.68E+27
 110.00  3.023  8.40E+33 4.12E+32 8.68E+33 2.87E+30 8.50E+30 1.38E+31 1.85E+31 2.25E+31 2.56E+31 2.79E+31 2.91E+31 2.95E+31 2.91E+31 2.80E+31 2.63E+31 2.41E+31 2.17E+31 1.92E+31 1.66E+31 1.42E+31 1.18E+31 9.74E+30 7.87E+30 6.26E+30 4.89E+30 3.76E+30 2.85E+30 2.12E+30 1.56E+30 1.13E+30 8.02E+29 5.62E+29 3.88E+29
 120.00  3.157  3.75E+35 1.83E+34 3.95E+35 1.23E+32 3.63E+32 5.88E+32 7.91E+32 9.64E+32 1.10E+33 1.20E+33 1.26E+33 1.29E+33 1.27E+33 1.23E+33 1.17E+33 1.08E+33 9.79E+32 8.72E+32 7.63E+32 6.56E+32 5.54E+32 4.60E+32 3.76E+32 3.03E+32 2.40E+32 1.87E+32 1.44E+32 1.09E+32 8.09E+31 5.94E+31 4.29E+31 3.06E+31 2.15E+31
 130.00  3.286  1.44E+37 7.02E+35 1.54E+37 4.50E+33 1.33E+34 2.17E+34 2.92E+34 3.56E+34 4.09E+34 4.47E+34 4.71E+34 4.82E+34 4.80E+34 4.67E+34 4.44E+34 4.13E+34 3.78E+34 3.39E+34 2.99E+34 2.59E+34 2.21E+34 1.85E+34 1.53E+34 1.24E+34 9.97E+33 7.86E+33 6.11E+33 4.68E+33 3.54E+33 2.63E+33 1.93E+33 1.40E+33 9.96E+32
 140.00  3.410  4.84E+38 2.35E+37 5.24E+38 1.45E+35 4.30E+35 6.99E+35 9.43E+35 1.15E+36 1.33E+36 1.45E+36 1.54E+36 1.58E+36 1.58E+36 1.54E+36 1.48E+36 1.38E+36 1.27E+36 1.15E+36 1.02E+36 8.90E+35 7.65E+35 6.48E+35 5.40E+35 4.43E+35 3.58E+35 2.86E+35 2.24E+35 1.74E+35 1.33E+35 1.00E+35 7.44E+34 5.45E+34 3.94E+34
