                    ************************************************************************************************
                    *  Z= 27 A= 59: Positive-Parity Spin-dependent Level Density [MeV-1] for Co 59 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
  15.00  1.401  2.70E+05 6.53E+04 6.34E+05 1.96E+03 3.86E+03 5.37E+03 6.30E+03 6.78E+03 6.72E+03 6.12E+03 5.26E+03 4.24E+03 3.18E+03 2.26E+03 1.47E+03 8.57E+02 4.52E+02 2.03E+02 6.95E+01 2.03E+01 4.13E+00 1.06E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  16.00  1.447  4.56E+05 1.14E+05 1.14E+06 3.46E+03 6.53E+03 8.98E+03 1.09E+04 1.16E+04 1.15E+04 1.07E+04 9.31E+03 7.60E+03 5.84E+03 4.22E+03 2.83E+03 1.75E+03 9.70E+02 4.81E+02 1.99E+02 6.53E+01 1.53E+01 3.32E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  17.00  1.491  7.54E+05 1.90E+05 1.99E+06 5.56E+03 1.06E+04 1.46E+04 1.76E+04 1.91E+04 1.91E+04 1.80E+04 1.59E+04 1.32E+04 1.04E+04 7.68E+03 5.29E+03 3.42E+03 1.99E+03 1.03E+03 4.89E+02 1.91E+02 5.35E+01 1.41E+01 2.58E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  18.00  1.535  1.21E+06 2.95E+05 3.22E+06 8.40E+03 1.61E+04 2.25E+04 2.70E+04 2.95E+04 2.98E+04 2.83E+04 2.53E+04 2.13E+04 1.70E+04 1.28E+04 9.08E+03 6.00E+03 3.65E+03 2.01E+03 1.01E+03 4.41E+02 1.55E+02 4.64E+01 9.31E+00 9.29E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  19.00  1.577  1.87E+06 2.99E+05 3.71E+06 9.52E+03 1.82E+04 2.54E+04 3.06E+04 3.34E+04 3.39E+04 3.22E+04 2.89E+04 2.44E+04 1.95E+04 1.48E+04 1.06E+04 7.08E+03 4.39E+03 2.52E+03 1.30E+03 5.97E+02 2.30E+02 7.12E+01 1.64E+01 1.79E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  20.00  1.618  2.84E+06 5.83E+05 6.20E+06 1.45E+04 2.75E+04 3.86E+04 4.69E+04 5.19E+04 5.34E+04 5.15E+04 4.70E+04 4.05E+04 3.32E+04 2.58E+04 1.89E+04 1.32E+04 8.26E+03 4.95E+03 2.72E+03 1.35E+03 5.83E+02 2.12E+02 6.13E+01 1.12E+01 9.57E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  22.50  1.716  8.71E+06 1.53E+06 1.83E+07 3.90E+04 7.26E+04 1.03E+05 1.26E+05 1.40E+05 1.46E+05 1.43E+05 1.33E+05 1.17E+05 9.83E+04 7.89E+04 6.01E+04 4.36E+04 2.75E+04 1.77E+04 1.06E+04 5.93E+03 3.04E+03 1.41E+03 5.72E+02 1.95E+02 4.77E+01 1.37E+01 1.53E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  25.00  1.809  2.03E+07 2.40E+06 2.98E+07 7.51E+04 1.23E+05 1.74E+05 2.13E+05 2.38E+05 2.47E+05 2.42E+05 2.25E+05 1.97E+05 1.65E+05 1.31E+05 9.90E+04 7.22E+04 3.27E+04 2.04E+04 1.22E+04 6.81E+03 3.54E+03 1.67E+03 6.98E+02 2.50E+02 7.17E+01 1.51E+01 1.73E+00 4.16E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  30.00  1.981  1.28E+08 1.03E+07 1.29E+08 2.82E+05 4.99E+05 7.04E+05 8.62E+05 9.59E+05 9.96E+05 9.77E+05 9.07E+05 8.02E+05 6.77E+05 5.45E+05 4.18E+05 3.08E+05 2.10E+05 1.40E+05 8.77E+04 5.21E+04 2.91E+04 1.52E+04 7.38E+03 3.28E+03 1.32E+03 4.69E+02 1.42E+02 5.37E+01 1.82E+01 3.31E+00 6.81E-03 1.00E-30 1.00E-30
  40.00  2.288  3.31E+09 1.69E+08 2.14E+09 4.42E+06 8.45E+06 1.18E+07 1.43E+07 1.57E+07 1.62E+07 1.57E+07 1.45E+07 1.28E+07 1.08E+07 8.71E+06 6.80E+06 5.10E+06 3.67E+06 2.54E+06 1.69E+06 1.08E+06 6.60E+05 3.86E+05 2.16E+05 1.14E+05 6.21E+04 3.03E+04 1.39E+04 6.06E+03 2.44E+03 8.84E+02 3.28E+02 8.96E+01 1.87E+01
  50.00  2.558  6.71E+10 3.45E+09 4.68E+10 7.82E+07 1.51E+08 2.13E+08 2.60E+08 2.92E+08 3.05E+08 3.04E+08 2.88E+08 2.62E+08 2.30E+08 1.94E+08 1.58E+08 1.25E+08 9.47E+07 6.99E+07 4.96E+07 3.41E+07 2.26E+07 1.44E+07 8.87E+06 5.24E+06 2.98E+06 1.62E+06 8.40E+05 4.14E+05 1.93E+05 8.52E+04 3.53E+04 1.36E+04 4.82E+03
  60.00  2.802  1.17E+12 6.25E+10 8.91E+11 1.30E+09 2.52E+09 3.57E+09 4.41E+09 4.98E+09 5.28E+09 5.32E+09 5.13E+09 4.75E+09 4.25E+09 3.68E+09 3.07E+09 2.49E+09 1.95E+09 1.48E+09 1.10E+09 7.85E+08 5.43E+08 3.64E+08 2.36E+08 1.48E+08 8.97E+07 5.23E+07 2.94E+07 1.58E+07 8.15E+06 4.02E+06 1.88E+06 8.33E+05 3.47E+05
