                    ************************************************************************************************
                    *  Z= 30 A= 66: Positive-Parity Spin-dependent Level Density [MeV-1] for Zn 66 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  13.00  1.157  4.41E+05 2.96E+05 1.39E+06 5.30E+03 5.58E+03 1.57E+04 1.36E+04 1.89E+04 1.44E+04 1.53E+04 1.12E+04 9.03E+03 6.22E+03 4.26E+03 2.55E+03 1.45E+03 7.65E+02 3.68E+02 1.44E+02 5.21E+01 1.47E+01 5.35E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  14.00  1.201  9.60E+05 5.95E+05 2.97E+06 1.05E+04 1.10E+04 3.09E+04 2.69E+04 3.77E+04 2.99E+04 3.25E+04 2.39E+04 1.95E+04 1.38E+04 9.96E+03 6.03E+03 3.54E+03 1.98E+03 9.82E+02 4.16E+02 1.81E+02 5.78E+01 1.81E+01 4.28E+00 1.00E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  15.00  1.243  2.01E+06 1.15E+06 6.15E+06 2.01E+04 2.12E+04 5.99E+04 5.25E+04 7.43E+04 5.87E+04 6.48E+04 4.91E+04 4.12E+04 2.96E+04 2.16E+04 1.37E+04 8.35E+03 4.76E+03 2.52E+03 1.11E+03 5.31E+02 1.90E+02 6.49E+01 1.54E+01 2.97E+00 5.01E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  16.00  1.283  4.04E+06 2.12E+06 1.22E+07 3.74E+04 3.95E+04 1.12E+05 9.84E+04 1.41E+05 1.14E+05 1.26E+05 9.59E+04 8.23E+04 6.03E+04 4.50E+04 2.90E+04 1.84E+04 1.09E+04 5.91E+03 2.79E+03 1.38E+03 5.41E+02 2.06E+02 6.31E+01 1.82E+01 3.89E+00 5.01E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  17.00  1.323  7.81E+06 3.85E+06 2.34E+07 6.64E+04 6.98E+04 1.98E+05 1.77E+05 2.54E+05 2.07E+05 2.34E+05 1.83E+05 1.58E+05 1.17E+05 9.09E+04 5.96E+04 3.85E+04 2.33E+04 1.34E+04 6.47E+03 3.33E+03 1.40E+03 5.93E+02 1.86E+02 6.04E+01 1.28E+01 3.25E+00 5.01E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  18.00  1.361  1.47E+07 6.61E+06 4.34E+07 1.17E+05 1.23E+05 3.49E+05 3.10E+05 4.51E+05 3.70E+05 4.20E+05 3.29E+05 2.95E+05 2.21E+05 1.73E+05 1.16E+05 7.76E+04 4.80E+04 2.82E+04 1.43E+04 7.61E+03 3.35E+03 1.50E+03 5.33E+02 1.88E+02 5.11E+01 1.12E+01 2.25E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  19.00  1.399  2.66E+07 1.12E+07 7.72E+07 1.92E+05 2.01E+05 5.71E+05 5.18E+05 7.59E+05 6.31E+05 7.27E+05 5.78E+05 5.23E+05 3.98E+05 3.21E+05 2.18E+05 1.49E+05 9.40E+04 5.71E+04 2.95E+04 1.64E+04 7.51E+03 3.41E+03 1.30E+03 4.99E+02 1.41E+02 3.51E+01 7.06E+00 5.01E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  20.00  1.435  4.68E+07 1.83E+07 1.34E+08 3.16E+05 3.31E+05 9.41E+05 8.52E+05 1.25E+06 1.04E+06 1.21E+06 9.75E+05 9.05E+05 6.94E+05 5.68E+05 3.93E+05 2.77E+05 1.78E+05 1.11E+05 5.90E+04 3.38E+04 1.59E+04 7.59E+03 3.05E+03 1.25E+03 3.93E+02 1.10E+02 2.55E+01 4.89E+00 5.01E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  22.50  1.522  2.09E+08 5.55E+07 4.53E+08 9.24E+05 9.64E+05 2.76E+06 2.53E+06 3.76E+06 3.22E+06 3.81E+06 3.12E+06 3.00E+06 2.37E+06 2.04E+06 1.45E+06 1.08E+06 7.25E+05 4.81E+05 2.71E+05 1.65E+05 8.36E+04 4.29E+04 1.87E+04 8.27E+03 3.18E+03 1.08E+03 3.36E+02 8.65E+01 1.46E+01 5.49E+00 9.66E-01 1.00E-30 1.00E-30
  25.00  1.604  6.72E+08 1.48E+08 1.35E+09 2.41E+06 2.51E+06 7.19E+06 6.63E+06 1.00E+07 8.65E+06 1.04E+07 8.69E+06 8.61E+06 6.92E+06 6.20E+06 4.55E+06 3.59E+06 2.49E+06 1.76E+06 1.04E+06 6.75E+05 3.62E+05 1.99E+05 9.28E+04 4.47E+04 1.87E+04 7.03E+03 2.56E+03 7.96E+02 2.17E+02 4.37E+01 8.26E+00 2.96E+00 3.23E-01
  30.00  1.757  6.19E+09 8.34E+08 8.55E+09 1.29E+07 1.33E+07 3.83E+07 3.55E+07 5.42E+07 4.74E+07 5.82E+07 4.93E+07 5.07E+07 4.17E+07 3.91E+07 2.99E+07 2.53E+07 1.85E+07 1.43E+07 9.23E+06 6.69E+06 3.95E+06 2.49E+06 1.30E+06 7.20E+05 3.41E+05 1.50E+05 6.36E+04 2.39E+04 8.38E+03 2.48E+03 6.85E+02 1.55E+02 6.83E+01
  40.00  2.029  2.92E+11 2.10E+10 2.34E+11 3.10E+08 3.19E+08 9.22E+08 8.59E+08 1.31E+09 1.15E+09 1.43E+09 1.23E+09 1.28E+09 1.07E+09 1.02E+09 7.98E+08 7.01E+08 5.31E+08 4.36E+08 3.00E+08 2.37E+08 1.55E+08 1.13E+08 6.82E+07 4.64E+07 2.67E+07 1.55E+07 8.27E+06 4.29E+06 1.97E+06 8.43E+05 3.36E+05 1.21E+05 3.70E+04
  50.00  2.269  6.97E+12 4.87E+11 5.61E+12 6.94E+09 7.08E+09 2.07E+10 1.93E+10 2.97E+10 2.62E+10 3.27E+10 2.83E+10 2.96E+10 2.50E+10 2.41E+10 1.92E+10 1.69E+10 1.31E+10 1.08E+10 7.66E+09 6.13E+09 4.14E+09 3.08E+09 1.95E+09 1.37E+09 8.42E+08 5.32E+08 3.14E+08 1.87E+08 1.02E+08 5.48E+07 2.75E+07 1.34E+07 5.62E+06
  60.00  2.485  2.51E+14 1.89E+13 2.15E+14 2.17E+11 2.21E+11 6.47E+11 6.32E+11 1.03E+12 9.32E+11 1.14E+12 1.03E+12 1.07E+12 9.27E+11 9.06E+11 7.36E+11 6.51E+11 5.14E+11 4.38E+11 3.18E+11 2.66E+11 1.89E+11 1.37E+11 9.02E+10 6.70E+10 4.20E+10 2.80E+10 1.74E+10 1.04E+10 6.24E+09 3.61E+09 1.99E+09 1.06E+09 5.14E+08
  70.00  2.684  5.26E+15 3.57E+14 4.57E+15 4.16E+12 4.23E+12 1.24E+13 1.22E+13 2.00E+13 1.83E+13 2.25E+13 2.05E+13 2.16E+13 1.90E+13 1.87E+13 1.55E+13 1.39E+13 1.12E+13 9.74E+12 7.20E+12 6.18E+12 4.53E+12 3.35E+12 2.28E+12 1.74E+12 1.13E+12 7.78E+11 5.06E+11 3.15E+11 1.97E+11 1.19E+11 6.92E+10 3.90E+10 2.03E+10
  80.00  2.870  8.66E+16 5.67E+15 7.64E+16 6.40E+13 6.50E+13 1.91E+14 1.88E+14 3.08E+14 2.84E+14 3.52E+14 3.22E+14 3.44E+14 3.04E+14 3.04E+14 2.54E+14 2.31E+14 1.89E+14 1.67E+14 1.27E+14 1.10E+14 8.26E+13 6.25E+13 4.36E+13 3.41E+13 2.29E+13 1.63E+13 1.09E+13 7.02E+12 4.54E+12 2.87E+12 1.74E+12 1.03E+12 5.63E+11
  90.00  3.044  1.23E+18 7.81E+16 1.10E+18 8.56E+14 8.70E+14 2.55E+15 2.52E+15 4.12E+15 3.81E+15 4.76E+15 4.37E+15 4.71E+15 4.19E+15 4.24E+15 3.57E+15 3.30E+15 2.72E+15 2.45E+15 1.88E+15 1.66E+15 1.26E+15 9.78E+14 6.98E+14 5.57E+14 3.82E+14 2.79E+14 1.92E+14 1.28E+14 8.51E+13 5.55E+13 3.49E+13 2.15E+13 1.23E+13
 100.00  3.209  1.53E+19 9.50E+17 1.39E+19 1.01E+16 1.03E+16 3.02E+16 2.98E+16 4.89E+16 4.53E+16 5.69E+16 5.26E+16 5.70E+16 5.10E+16 5.20E+16 4.42E+16 4.13E+16 3.44E+16 3.13E+16 2.44E+16 2.18E+16 1.68E+16 1.33E+16 9.63E+15 7.78E+15 5.48E+15 4.08E+15 2.86E+15 1.96E+15 1.33E+15 8.95E+14 5.78E+14 3.68E+14 2.18E+14
 110.00  3.365  1.71E+20 1.04E+19 1.57E+20 1.08E+17 1.10E+17 3.23E+17 3.19E+17 5.23E+17 4.87E+17 6.14E+17 5.69E+17 6.21E+17 5.58E+17 5.73E+17 4.91E+17 4.64E+17 3.90E+17 3.58E+17 2.81E+17 2.54E+17 1.98E+17 1.59E+17 1.17E+17 9.67E+16 6.88E+16 5.22E+16 3.72E+16 2.61E+16 1.81E+16 1.25E+16 8.21E+15 5.38E+15 3.28E+15
 120.00  3.515  1.75E+21 1.04E+20 1.62E+21 1.06E+18 1.07E+18 3.15E+18 3.11E+18 5.11E+18 4.77E+18 6.04E+18 5.61E+18 6.16E+18 5.56E+18 5.76E+18 4.96E+18 4.72E+18 3.99E+18 3.70E+18 2.94E+18 2.68E+18 2.11E+18 1.72E+18 1.28E+18 1.07E+18 7.75E+17 5.96E+17 4.31E+17 3.08E+17 2.17E+17 1.53E+17 1.03E+17 6.89E+16 4.31E+16
 130.00  3.658  1.65E+22 9.61E+20 1.54E+22 9.50E+18 9.65E+18 2.84E+19 2.80E+19 4.62E+19 4.31E+19 5.48E+19 5.11E+19 5.64E+19 5.11E+19 5.32E+19 4.61E+19 4.42E+19 3.76E+19 3.52E+19 2.82E+19 2.59E+19 2.06E+19 1.70E+19 1.28E+19 1.08E+19 7.92E+18 6.17E+18 4.52E+18 3.29E+18 2.35E+18 1.68E+18 1.15E+18 7.89E+17 5.03E+17
 140.00  3.796  1.44E+23 8.24E+21 1.35E+23 7.95E+19 8.10E+19 2.38E+20 2.36E+20 3.88E+20 3.63E+20 4.63E+20 4.33E+20 4.80E+20 4.36E+20 4.57E+20 3.97E+20 3.84E+20 3.29E+20 3.09E+20 2.50E+20 2.31E+20 1.85E+20 1.54E+20 1.18E+20 1.00E+20 7.41E+19 5.86E+19 4.35E+19 3.21E+19 2.32E+19 1.69E+19 1.18E+19 8.20E+18 5.31E+18
