                    ************************************************************************************************
                    *  Z= 27 A= 59: Positive-Parity Spin-dependent Level Density [MeV-1] for Co 59 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
  40.00  2.452  2.34E+11 1.16E+10 1.44E+11 3.95E+08 7.50E+08 1.03E+09 1.22E+09 1.30E+09 1.29E+09 1.20E+09 1.06E+09 8.87E+08 7.09E+08 5.41E+08 3.96E+08 2.78E+08 1.87E+08 1.21E+08 7.56E+07 4.53E+07 2.61E+07 1.45E+07 7.76E+06 4.00E+06 1.99E+06 9.51E+05 4.39E+05 1.95E+05 8.38E+04 3.47E+04 1.38E+04 5.33E+03 1.98E+03
  50.00  2.741  9.84E+12 4.80E+11 6.36E+12 1.46E+10 2.80E+10 3.88E+10 4.64E+10 5.05E+10 5.11E+10 4.88E+10 4.42E+10 3.82E+10 3.16E+10 2.51E+10 1.92E+10 1.41E+10 1.00E+10 6.85E+09 4.52E+09 2.88E+09 1.78E+09 1.06E+09 6.09E+08 3.39E+08 1.82E+08 9.50E+07 4.79E+07 2.34E+07 1.10E+07 5.05E+06 2.23E+06 9.57E+05 3.97E+05
  60.00  3.003  2.95E+14 1.43E+13 1.99E+14 3.97E+11 7.61E+11 1.06E+12 1.28E+12 1.41E+12 1.45E+12 1.41E+12 1.31E+12 1.16E+12 9.82E+11 8.04E+11 6.34E+11 4.83E+11 3.55E+11 2.53E+11 1.74E+11 1.16E+11 7.51E+10 4.71E+10 2.86E+10 1.68E+10 9.62E+09 5.33E+09 2.87E+09 1.50E+09 7.58E+08 3.73E+08 1.78E+08 8.25E+07 3.71E+07
  70.00  3.244  6.85E+15 3.28E+14 4.76E+15 8.44E+12 1.62E+13 2.28E+13 2.78E+13 3.09E+13 3.21E+13 3.16E+13 2.97E+13 2.68E+13 2.32E+13 1.94E+13 1.57E+13 1.23E+13 9.30E+12 6.82E+12 4.86E+12 3.36E+12 2.25E+12 1.47E+12 9.29E+11 5.72E+11 3.42E+11 1.99E+11 1.12E+11 6.18E+10 3.31E+10 1.72E+10 8.71E+09 4.29E+09 2.06E+09
  80.00  3.468  1.30E+17 6.13E+15 9.24E+16 1.48E+14 2.85E+14 4.02E+14 4.92E+14 5.51E+14 5.78E+14 5.76E+14 5.48E+14 5.01E+14 4.42E+14 3.76E+14 3.10E+14 2.48E+14 1.92E+14 1.45E+14 1.06E+14 7.52E+13 5.20E+13 3.49E+13 2.29E+13 1.46E+13 9.04E+12 5.47E+12 3.22E+12 1.84E+12 1.03E+12 5.61E+11 2.98E+11 1.54E+11 7.77E+10
  90.00  3.678  2.07E+18 9.69E+16 1.51E+18 2.20E+15 4.25E+15 6.02E+15 7.40E+15 8.34E+15 8.83E+15 8.87E+15 8.53E+15 7.90E+15 7.06E+15 6.10E+15 5.11E+15 4.16E+15 3.28E+15 2.52E+15 1.89E+15 1.37E+15 9.72E+14 6.71E+14 4.52E+14 2.96E+14 1.89E+14 1.18E+14 7.19E+13 4.27E+13 2.47E+13 1.40E+13 7.71E+12 4.15E+12 2.18E+12
 100.00  3.877  2.86E+19 1.33E+18 2.12E+19 2.86E+16 5.53E+16 7.85E+16 9.70E+16 1.10E+17 1.17E+17 1.19E+17 1.15E+17 1.08E+17 9.73E+16 8.52E+16 7.23E+16 5.97E+16 4.79E+16 3.75E+16 2.85E+16 2.12E+16 1.53E+16 1.08E+16 7.44E+15 5.00E+15 3.28E+15 2.10E+15 1.32E+15 8.05E+14 4.81E+14 2.80E+14 1.60E+14 8.91E+13 4.85E+13
 110.00  4.066  3.50E+20 1.61E+19 2.64E+20 3.30E+17 6.40E+17 9.12E+17 1.13E+18 1.29E+18 1.38E+18 1.41E+18 1.37E+18 1.30E+18 1.18E+18 1.05E+18 9.00E+17 7.52E+17 6.12E+17 4.86E+17 3.76E+17 2.83E+17 2.09E+17 1.50E+17 1.06E+17 7.24E+16 4.86E+16 3.19E+16 2.04E+16 1.28E+16 7.85E+15 4.71E+15 2.76E+15 1.58E+15 8.88E+14
 120.00  4.247  3.86E+21 1.75E+20 2.95E+21 3.45E+18 6.69E+18 9.55E+18 1.19E+19 1.36E+19 1.46E+19 1.50E+19 1.48E+19 1.40E+19 1.29E+19 1.15E+19 1.00E+19 8.46E+18 6.97E+18 5.60E+18 4.39E+18 3.36E+18 2.52E+18 1.84E+18 1.32E+18 9.20E+17 6.29E+17 4.21E+17 2.76E+17 1.77E+17 1.11E+17 6.80E+16 4.08E+16 2.40E+16 1.38E+16
 130.00  4.420  3.87E+22 1.74E+21 2.99E+22 3.29E+19 6.39E+19 9.14E+19 1.14E+20 1.31E+20 1.41E+20 1.46E+20 1.44E+20 1.38E+20 1.28E+20 1.15E+20 1.01E+20 8.62E+19 7.18E+19 5.84E+19 4.63E+19 3.59E+19 2.73E+19 2.02E+19 1.47E+19 1.04E+19 7.26E+18 4.94E+18 3.30E+18 2.15E+18 1.38E+18 8.63E+17 5.30E+17 3.19E+17 1.88E+17
