                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  19.00  1.256  1.52E+10 4.40E+09 5.87E+10 7.71E+07 2.23E+08 3.47E+08 4.37E+08 4.88E+08 5.00E+08 4.78E+08 4.31E+08 3.69E+08 3.00E+08 2.33E+08 1.73E+08 1.23E+08 8.43E+07 5.53E+07 3.48E+07 2.11E+07 1.23E+07 6.89E+06 3.72E+06 1.93E+06 9.67E+05 4.66E+05 2.16E+05 9.68E+04 4.18E+04 1.74E+04 6.95E+03 2.69E+03 1.00E+03
  20.00  1.289  3.52E+10 9.99E+09 1.35E+11 1.70E+08 4.94E+08 7.68E+08 9.70E+08 1.09E+09 1.12E+09 1.08E+09 9.79E+08 8.44E+08 6.93E+08 5.44E+08 4.09E+08 2.95E+08 2.04E+08 1.36E+08 8.67E+07 5.34E+07 3.16E+07 1.81E+07 9.93E+06 5.27E+06 2.69E+06 1.33E+06 6.30E+05 2.89E+05 1.28E+05 5.45E+04 2.24E+04 8.92E+03 3.42E+03
  22.50  1.367  3.91E+11 7.11E+10 9.96E+11 1.14E+09 3.30E+09 5.16E+09 6.56E+09 7.42E+09 7.72E+09 7.53E+09 6.94E+09 6.09E+09 5.10E+09 4.09E+09 3.15E+09 2.33E+09 1.66E+09 1.14E+09 7.51E+08 4.79E+08 2.94E+08 1.75E+08 1.00E+08 5.55E+07 2.97E+07 1.53E+07 7.66E+06 3.70E+06 1.73E+06 7.80E+05 3.41E+05 1.44E+05 5.88E+04
  25.00  1.441  2.66E+12 4.55E+11 6.55E+12 6.85E+09 1.99E+10 3.13E+10 4.00E+10 4.56E+10 4.79E+10 4.72E+10 4.40E+10 3.92E+10 3.34E+10 2.72E+10 2.14E+10 1.62E+10 1.18E+10 8.29E+09 5.63E+09 3.69E+09 2.34E+09 1.43E+09 8.51E+08 4.89E+08 2.71E+08 1.46E+08 7.60E+07 3.83E+07 1.87E+07 8.86E+06 4.06E+06 1.80E+06 7.77E+05
  30.00  1.579  1.45E+14 1.43E+13 2.16E+14 1.95E+11 5.69E+11 8.98E+11 1.16E+12 1.33E+12 1.42E+12 1.43E+12 1.36E+12 1.24E+12 1.08E+12 9.06E+11 7.34E+11 5.74E+11 4.34E+11 3.18E+11 2.25E+11 1.55E+11 1.03E+11 6.64E+10 4.16E+10 2.52E+10 1.49E+10 8.52E+09 4.74E+09 2.56E+09 1.34E+09 6.84E+08 3.38E+08 1.63E+08 7.61E+07
  40.00  1.823  1.30E+17 6.51E+15 1.06E+17 7.64E+13 2.24E+14 3.56E+14 4.64E+14 5.43E+14 5.90E+14 6.06E+14 5.93E+14 5.57E+14 5.03E+14 4.40E+14 3.72E+14 3.05E+14 2.42E+14 1.87E+14 1.41E+14 1.03E+14 7.30E+13 5.05E+13 3.40E+13 2.23E+13 1.43E+13 8.91E+12 5.42E+12 3.21E+12 1.85E+12 1.05E+12 5.74E+11 3.08E+11 1.61E+11
  50.00  2.038  2.91E+19 1.45E+18 2.51E+19 1.52E+16 4.45E+16 7.12E+16 9.35E+16 1.11E+17 1.22E+17 1.27E+17 1.26E+17 1.21E+17 1.12E+17 1.01E+17 8.74E+16 7.39E+16 6.08E+16 4.87E+16 3.80E+16 2.90E+16 2.15E+16 1.56E+16 1.10E+16 7.63E+15 5.16E+15 3.40E+15 2.20E+15 1.38E+15 8.53E+14 5.14E+14 3.03E+14 1.75E+14 9.85E+13
  60.00  2.233  3.93E+21 1.95E+20 3.53E+21 1.85E+18 5.45E+18 8.75E+18 1.16E+19 1.38E+19 1.53E+19 1.61E+19 1.63E+19 1.59E+19 1.49E+19 1.36E+19 1.21E+19 1.05E+19 8.83E+18 7.26E+18 5.83E+18 4.57E+18 3.51E+18 2.63E+18 1.93E+18 1.39E+18 9.75E+17 6.71E+17 4.52E+17 2.98E+17 1.93E+17 1.22E+17 7.56E+16 4.60E+16 2.74E+16
  70.00  2.411  3.61E+23 1.78E+22 3.37E+23 1.57E+20 4.62E+20 7.43E+20 9.87E+20 1.18E+21 1.32E+21 1.41E+21 1.44E+21 1.41E+21 1.35E+21 1.25E+21 1.13E+21 9.92E+20 8.52E+20 7.15E+20 5.87E+20 4.72E+20 3.71E+20 2.86E+20 2.15E+20 1.59E+20 1.15E+20 8.19E+19 5.71E+19 3.90E+19 2.61E+19 1.72E+19 1.11E+19 7.02E+18 4.36E+18
  80.00  2.578  2.45E+25 1.21E+24 2.35E+25 9.89E+21 2.92E+22 4.71E+22 6.27E+22 7.55E+22 8.50E+22 9.10E+22 9.36E+22 9.30E+22 8.97E+22 8.41E+22 7.69E+22 6.86E+22 5.98E+22 5.10E+22 4.26E+22 3.49E+22 2.80E+22 2.20E+22 1.70E+22 1.28E+22 9.53E+21 6.94E+21 4.97E+21 3.49E+21 2.41E+21 1.63E+21 1.09E+21 7.11E+20 4.57E+20
