                    ************************************************************************************************
                    *  Z= 21 A= 45: Positive-Parity Spin-dependent Level Density [MeV-1] for Sc 45 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
  14.00  1.351  2.10E+05 5.08E+04 3.79E+05 4.28E+03 7.51E+03 9.04E+03 8.85E+03 7.44E+03 5.50E+03 3.62E+03 2.14E+03 1.14E+03 5.47E+02 2.39E+02 9.46E+01 3.41E+01 1.12E+01 3.34E+00 9.09E-01 2.26E-01 5.12E-02 1.06E-02 2.00E-03 3.46E-04 5.45E-05 7.85E-06 1.03E-06 1.24E-07 1.37E-08 1.38E-09 1.27E-10 1.07E-11 8.21E-13
  15.00  1.398  3.96E+05 9.30E+04 7.08E+05 7.57E+03 1.33E+04 1.62E+04 1.60E+04 1.37E+04 1.03E+04 6.91E+03 4.18E+03 2.28E+03 1.13E+03 5.11E+02 2.10E+02 7.87E+01 2.69E+01 8.43E+00 2.41E+00 6.31E-01 1.51E-01 3.32E-02 6.68E-03 1.23E-03 2.08E-04 3.21E-05 4.56E-06 5.94E-07 7.08E-08 7.76E-09 7.79E-10 7.18E-11 6.07E-12
  16.00  1.444  7.29E+05 1.67E+05 1.29E+06 1.31E+04 2.32E+04 2.84E+04 2.84E+04 2.45E+04 1.88E+04 1.28E+04 7.93E+03 4.44E+03 2.26E+03 1.05E+03 4.47E+02 1.73E+02 6.17E+01 2.01E+01 6.02E+00 1.65E+00 4.16E-01 9.62E-02 2.04E-02 3.99E-03 7.16E-04 1.18E-04 1.79E-05 2.50E-06 3.21E-07 3.79E-08 4.12E-09 4.11E-10 3.78E-11
  17.00  1.489  1.32E+06 2.94E+05 2.32E+06 2.24E+04 3.98E+04 4.90E+04 4.94E+04 4.32E+04 3.35E+04 2.33E+04 1.47E+04 8.40E+03 4.39E+03 2.09E+03 9.16E+02 3.67E+02 1.35E+02 4.58E+01 1.42E+01 4.08E+00 1.07E+00 2.61E-01 5.82E-02 1.20E-02 2.27E-03 3.97E-04 6.40E-05 9.51E-06 1.30E-06 1.65E-07 1.92E-08 2.06E-09 2.05E-10
  18.00  1.532  2.33E+06 5.08E+05 4.08E+06 3.77E+04 6.72E+04 8.32E+04 8.46E+04 7.48E+04 5.87E+04 4.15E+04 2.66E+04 1.55E+04 8.28E+03 4.05E+03 1.82E+03 7.52E+02 2.86E+02 1.00E+02 3.22E+01 9.59E+00 2.63E+00 6.67E-01 1.56E-01 3.36E-02 6.71E-03 1.24E-03 2.10E-04 3.31E-05 4.81E-06 6.47E-07 8.03E-08 9.23E-09 9.80E-10
  19.00  1.574  4.07E+06 8.67E+05 7.07E+06 6.27E+04 1.12E+05 1.39E+05 1.43E+05 1.27E+05 1.01E+05 7.24E+04 4.72E+04 2.80E+04 1.53E+04 7.64E+03 3.52E+03 1.49E+03 5.83E+02 2.11E+02 7.02E+01 2.16E+01 6.16E+00 1.62E+00 3.95E-01 8.92E-02 1.86E-02 3.60E-03 6.44E-04 1.07E-04 1.64E-05 2.33E-06 3.07E-07 3.74E-08 4.23E-09
  20.00  1.615  6.98E+06 1.46E+06 1.21E+07 1.03E+05 1.84E+05 2.30E+05 2.38E+05 2.14E+05 1.72E+05 1.24E+05 8.22E+04 4.97E+04 2.76E+04 1.41E+04 6.63E+03 2.88E+03 1.16E+03 4.30E+02 1.48E+02 4.70E+01 1.38E+01 3.78E+00 9.57E-01 2.25E-01 4.89E-02 9.87E-03 1.85E-03 3.22E-04 5.19E-05 7.77E-06 1.08E-06 1.39E-07 1.67E-08
  22.50  1.713  3.23E+07 5.07E+06 4.34E+07 3.37E+05 6.08E+05 7.68E+05 8.05E+05 7.38E+05 6.06E+05 4.52E+05 3.09E+05 1.93E+05 1.12E+05 5.97E+04 2.95E+04 1.35E+04 5.75E+03 2.27E+03 8.34E+02 2.85E+02 9.04E+01 2.67E+01 7.35E+00 1.88E+00 4.49E-01 9.99E-02 2.07E-02 3.99E-03 7.18E-04 1.20E-04 1.88E-05 2.74E-06 3.72E-07
  25.00  1.805  1.15E+08 1.65E+07 1.46E+08 1.04E+06 1.89E+06 2.41E+06 2.55E+06 2.38E+06 2.00E+06 1.52E+06 1.07E+06 6.90E+05 4.12E+05 2.29E+05 1.18E+05 5.65E+04 2.52E+04 1.05E+04 4.07E+03 1.47E+03 4.98E+02 1.57E+02 4.64E+01 1.28E+01 3.29E+00 7.94E-01 1.79E-01 3.77E-02 7.42E-03 1.37E-03 2.36E-04 3.80E-05 5.74E-06
  30.00  1.978  1.61E+09 1.49E+08 1.39E+09 8.63E+06 1.58E+07 2.04E+07 2.21E+07 2.11E+07 1.83E+07 1.45E+07 1.06E+07 7.18E+06 4.53E+06 2.67E+06 1.47E+06 7.56E+05 3.64E+05 1.65E+05 6.98E+04 2.78E+04 1.04E+04 3.64E+03 1.20E+03 3.72E+02 1.08E+02 2.97E+01 7.66E+00 1.86E+00 4.23E-01 9.07E-02 1.83E-02 3.47E-03 6.21E-04
  40.00  2.283  1.56E+11 7.72E+09 7.76E+10 3.88E+08 7.18E+08 9.47E+08 1.05E+09 1.04E+09 9.44E+08 7.88E+08 6.12E+08 4.44E+08 3.02E+08 1.94E+08 1.17E+08 6.64E+07 3.56E+07 1.81E+07 8.67E+06 3.93E+06 1.69E+06 6.87E+05 2.65E+05 9.66E+04 3.34E+04 1.09E+04 3.40E+03 1.00E+03 2.80E+02 7.41E+01 1.86E+01 4.44E+00 1.00E+00
  50.00  2.553  5.35E+12 2.59E+11 2.77E+12 1.17E+10 2.18E+10 2.92E+10 3.31E+10 3.36E+10 3.13E+10 2.71E+10 2.19E+10 1.66E+10 1.19E+10 8.08E+09 5.19E+09 3.16E+09 1.82E+09 1.00E+09 5.22E+08 2.59E+08 1.22E+08 5.50E+07 2.36E+07 9.61E+06 3.73E+06 1.38E+06 4.88E+05 1.64E+05 5.26E+04 1.61E+04 4.69E+03 1.31E+03 3.46E+02
  60.00  2.797  1.34E+14 6.41E+12 7.19E+13 2.64E+11 4.96E+11 6.70E+11 7.71E+11 7.97E+11 7.59E+11 6.73E+11 5.61E+11 4.41E+11 3.29E+11 2.32E+11 1.56E+11 9.99E+10 6.09E+10 3.54E+10 1.97E+10 1.04E+10 5.28E+09 2.56E+09 1.18E+09 5.24E+08 2.22E+08 8.99E+07 3.49E+07 1.29E+07 4.60E+06 1.56E+06 5.09E+05 1.59E+05 4.73E+04
  70.00  3.021  2.63E+15 1.25E+14 1.46E+15 4.78E+12 9.02E+12 1.23E+13 1.43E+13 1.50E+13 1.45E+13 1.31E+13 1.12E+13 9.04E+12 6.94E+12 5.06E+12 3.53E+12 2.35E+12 1.49E+12 9.08E+11 5.29E+11 2.95E+11 1.58E+11 8.10E+10 3.99E+10 1.88E+10 8.52E+09 3.70E+09 1.54E+09 6.18E+08 2.38E+08 8.78E+07 3.12E+07 1.06E+07 3.47E+06
  80.00  3.229  4.30E+16 2.02E+15 2.45E+16 7.23E+13 1.37E+14 1.87E+14 2.20E+14 2.33E+14 2.29E+14 2.11E+14 1.83E+14 1.51E+14 1.19E+14 8.90E+13 6.38E+13 4.38E+13 2.88E+13 1.82E+13 1.10E+13 6.41E+12 3.58E+12 1.93E+12 9.95E+11 4.94E+11 2.36E+11 1.09E+11 4.81E+10 2.05E+10 8.39E+09 3.31E+09 1.26E+09 4.61E+08 1.62E+08
  90.00  3.425  6.00E+17 2.78E+16 3.48E+17 9.42E+14 1.79E+15 2.46E+15 2.91E+15 3.12E+15 3.09E+15 2.89E+15 2.55E+15 2.14E+15 1.71E+15 1.31E+15 9.65E+14 6.80E+14 4.60E+14 2.99E+14 1.87E+14 1.13E+14 6.53E+13 3.65E+13 1.96E+13 1.02E+13 5.09E+12 2.45E+12 1.14E+12 5.11E+11 2.21E+11 9.21E+10 3.71E+10 1.44E+10 5.39E+09
 100.00  3.610  7.33E+18 3.37E+17 4.33E+18 1.08E+16 2.06E+16 2.85E+16 3.39E+16 3.65E+16 3.66E+16 3.46E+16 3.09E+16 2.64E+16 2.15E+16 1.68E+16 1.26E+16 9.05E+15 6.27E+15 4.18E+15 2.69E+15 1.67E+15 9.97E+14 5.75E+14 3.20E+14 1.72E+14 8.93E+13 4.48E+13 2.17E+13 1.02E+13 4.59E+12 2.01E+12 8.48E+11 3.46E+11 1.37E+11
 110.00  3.787  7.99E+19 3.63E+18 4.79E+19 1.11E+17 2.12E+17 2.95E+17 3.52E+17 3.83E+17 3.87E+17 3.69E+17 3.34E+17 2.88E+17 2.38E+17 1.89E+17 1.44E+17 1.06E+17 7.48E+16 5.10E+16 3.36E+16 2.13E+16 1.31E+16 7.78E+15 4.46E+15 2.47E+15 1.33E+15 6.88E+14 3.45E+14 1.68E+14 7.89E+13 3.59E+13 1.58E+13 6.74E+12 2.78E+12
 120.00  3.955  7.89E+20 3.54E+19 4.79E+20 1.04E+18 1.99E+18 2.77E+18 3.33E+18 3.64E+18 3.71E+18 3.56E+18 3.26E+18 2.84E+18 2.38E+18 1.91E+18 1.48E+18 1.11E+18 7.96E+17 5.54E+17 3.72E+17 2.42E+17 1.52E+17 9.23E+16 5.43E+16 3.10E+16 1.71E+16 9.13E+15 4.73E+15 2.37E+15 1.15E+15 5.43E+14 2.48E+14 1.10E+14 4.72E+13
 130.00  4.116  7.13E+21 3.17E+20 4.38E+21 8.96E+18 1.72E+19 2.40E+19 2.89E+19 3.18E+19 3.25E+19 3.15E+19 2.91E+19 2.56E+19 2.17E+19 1.77E+19 1.39E+19 1.05E+19 7.68E+18 5.43E+18 3.71E+18 2.46E+18 1.58E+18 9.80E+17 5.90E+17 3.44E+17 1.95E+17 1.07E+17 5.69E+16 2.94E+16 1.47E+16 7.15E+15 3.37E+15 1.54E+15 6.86E+14
