                    ************************************************************************************************
                    *  Z= 21 A= 46: Positive-Parity Spin-dependent Level Density [MeV-1] for Sc 46 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
  22.50  1.726  7.25E+06 3.89E+05 1.13E+07 1.15E+04 3.34E+04 5.27E+04 6.77E+04 7.75E+04 8.21E+04 8.19E+04 7.75E+04 6.98E+04 6.00E+04 4.93E+04 3.86E+04 2.89E+04 2.05E+04 1.39E+04 8.95E+03 5.46E+03 3.06E+03 1.58E+03 7.55E+02 3.34E+02 1.31E+02 4.50E+01 1.34E+01 2.63E+00 6.58E-02 1.31E-01 1.00E-30 1.00E-30 1.00E-30
  25.00  1.819  1.67E+07 6.37E+05 2.08E+07 2.11E+04 6.16E+04 9.71E+04 1.25E+05 1.43E+05 1.52E+05 1.51E+05 1.43E+05 1.28E+05 1.10E+05 9.02E+04 7.07E+04 5.31E+04 3.78E+04 2.59E+04 1.66E+04 1.02E+04 5.86E+03 3.15E+03 1.58E+03 7.40E+02 3.12E+02 1.17E+02 4.06E+01 1.06E+01 1.38E+01 4.77E+00 1.26E+00 2.41E-01 1.00E-30
  30.00  1.993  9.93E+07 3.22E+06 1.09E+08 1.01E+05 2.94E+05 4.64E+05 5.98E+05 6.91E+05 7.39E+05 7.42E+05 7.08E+05 6.45E+05 5.63E+05 4.71E+05 3.78E+05 2.92E+05 2.15E+05 1.51E+05 1.03E+05 6.63E+04 4.09E+04 2.39E+04 1.33E+04 6.99E+03 3.48E+03 1.66E+03 7.60E+02 3.27E+02 1.27E+02 4.10E+01 1.18E+01 5.91E+00 9.39E-01
  40.00  2.301  2.01E+09 3.64E+07 1.39E+09 1.21E+06 3.54E+06 5.61E+06 7.27E+06 8.41E+06 9.04E+06 9.13E+06 8.78E+06 8.04E+06 7.10E+06 5.99E+06 4.88E+06 3.82E+06 2.89E+06 2.09E+06 1.46E+06 9.80E+05 6.31E+05 3.88E+05 2.28E+05 1.28E+05 6.80E+04 3.43E+04 1.63E+04 7.22E+03 2.95E+03 1.07E+03 3.00E+02 8.36E+01 1.92E+01
  50.00  2.572  2.49E+10 4.48E+08 1.85E+10 1.69E+07 4.93E+07 7.78E+07 1.00E+08 1.16E+08 1.24E+08 1.25E+08 1.19E+08 1.09E+08 9.50E+07 7.95E+07 6.43E+07 4.97E+07 3.72E+07 2.66E+07 1.83E+07 1.21E+07 7.69E+06 4.69E+06 2.73E+06 1.52E+06 8.09E+05 4.09E+05 1.97E+05 8.97E+04 3.86E+04 1.58E+04 6.14E+03 2.27E+03 8.13E+02
  60.00  2.818  3.92E+11 5.93E+09 2.64E+11 2.46E+08 7.18E+08 1.13E+09 1.46E+09 1.69E+09 1.80E+09 1.81E+09 1.72E+09 1.56E+09 1.36E+09 1.14E+09 9.09E+08 6.99E+08 5.19E+08 3.69E+08 2.52E+08 1.65E+08 1.03E+08 6.22E+07 3.57E+07 1.96E+07 1.02E+07 5.08E+06 2.40E+06 1.08E+06 4.59E+05 1.86E+05 7.20E+04 2.63E+04 9.14E+03
  70.00  3.044  5.59E+12 8.28E+10 4.01E+12 3.46E+09 1.02E+10 1.61E+10 2.08E+10 2.41E+10 2.59E+10 2.62E+10 2.52E+10 2.31E+10 2.03E+10 1.72E+10 1.40E+10 1.10E+10 8.31E+09 6.05E+09 4.23E+09 2.86E+09 1.85E+09 1.15E+09 6.82E+08 3.89E+08 2.11E+08 1.09E+08 5.33E+07 2.47E+07 1.07E+07 4.35E+06 1.63E+06 5.64E+05 1.77E+05
  80.00  3.254  6.98E+13 9.54E+11 5.01E+13 4.03E+10 1.18E+11 1.88E+11 2.44E+11 2.84E+11 3.07E+11 3.13E+11 3.03E+11 2.81E+11 2.50E+11 2.14E+11 1.77E+11 1.41E+11 1.08E+11 8.04E+10 5.78E+10 3.98E+10 2.65E+10 1.70E+10 1.04E+10 6.16E+09 3.49E+09 1.89E+09 9.71E+08 4.76E+08 2.20E+08 9.63E+07 3.93E+07 1.49E+07 5.23E+06
  90.00  3.451  7.51E+14 9.56E+12 5.46E+14 4.08E+11 1.19E+12 1.90E+12 2.47E+12 2.90E+12 3.15E+12 3.23E+12 3.15E+12 2.95E+12 2.66E+12 2.31E+12 1.94E+12 1.57E+12 1.23E+12 9.36E+11 6.86E+11 4.86E+11 3.34E+11 2.21E+11 1.42E+11 8.72E+10 5.17E+10 2.96E+10 1.62E+10 8.50E+09 4.25E+09 2.03E+09 9.22E+08 3.94E+08 1.59E+08
 100.00  3.638  7.16E+15 8.59E+13 5.29E+15 3.63E+12 1.06E+13 1.70E+13 2.22E+13 2.62E+13 2.86E+13 2.95E+13 2.91E+13 2.76E+13 2.51E+13 2.21E+13 1.88E+13 1.55E+13 1.24E+13 9.61E+12 7.21E+12 5.23E+12 3.69E+12 2.52E+12 1.67E+12 1.07E+12 6.57E+11 3.92E+11 2.26E+11 1.25E+11 6.65E+10 3.40E+10 1.66E+10 7.74E+09 3.42E+09
